date_time,event_type,in_gc,in_sp,days_until_next_gc,adj_factor,s_1m_adj,s_1m_raw,s_3m,s_1y,stoxx,jk_1m,w_month_t,w_month_t_fix
1999-01-07 13:45:00,GC_ME,1,0,0,1.0000,0.0000,0.0000,NaN,0.0000,-0.7154,1,0.8095,0.7619
1999-01-14 13:15:00,EB,0,1,7,1.3043,-0.6522,-0.5000,0.0000,-0.5000,-0.4547,0,0.5714,0.5238
1999-01-18 15:00:00,P,0,1,3,1.1111,0.0000,0.0000,-1.0000,-1.0000,0.1965,0,0.4762,0.4286
1999-01-21 13:45:00,GC_ME,1,0,0,1.0000,NaN,NaN,0.0000,-1.0000,-1.6521,0,0.3333,0.2857
1999-02-08 15:00:00,EB,0,1,10,1.5000,NaN,NaN,-0.5000,-0.5000,0.0761,0,0.7500,0.7000
1999-02-18 13:45:00,GC_ME,1,0,0,1.0000,-0.5000,-0.5000,0.5000,0.0000,-0.1758,0,0.3500,0.3000
1999-02-25 14:00:00,EB,0,1,7,1.3043,3.2609,2.5000,1.0000,0.0000,-0.0813,0,0.1000,0.0500
1999-03-04 13:45:00,GC_ME,1,0,0,1.0000,NaN,NaN,0.0000,0.0000,0.1581,0,0.8696,0.8261
1999-03-16 11:00:00,EB,0,1,2,1.0714,1.0714,1.0000,2.0000,0.0000,-0.0873,0,0.5217,0.4783
1999-03-18 13:45:00,GC_ME,1,0,0,1.0000,-1.5000,-1.5000,0.5000,0.0000,0.5380,1,0.4348,0.3913
1999-03-19 15:30:00,EB,0,1,20,3.0000,NaN,NaN,-0.5000,0.0000,-0.3756,0,0.3913,0.3478
1999-03-24 09:30:00,EB,0,1,15,2.0000,0.0000,0.0000,0.0000,-0.5000,-0.9405,0,0.2609,0.2174
1999-03-24 17:00:00,EB,0,1,15,2.0000,-1.0000,-0.5000,-0.5000,-1.0000,0.3851,0,0.2609,0.2174
1999-03-25 12:00:00,EB,0,1,14,1.8750,NaN,NaN,-1.0000,NaN,0.1911,0,0.2174,0.1739
1999-03-25 12:00:00,EB,0,1,14,1.8750,NaN,NaN,-1.0000,NaN,0.1911,0,0.2174,0.1739
1999-03-25 14:45:00,P,0,1,14,1.8750,0.0000,0.0000,-0.5000,-1.0000,0.5925,0,0.2174,0.1739
1999-04-08 13:45:00,GC_ME,1,0,0,1.0000,2.5000,2.5000,2.0000,1.0000,-0.2937,1,0.7727,0.7273
1999-04-15 10:00:00,EB,0,1,7,1.3043,0.0000,0.0000,0.0000,0.2000,-0.4330,0,0.5455,0.5000
1999-04-15 10:00:00,EB,0,1,7,1.3043,0.0000,0.0000,0.0000,0.2000,-0.4330,0,0.5455,0.5000
1999-04-19 15:00:00,P,0,1,3,1.1111,NaN,NaN,0.0000,1.5000,0.0906,0,0.4545,0.4091
1999-04-22 13:45:00,GC_ME,1,0,0,1.0000,NaN,NaN,0.0000,0.5000,0.0786,0,0.3182,0.2727
1999-04-27 12:20:00,P,0,1,9,1.4286,0.0000,0.0000,0.1000,-0.1000,0.0386,0,0.1818,0.1364
1999-05-04 14:15:00,P,0,1,2,1.0714,NaN,NaN,NaN,NaN,-0.1808,0,0.9524,0.9048
1999-05-06 13:45:00,GC_ME,1,0,0,1.0000,NaN,NaN,NaN,0.8000,-0.3602,0,0.8571,0.8095
1999-05-07 09:30:00,EB,0,1,13,1.7647,NaN,NaN,NaN,0.0000,-0.1399,0,0.8095,0.7619
1999-05-07 10:45:00,EB,0,1,13,1.7647,NaN,NaN,NaN,-0.5000,-0.2549,0,0.8095,0.7619
1999-05-07 14:00:00,EB,0,1,13,1.7647,NaN,NaN,NaN,-0.1000,0.6479,0,0.8095,0.7619
1999-05-11 10:45:00,EB,0,1,9,1.4286,NaN,NaN,-0.4000,-0.9000,-0.2324,0,0.7143,0.6667
1999-05-12 11:45:00,EB,0,1,8,1.3636,NaN,NaN,NaN,NaN,0.1709,0,0.6667,0.6190
1999-05-13 17:00:00,EB,0,1,7,1.3043,NaN,NaN,NaN,-1.5000,-0.0211,0,0.6190,0.5714
1999-05-17 17:00:00,EB,0,1,3,1.1111,NaN,NaN,NaN,-0.1000,-0.1006,0,0.5238,0.4762
1999-05-20 13:45:00,GC_ME,1,0,0,1.0000,NaN,NaN,0.0000,0.0000,-0.1029,0,0.3810,0.3333
1999-05-26 16:00:00,P,0,1,7,1.3043,NaN,NaN,0.0000,0.0000,-0.4510,0,0.1905,0.1429
1999-06-02 13:45:00,GC_ME,1,0,0,1.0000,0.5000,0.5000,-1.0000,0.0000,0.1009,0,0.9545,0.9091
1999-06-03 11:15:00,EB,0,1,14,1.8750,NaN,NaN,0.0000,-1.0000,0.0335,0,0.9091,0.8636
1999-06-07 11:30:00,EB,0,1,10,1.5000,NaN,NaN,-0.5000,0.0000,0.3656,0,0.8182,0.7727
1999-06-10 11:30:00,EB,0,1,7,1.3043,-0.6522,-0.5000,0.0000,0.0000,NaN,0,0.6818,0.6364
1999-06-10 11:30:00,EB,0,1,7,1.3043,-0.6522,-0.5000,0.0000,0.0000,NaN,0,0.6818,0.6364
1999-06-11 11:15:00,EB,0,1,6,1.2500,-0.6250,-0.5000,1.0000,-0.5000,-0.1011,0,0.6364,0.5909
1999-06-11 11:30:00,EB,0,1,6,1.2500,-2.5000,-2.0000,0.0000,1.5000,-0.1560,0,0.6364,0.5909
1999-06-11 14:15:00,EB,0,1,6,1.2500,-4.3750,-3.5000,-2.0000,-0.5000,0.3927,0,0.6364,0.5909
1999-06-17 13:45:00,GC_ME,1,0,0,1.0000,1.0000,1.0000,NaN,0.5000,-0.3536,1,0.4545,0.4091
1999-06-17 17:00:00,EB,0,1,14,1.8750,NaN,NaN,NaN,-2.0000,NaN,0,0.4545,0.4091
1999-06-18 13:00:00,EB,0,1,13,1.7647,NaN,NaN,0.0000,1.0000,0.2769,0,0.4091,0.3636
1999-06-21 12:45:00,EB,0,1,10,1.5000,NaN,NaN,0.0000,0.0000,0.0127,0,0.3636,0.3182
1999-06-23 12:00:00,EB,0,1,8,1.3636,2.0455,1.5000,0.5000,0.0000,-0.1520,0,0.2727,0.2273
1999-06-23 13:20:00,EB,0,1,8,1.3636,NaN,NaN,1.0000,1.0000,0.1777,0,0.2727,0.2273
1999-06-24 16:00:00,EB,0,1,7,1.3043,NaN,NaN,-0.5000,1.0000,-0.0420,0,0.2273,0.1818
1999-06-28 10:30:00,EB,0,1,3,1.1111,-0.5556,-0.5000,0.0000,-1.5000,0.2589,0,0.1364,0.0909
1999-06-30 11:30:00,EB,0,1,1,1.0345,0.5172,0.5000,0.0000,1.0000,-0.3058,0,0.0455,0.0000
1999-07-01 13:45:00,GC_ME,1,0,0,1.0000,NaN,NaN,0.5000,3.5000,-0.2769,0,1.0000,0.9545
1999-07-02 11:30:00,EB,0,1,13,1.7647,NaN,NaN,1.5000,-0.2500,0.0080,0,0.9545,0.9091
1999-07-02 14:00:00,EB,0,1,13,1.7647,NaN,NaN,-0.5000,-0.5000,0.0947,0,0.9545,0.9091
1999-07-09 11:00:00,EB,0,1,6,1.2500,16.2500,13.0000,29.0000,-0.0000,0.0723,0,0.7273,0.6818
1999-07-15 13:45:00,GC_ME,1,0,0,1.0000,NaN,NaN,0.5000,5.2500,0.5553,0,0.5455,0.5000
1999-07-19 14:00:00,EB,0,1,10,1.5000,NaN,NaN,NaN,1.0000,0.2136,0,0.4545,0.4091
1999-07-23 11:00:00,EB,0,1,6,1.2500,NaN,NaN,36.0000,0.0000,-0.1441,0,0.2727,0.2273
1999-07-29 13:45:00,GC_ME,1,0,0,1.0000,NaN,NaN,0.0000,-1.0000,-1.5852,0,0.0909,0.0455
1999-08-06 14:00:00,EB,0,1,20,3.0000,NaN,NaN,0.0000,101.0000,-0.9404,0,0.8182,0.7727
1999-08-26 13:45:00,GC_ME,1,0,0,1.0000,0.5000,0.5000,0.0000,0.0000,0.3367,0,0.1818,0.1364
1999-09-08 11:15:00,EB,0,1,1,1.0345,NaN,NaN,NaN,-0.5000,-0.1500,0,0.7727,0.7273
1999-09-09 13:45:00,GC_ME,1,0,0,1.0000,-0.7500,-0.7500,-4.0000,0.0000,0.0031,1,0.7273,0.6818
