year,month,n_gc,n_sp_1m,n_sp_1y,z_gc_1m_adj_sum,z_gc_1m_adj_kilian,z_gc_1m_adj_kilianfix,z_gc_1m_raw_sum,z_gc_1m_raw_kilian,z_gc_1m_raw_kilianfix,z_gc_3m_sum,z_gc_3m_kilian,z_gc_3m_kilianfix,z_gc_1y_sum,z_gc_1y_kilian,z_gc_1y_kilianfix,z_sp_1m_adj_sum,z_sp_1m_adj_kilian,z_sp_1m_adj_kilianfix,z_sp_1m_raw_sum,z_sp_1m_raw_kilian,z_sp_1m_raw_kilianfix,z_sp_3m_sum,z_sp_3m_kilian,z_sp_3m_kilianfix,z_sp_1y_sum,z_sp_1y_kilian,z_sp_1y_kilianfix,z_gcs_1m_adj_sum,z_gcs_1m_adj_kilian,z_gcs_1m_adj_kilianfix,z_gcs_1m_raw_sum,z_gcs_1m_raw_kilian,z_gcs_1m_raw_kilianfix,z_gcs_3m_sum,z_gcs_3m_kilian,z_gcs_3m_kilianfix,z_gcs_1y_sum,z_gcs_1y_kilian,z_gcs_1y_kilianfix,z_gc_1m_adj_jk_sum,z_gc_1m_adj_jk_kilian,z_gc_1m_adj_jk_kilianfix,z_gc_1m_adj_info_sum,z_gc_1m_adj_info_kilian,z_gc_1m_adj_info_kilianfix,z_gc_1y_jk_sum,z_gc_1y_jk_kilian,z_gc_1y_jk_kilianfix,z_gc_1y_info_sum,z_gc_1y_info_kilian,z_gc_1y_info_kilianfix,z_gc_path1y_sum,z_gc_path1y_kilian,z_gc_path1y_kilianfix
1999,1,2,2,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-0.333333,-0.285714,-0.652174,-0.372671,-0.341615,-0.500000,-0.285714,-0.261905,-1.000000,-0.476190,-0.428571,-1.500000,-0.761905,-0.690476,-0.652174,-0.372671,-0.341615,-0.500000,-0.285714,-0.261905,-1.000000,-0.476190,-0.428571,-2.500000,-1.095238,-0.976190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-0.333333,-0.285714,0.060800,0.049219,0.046324
1999,2,1,1,2,-0.500000,-0.175000,-0.150000,-0.500000,-0.175000,-0.150000,0.500000,0.175000,0.150000,0.000000,-0.666667,-0.714286,3.260870,0.046584,-0.147516,2.500000,0.035714,-0.113095,0.500000,-0.798810,-0.871429,-0.500000,-1.113095,-1.159524,2.760870,-0.128416,-0.297516,2.000000,-0.139286,-0.263095,1.000000,-0.623810,-0.721429,-0.500000,-1.779762,-1.873810,0.000000,0.000000,0.000000,-0.500000,-0.175000,-0.150000,0.000000,0.000000,0.000000,0.000000,-0.666667,-0.714286,0.421582,0.159135,0.140951
1999,3,2,4,5,-1.500000,-0.977174,-0.936957,-1.500000,-0.977174,-0.936957,0.500000,0.542391,0.545652,0.000000,0.000000,0.000000,0.071429,3.232919,3.392857,0.500000,2.641304,2.744565,-1.500000,0.948913,1.039130,-2.500000,-0.733696,-0.650000,-1.428571,2.255745,2.455901,-1.000000,1.664130,1.807609,-1.000000,1.491304,1.584783,-2.500000,-0.733696,-0.650000,-1.500000,-0.652174,-0.586957,0.000000,-0.325000,-0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.143145,0.771048,0.742425
1999,4,2,3,4,2.500000,1.083992,0.905138,2.500000,1.083992,0.905138,2.000000,1.828063,1.758893,1.500000,0.931818,0.863636,0.000000,-0.226708,-0.223602,0.000000,0.108696,0.130435,0.100000,-1.655731,-1.725494,1.800000,-1.009486,-1.200000,2.500000,0.857284,0.681536,2.500000,1.192688,1.035573,2.100000,0.172332,0.033399,3.300000,-0.077668,-0.336364,2.500000,1.083992,0.905138,0.000000,0.000000,0.000000,1.000000,0.772727,0.727273,0.500000,0.159091,0.136364,-0.743109,0.071905,0.155385
1999,5,2,0,7,0.000000,0.568182,0.681818,0.000000,0.568182,0.681818,0.000000,0.454545,0.545455,0.800000,1.253896,1.283983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,-0.203896,-0.180303,-3.100000,-1.191342,-0.961905,0.000000,0.568182,0.681818,0.000000,0.568182,0.681818,-0.400000,0.250649,0.365152,-2.300000,0.062554,0.322078,0.000000,0.568182,0.681818,0.000000,0.000000,0.000000,0.800000,0.912987,0.920346,0.000000,0.340909,0.363636,0.000000,-0.168888,-0.202666
1999,6,2,8,15,1.500000,0.931818,0.863636,1.500000,0.931818,0.863636,-1.000000,-0.954545,-0.909091,0.500000,0.341558,0.356926,-6.797207,-5.156451,-4.847487,-5.500000,-4.136364,-3.886364,-0.500000,-0.864286,-0.860606,0.000000,-1.740476,-1.888095,-5.297207,-4.224633,-3.983850,-4.000000,-3.204545,-3.022727,-1.500000,-1.818831,-1.769697,0.500000,-1.398918,-1.531169,1.000000,0.454545,0.409091,0.500000,0.477273,0.454545,0.500000,0.341558,0.356926,0.000000,0.000000,0.000000,-0.460745,-0.359420,-0.338477
1999,7,3,1,5,0.000000,0.568182,0.636364,0.000000,0.568182,0.636364,1.000000,0.727273,0.636364,7.750000,6.545455,6.215909,16.250000,10.177425,9.129825,13.000000,8.090909,7.250000,66.000000,32.113636,29.090909,0.250000,0.488636,0.477273,16.250000,10.745607,9.766188,13.000000,8.659091,7.886364,67.000000,32.840909,29.727273,8.000000,7.034091,6.693182,0.000000,0.545455,0.590909,0.000000,0.022727,0.045455,3.500000,3.772727,3.636364,4.250000,2.772727,2.579545,0.000000,-0.101325,-0.122268
1999,8,1,0,1,0.500000,0.090909,0.068182,0.500000,0.090909,0.068182,0.000000,0.227273,0.272727,0.000000,1.477273,1.829545,0.000000,4.431818,5.170455,0.000000,3.545455,4.136364,0.000000,34.136364,37.136364,101.000000,83.147727,78.568182,0.500000,4.522727,5.238636,0.500000,3.636364,4.204545,0.000000,34.363636,37.409091,101.000000,84.625000,80.397727,0.000000,0.000000,0.000000,0.500000,0.090909,0.068182,0.000000,0.000000,0.159091,0.000000,1.477273,1.670455,-0.299982,-0.054542,-0.040907
1999,9,2,1,8,-8.750000,-2.318182,-1.897727,-8.750000,-2.318182,-1.897727,-6.000000,-3.454545,-3.181818,-1.000000,-0.272727,-0.227273,-6.000000,-3.818182,-3.545455,-4.000000,-2.545455,-2.363636,0.000000,0.000000,0.000000,1.000000,18.295455,22.840909,-14.750000,-6.136364,-5.443182,-12.750000,-4.863636,-4.261364,-6.000000,-3.454545,-3.181818,0.000000,18.022727,22.613636,-0.750000,-0.545455,-0.511364,-8.000000,-1.772727,-1.386364,0.000000,0.000000,0.000000,-1.000000,-0.272727,-0.227273,5.435280,1.510534,1.249840
1999,10,2,11,14,-23.000000,-21.070346,-20.372835,-23.000000,-21.070346,-20.372835,-8.000000,-8.783550,-8.675325,-8.125000,-7.185606,-6.844156,8.167984,0.062441,-0.599238,6.000000,0.069264,-0.398268,-6.000000,-3.952381,-3.666667,6.500000,5.020563,4.756494,-14.832016,-21.007905,-20.972073,-17.000000,-21.001082,-20.771104,-14.000000,-12.735931,-12.341991,-1.625000,-2.165043,-2.087662,0.000000,-0.204545,-0.238636,-23.000000,-20.865801,-20.134199,0.000000,0.000000,0.000000,-8.125000,-7.185606,-6.844156,8.592560,8.148272,7.986161
1999,11,2,9,16,0.000000,-7.952381,-9.047619,0.000000,-7.952381,-9.047619,1.900000,-0.302814,-0.770130,0.600000,-0.966667,-1.380844,5.986908,8.729947,8.846766,4.300000,6.567100,6.657359,0.000000,-1.638528,-1.924242,-1.300000,1.593074,1.961688,5.986908,0.777566,-0.200853,4.300000,-1.385281,-2.390260,1.900000,-1.941342,-2.694372,-0.700000,0.626407,0.580844,0.000000,0.000000,0.000000,0.000000,-7.952381,-9.047619,-0.400000,-0.163636,-0.145455,1.000000,-0.803030,-1.235390,-0.339200,3.984832,4.409419
1999,12,2,5,5,1.000000,0.956522,0.913043,1.000000,0.956522,0.913043,0.000000,0.440909,0.527273,-0.300000,-0.113043,-0.072727,-1.200000,2.345903,2.670210,-1.000000,1.513439,1.752372,1.800000,1.043083,0.964822,-0.200000,-0.341107,-0.391502,-0.200000,3.302425,3.583253,0.000000,2.469960,2.665415,1.800000,1.483992,1.492095,-0.500000,-0.454150,-0.464229,0.000000,0.000000,0.000000,1.000000,0.956522,0.913043,0.000000,-0.236364,-0.254545,-0.300000,0.123320,0.181818,-0.260763,-0.449862,-0.453943
2000,1,2,3,3,-1.000000,-0.075569,0.015528,-1.000000,-0.075569,0.015528,-1.500000,-0.571429,-0.500000,-4.500000,-3.834576,-3.633333,5.723262,1.279550,0.954839,4.000000,0.814700,0.580745,0.500000,1.800207,1.854658,0.000000,-0.275776,-0.284472,4.723262,1.203980,0.970367,3.000000,0.739130,0.596273,-1.000000,1.228778,1.354658,-4.500000,-4.110352,-3.917805,0.500000,0.452381,0.428571,-1.500000,-0.527950,-0.413043,0.000000,0.000000,0.000000,-4.500000,-3.834576,-3.633333,-3.656836,-3.394885,-3.232087
2000,2,2,0,0,0.000000,-1.119048,-1.166667,0.000000,-1.119048,-1.166667,-3.000000,-3.642857,-3.571429,5.500000,3.547619,3.071429,0.000000,4.078495,4.351031,0.000000,2.880952,3.071429,0.000000,-0.952381,-0.928571,0.000000,0.071429,0.071429,0.000000,2.959447,3.184365,0.000000,1.761905,1.904762,-3.000000,-4.595238,-4.500000,5.500000,3.619048,3.142857,-0.500000,-0.404762,-0.357143,0.500000,-0.714286,-0.809524,0.000000,0.000000,0.000000,5.500000,3.547619,3.071429,5.621600,4.479578,4.037748
2000,3,3,4,5,-5.000000,-3.240166,-3.022774,-5.000000,-3.240166,-3.022774,-6.750000,-5.003106,-4.852484,-5.000000,-2.260870,-1.781573,-2.514706,-1.170077,-1.060742,-1.500000,-0.695652,-0.630435,1.000000,0.608696,0.565217,0.500000,-0.152174,-0.173913,-7.514706,-4.410242,-4.083516,-6.500000,-3.935818,-3.653209,-5.750000,-4.394410,-4.287267,-4.500000,-2.413043,-1.955487,-5.000000,-3.525880,-3.332298,0.000000,0.285714,0.309524,-5.000000,-3.260870,-3.043478,0.000000,1.000000,1.261905,1.229417,1.485440,1.699683
2000,4,2,1,1,7.250000,-1.796739,-2.376630,7.250000,-1.796739,-2.376630,15.300000,-1.502609,-2.561087,0.500000,-1.689130,-1.931522,0.000000,-1.344629,-1.453964,0.000000,-0.804348,-0.869565,0.000000,0.391304,0.434783,1.500000,1.402174,1.348913,7.250000,-3.141368,-3.830595,7.250000,-2.601087,-3.246196,15.300000,-1.111304,-2.126304,2.000000,-0.286957,-0.582609,9.250000,-0.596739,-1.276630,-2.000000,-1.200000,-1.100000,0.500000,-1.689130,-1.931522,0.000000,0.000000,0.000000,-4.609735,0.903700,1.187639
2000,5,2,5,5,-2.500000,6.981522,7.452717,-2.500000,6.981522,7.452717,-1.500000,14.878696,15.708913,2.500000,1.950000,1.866304,-27.271603,-23.818297,-22.632575,-21.100000,-18.434783,-17.517391,-2.000000,-2.391304,-2.304348,12.000000,9.684783,9.238043,-29.771603,-16.836775,-15.179858,-23.600000,-11.453261,-10.064674,-3.500000,12.487391,13.404565,14.500000,11.634783,11.104348,-2.500000,7.781522,8.352717,0.000000,-0.800000,-0.900000,0.000000,0.450000,0.475000,2.500000,1.500000,1.391304,2.164709,-4.430136,-4.754741
