year,month,eom,avg,first,chg_eom,n_days
1999,12,3.085000,3.160043,3.161000,NaN,23
2000,1,3.265000,3.107750,3.090000,0.180000,20
2000,2,3.425000,3.332857,3.275000,0.160000,21
2000,3,3.655000,3.559432,3.415000,0.230000,22
2000,4,3.920000,3.778778,3.665000,0.265000,18
2000,5,4.220000,4.129348,3.910000,0.300000,23
2000,6,4.360000,4.319886,4.235000,0.140000,22
2000,7,4.400000,4.369762,4.375000,0.040000,21
2000,8,4.645000,4.553587,4.390000,0.245000,23
2000,9,4.755000,4.671548,4.605000,0.110000,21
2000,10,4.745000,4.813068,4.735000,-0.010000,22
2000,11,4.900000,4.889886,4.917500,0.155000,22
2000,12,4.800000,4.854643,4.915000,-0.100000,21
2001,1,4.745000,4.769545,4.787500,-0.055000,22
2001,2,4.780000,4.776875,4.765000,0.035000,20
2001,3,4.660000,4.737841,4.785000,-0.120000,22
2001,4,4.825000,4.758625,4.685000,0.165000,20
2001,5,4.525000,4.623043,4.660000,-0.300000,23
2001,6,4.475000,4.508625,4.505000,-0.050000,20
2001,7,4.460000,4.500227,4.450000,-0.015000,22
2001,8,4.295000,4.435217,4.440000,-0.165000,23
2001,9,3.690000,3.976500,4.270000,-0.605000,20
2001,10,3.590000,3.688043,3.677500,-0.100000,23
2001,11,3.335000,3.373523,3.567500,-0.255000,22
2001,12,3.260000,3.322394,3.325000,-0.075000,20
2002,1,3.315000,3.309886,3.275000,0.055000,22
2002,2,3.305000,3.293125,3.305000,-0.010000,20
2002,3,3.310000,3.311000,3.305000,0.005000,20
2002,4,3.315000,3.302143,3.315000,0.005000,21
2002,5,3.365000,3.347614,3.325000,0.050000,22
2002,6,3.345000,3.358625,3.365000,-0.020000,20
2002,7,3.302500,3.322826,3.355000,-0.042500,23
2002,8,3.290000,3.295909,3.290000,-0.012500,22
2002,9,3.242500,3.279548,3.285000,-0.047500,21
2002,10,3.212500,3.247717,3.245000,-0.030000,23
2002,11,3.035000,3.158214,3.172500,-0.177500,21
2002,12,2.833000,2.904000,3.035000,-0.202000,22
2003,1,2.796000,2.815750,2.841000,-0.037000,22
2003,2,2.585000,2.734725,2.797000,-0.211000,20
2003,3,2.520000,2.555238,2.565000,-0.065000,21
2003,4,2.530000,2.540455,2.505000,0.010000,22
2003,5,2.305000,2.475000,2.525000,-0.225000,22
2003,6,2.095000,2.119048,2.265000,-0.210000,21
2003,7,2.080000,2.089565,2.105000,-0.015000,23
2003,8,2.090000,2.084286,2.095000,0.010000,21
2003,9,2.055000,2.082727,2.095000,-0.035000,22
2003,10,2.065000,2.064239,2.055000,0.010000,23
2003,11,2.100000,2.055250,2.060000,0.035000,20
2003,12,2.065000,2.080870,2.105000,-0.035000,23
2004,1,2.045000,2.042091,2.065000,-0.020000,22
2004,2,2.015000,2.024475,2.039000,-0.030000,20
2004,3,1.995000,2.009239,2.025000,-0.020000,23
2004,4,2.025000,2.019568,2.025000,0.030000,22
2004,5,2.035000,2.029190,2.019000,0.010000,21
2004,6,2.047000,2.041455,2.030000,0.012000,22
2004,7,2.045000,2.047295,2.048000,-0.002000,22
2004,8,2.042500,2.046114,2.045000,-0.002500,22
2004,9,2.045750,2.045989,2.040000,0.003250,22
2004,10,2.071000,2.061262,2.050000,0.025250,21
2004,11,2.105000,2.080068,2.075000,0.034000,22
2004,12,2.077000,2.106333,2.094000,-0.028000,23
2005,1,2.072500,2.075452,2.067000,-0.004500,21
2005,2,2.070000,2.069507,2.067500,-0.002500,20
2005,3,2.068000,2.066261,2.067500,-0.002000,23
2005,4,2.068000,2.069619,2.068000,0.000000,21
2005,5,2.073000,2.071773,2.068000,0.005000,22
2005,6,2.072500,2.072409,2.066000,-0.000500,22
2005,7,2.077000,2.074405,2.074000,0.004500,21
2005,8,2.083000,2.080478,2.078000,0.006000,23
2005,9,2.090000,2.086591,2.083000,0.007000,22
2005,10,2.095000,2.084000,2.090000,0.005000,21
2005,11,2.329000,2.193977,2.084000,0.234000,22
2005,12,2.326000,2.343386,2.347000,-0.003000,22
2006,1,2.352000,2.338932,2.327000,0.026000,22
2006,2,2.549000,2.424200,2.355000,0.197000,20
2006,3,2.599500,2.593174,2.559500,0.050500,23
2006,4,2.623000,2.610550,2.608000,0.023500,20
2006,5,2.754000,2.654043,2.625000,0.131000,23
2006,6,2.847000,2.831750,2.787000,0.093000,22
2006,7,2.995000,2.902119,2.840000,0.148000,21
2006,8,3.057500,3.053478,2.988000,0.062500,23
2006,9,3.243000,3.122500,3.057000,0.185500,21
2006,10,3.323000,3.319727,3.263000,0.080000,22
2006,11,3.528500,3.387250,3.328500,0.205500,22
2006,12,3.575500,3.586571,3.538000,0.047000,21
2007,1,3.572500,3.573587,3.577000,-0.003000,23
2007,2,3.716500,3.614500,3.567500,0.144000,20
2007,3,3.824000,3.811000,3.738000,0.107500,22
2007,4,3.816500,3.817262,3.825000,-0.007500,21
2007,5,3.989000,3.880196,3.815000,0.172500,23
2007,6,4.059000,4.058071,4.010500,0.070000,21
2007,7,4.061000,4.059250,4.057000,0.002000,22
2007,8,4.056000,4.063435,4.065500,-0.005000,23
2007,9,4.016000,4.071550,4.097000,-0.040000,20
2007,10,4.019000,4.013891,4.036000,0.003000,23
2007,11,4.009500,4.027889,4.011000,-0.009500,22
2007,12,3.974500,3.977857,4.009500,-0.035000,21
2008,1,4.006500,4.002326,3.967000,0.032000,23
2008,2,4.000000,4.015476,4.005500,-0.006500,21
2008,3,3.988000,4.013452,4.011000,-0.012000,21
2008,4,4.023000,4.011955,4.003000,0.035000,22
2008,5,4.029000,4.030273,4.022000,0.006000,22
2008,6,4.202000,4.101048,4.030000,0.173000,21
2008,7,4.299000,4.276087,4.216000,0.097000,23
2008,8,4.295000,4.300500,4.300000,-0.004000,21
2008,9,4.067500,4.256932,4.297000,-0.227500,22
2008,10,3.119000,3.616239,4.147000,-0.948500,23
2008,11,2.451500,2.821800,3.173000,-0.667500,20
2008,12,1.990000,2.153196,2.453500,-0.461500,23
2009,1,1.290500,1.598386,1.990000,-0.699500,22
2009,2,0.944500,1.161500,1.296000,-0.346000,20
2009,3,0.744000,0.818977,0.925000,-0.200500,22
2009,4,0.702000,0.787364,0.730000,-0.042000,22
2009,5,0.809500,0.738238,0.694500,0.107500,21
2009,6,0.524000,0.724250,0.796000,-0.285500,22
2009,7,0.394000,0.409848,0.518500,-0.130000,23
2009,8,0.373500,0.377714,0.389500,-0.020500,21
2009,9,0.372000,0.368750,0.369500,-0.001500,22
2009,10,0.418000,0.392682,0.374000,0.046000,22
2009,11,0.423000,0.415238,0.412500,0.005000,21
2009,12,0.360000,0.383022,0.437000,-0.063000,23
2010,1,0.350000,0.353119,0.364000,-0.010000,21
2010,2,0.350500,0.345525,0.356000,0.000500,20
2010,3,0.356000,0.352174,0.355000,0.005500,23
2010,4,0.375000,0.358864,0.360000,0.019000,22
2010,5,0.348500,0.352143,0.368000,-0.026500,21
2010,6,0.472000,0.392773,0.347500,0.123500,22
2010,7,0.468000,0.504705,0.447000,-0.004000,22
2010,8,0.458000,0.466295,0.473000,-0.010000,22
2010,9,0.673000,0.486318,0.457000,0.215000,22
2010,10,0.779000,0.736643,0.708000,0.106000,21
2010,11,0.657000,0.690591,0.770000,-0.122000,22
2010,12,0.501000,0.571348,0.668500,-0.156000,23
2011,1,0.880000,0.663690,0.492500,0.379000,21
2011,2,0.760500,0.745650,0.791000,-0.119500,20
2011,3,0.948000,0.802391,0.758000,0.187500,23
2011,4,1.170000,1.055263,0.935500,0.222000,19
