year,month,mps_gc_1y,mps_gc_3m,mps_gc_jk,mps_gc_info,mps_all_1y,mps_all_tgt,n_gc,n_speech
1999,1,-1.000000,0.000000,0.000000,-1.000000,-2.500000,-0.652174,2,2
1999,2,0.000000,0.500000,0.000000,0.000000,-0.500000,2.760870,1,2
1999,3,0.000000,0.500000,0.000000,0.000000,-2.500000,-1.428571,2,5
1999,4,1.500000,2.000000,1.000000,0.500000,3.300000,2.500000,2,4
1999,5,0.800000,0.000000,0.800000,0.000000,-2.300000,0.000000,2,7
1999,6,0.500000,-1.000000,0.500000,0.000000,0.500000,-5.297207,2,15
1999,7,7.750000,1.000000,3.500000,4.250000,8.000000,16.250000,3,5
1999,8,0.000000,0.000000,0.000000,0.000000,101.000000,0.500000,1,1
1999,9,-1.000000,-6.000000,0.000000,-1.000000,0.000000,-14.750000,2,8
1999,10,-8.125000,-8.000000,0.000000,-8.125000,-1.625000,-14.832016,2,14
1999,11,0.600000,1.900000,-0.400000,1.000000,-0.700000,5.986908,2,16
1999,12,-0.300000,0.000000,0.000000,-0.300000,-0.500000,-0.200000,2,5
2000,1,-4.500000,-1.500000,0.000000,-4.500000,-4.500000,4.723262,2,3
2000,2,5.500000,-3.000000,0.000000,5.500000,5.500000,0.000000,2,0
2000,3,-5.000000,-6.750000,-5.000000,0.000000,-4.500000,-7.514706,3,5
2000,4,0.500000,15.300000,0.500000,0.000000,2.000000,7.250000,2,1
2000,5,2.500000,-1.500000,0.000000,2.500000,14.500000,-29.771603,2,5
2000,6,15.700000,14.200000,15.700000,0.000000,17.600000,6.611111,2,3
2000,7,-6.850000,0.500000,0.000000,-6.850000,-6.850000,0.500000,2,0
2000,8,-5.800000,-6.500000,-2.800000,-3.000000,-5.800000,-9.250000,2,0
2000,9,-2.000000,-0.500000,-2.000000,0.000000,-2.825000,-1.942308,1,4
2000,10,5.500000,6.500000,5.000000,0.500000,5.500000,0.000000,2,0
2000,11,-1.150000,-2.750000,-1.000000,-0.150000,-0.800000,-1.000000,3,5
2000,12,2.500000,0.200000,0.000000,2.500000,4.000000,0.000000,1,1
2001,1,1.100000,1.350000,2.800000,-1.700000,2.350000,2.430556,2,7
2001,2,0.800000,2.200000,-0.200000,1.000000,0.850000,-0.750000,2,5
2001,3,7.050000,6.300000,6.250000,0.800000,9.050000,16.500000,3,3
2001,4,13.000000,13.000000,-1.500000,14.500000,15.700000,15.347826,2,2
2001,5,-18.000000,-19.750000,-17.000000,-1.000000,-18.600000,-16.500000,2,6
2001,6,2.000000,5.750000,0.700000,1.300000,12.300000,9.402174,2,6
2001,7,5.400000,5.400000,1.750000,3.650000,10.950000,-18.415266,2,5
