Date_time,Event_type,Days_until_next_GC,Non_regular_trading_day,Outside_regular_trading_hours,OIS_1M,OIS_2M,OIS_3M,OIS_6M,OIS_1Y,OIS_2Y,STOXX50E
1999-01-07 13:45:00,GC_ME,0,0,0,0.000000,,,-0.500000,0.000000,,-0.715447
1999-01-07 13:45:00,GC_PR,0,0,0,0.000000,,,-0.500000,0.000000,,-0.355252
1999-01-07 14:30:00,GC_PC,0,0,0,0.000000,,,,,,-0.278229
1999-01-08 09:00:00,EB,13,0,1,0.000000,,-1.000000,0.000000,-1.250000,,-0.010445
1999-01-14 13:15:00,EB,7,0,0,-0.500000,,0.000000,0.000000,-0.500000,,-0.454655
1999-01-14 18:15:00,EB,7,0,1,,,,,,,
1999-01-18 15:00:00,P,3,0,0,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,,0.196517
1999-01-19 18:00:00,P,2,0,1,,,,,,,
1999-01-21 13:45:00,GC_ME,0,0,0,,0.000000,0.000000,0.000000,-1.000000,,-1.652109
1999-01-21 13:45:00,GC_PR,0,0,0,,0.000000,,-0.500000,-0.500000,,-0.211902
1999-01-21 14:30:00,GC_PC,0,0,0,,0.000000,0.000000,0.000000,0.000000,,-1.089343
1999-01-25 19:00:00,P,24,0,1,,,,-0.500000,,,
1999-01-28 19:00:00,EB,21,0,1,,,,,,,
1999-01-30 11:45:00,EB,19,1,0,,,,,,,
1999-02-01 20:00:00,EB,17,0,1,,,,,,,
1999-02-04 18:30:00,P,14,0,1,,,,,,,
1999-02-05 09:00:00,EB,13,0,1,0.000000,-2.000000,18.000000,0.000000,0.000000,,-0.009508
1999-02-08 15:00:00,EB,10,0,0,,,-0.500000,-0.500000,-0.500000,,0.076070
1999-02-09 18:00:00,P,9,0,1,,,,,1.000000,,
1999-02-12 08:30:00,EB,6,0,1,,,,,,,
1999-02-18 13:45:00,GC_ME,0,0,0,-0.500000,,0.500000,0.000000,0.000000,,-0.175794
1999-02-18 13:45:00,GC_PR,0,0,0,,,,0.000000,-0.500000,,0.174309
1999-02-18 14:30:00,GC_PC,0,0,0,,,0.500000,0.500000,0.000000,,-0.263163
1999-02-22 19:00:00,P,10,0,1,,,,,,,
1999-02-24 02:00:00,EB,8,0,1,,,,,,,
1999-02-24 18:30:00,EB,8,0,1,,,,,,,
1999-02-25 05:20:00,EB,7,0,1,,,,,,,
1999-02-25 14:00:00,EB,7,0,0,2.500000,0.500000,1.000000,1.500000,0.000000,,-0.081260
1999-03-04 13:45:00,GC_ME,0,0,0,,,0.000000,0.000000,0.000000,,0.158085
1999-03-04 13:45:00,GC_PR,0,0,0,,,-0.500000,0.000000,0.000000,,0.274507
1999-03-04 14:30:00,GC_PC,0,0,0,,-1.000000,-0.500000,0.000000,0.000000,,-0.314092
1999-03-08 18:15:00,EB,10,0,1,,,,,0.500000,,
1999-03-09 04:40:00,EB,9,0,1,,,,,,,
1999-03-09 08:30:00,EB,9,0,1,,,,,,,
1999-03-10 02:00:00,EB,8,0,1,,,,,,,
1999-03-10 18:00:00,EB,8,0,1,,,0.000000,,,,
1999-03-16 11:00:00,EB,2,0,0,1.000000,1.500000,2.000000,,0.000000,,-0.087345
1999-03-18 13:45:00,GC_ME,0,0,0,-1.500000,-1.000000,0.500000,-1.500000,0.000000,,0.538023
1999-03-18 13:45:00,GC_PR,0,0,0,-0.500000,0.000000,0.500000,1.000000,1.000000,,0.060940
1999-03-18 14:30:00,GC_PC,0,0,0,-1.000000,-0.750000,-1.000000,-1.000000,-1.500000,,0.481325
1999-03-19 15:30:00,EB,20,0,0,,,-0.500000,3.000000,0.000000,,-0.375592
1999-03-24 09:30:00,EB,15,0,0,0.000000,0.000000,0.000000,-0.500000,-0.500000,,-0.940534
1999-03-24 17:00:00,EB,15,0,0,-0.500000,0.000000,-0.500000,0.000000,-1.000000,,0.385069
1999-03-24 19:30:00,EB,15,0,1,,,,,,,
1999-03-25 12:00:00,EB,14,0,0,,,-1.000000,,,,0.191146
1999-03-25 12:00:00,EB,14,0,0,,,-1.000000,,,,0.191146
1999-03-25 14:45:00,P,14,0,0,0.000000,5.500000,-0.500000,1.000000,-1.000000,,0.592521
1999-04-08 13:45:00,GC_ME,0,0,0,2.500000,1.500000,2.000000,0.700000,1.000000,,-0.293713
1999-04-08 13:45:00,GC_PR,0,0,0,1.000000,1.000000,1.000000,0.700000,0.000000,,-0.096814
1999-04-08 14:30:00,GC_PC,0,0,0,3.000000,0.700000,0.400000,0.550000,1.100000,,-0.357572
1999-04-12 18:00:00,EB,10,0,1,,,,,0.200000,,
1999-04-12 18:00:00,EB,10,0,1,,,,,0.200000,,
1999-04-15 08:45:00,EB,7,0,1,,1.200000,0.300000,-0.300000,-0.050000,,0.137385
1999-04-15 10:00:00,EB,7,0,0,0.000000,-2.500000,0.000000,-0.100000,0.200000,,-0.433046
1999-04-15 10:00:00,EB,7,0,0,0.000000,-2.500000,0.000000,-0.100000,0.200000,,-0.433046
1999-04-19 15:00:00,P,3,0,0,,1.000000,0.000000,0.000000,1.500000,,0.090607
1999-04-22 13:45:00,GC_ME,0,0,0,,0.500000,0.000000,0.000000,0.500000,,0.078551
1999-04-22 13:45:00,GC_PR,0,0,0,,0.500000,0.500000,0.000000,0.000000,,0.095345
1999-04-22 14:30:00,GC_PC,0,0,0,,0.000000,-0.500000,0.000000,0.300000,,-0.277191
1999-04-22 22:00:00,EB,14,0,1,,,,,,,
1999-04-24 19:00:00,EB,12,1,1,,,,,,,
1999-04-27 12:20:00,P,9,0,0,0.000000,,0.100000,-0.100000,-0.100000,,0.038642
1999-04-29 18:45:00,EB,7,0,1,,,,,,,
1999-05-03 02:30:00,EB,3,0,1,,,,,,,
1999-05-04 14:15:00,P,2,0,0,,,,0.000000,,,-0.180808
1999-05-06 13:45:00,GC_ME,0,0,0,,,,0.200000,0.800000,,-0.360207
1999-05-06 13:45:00,GC_PR,0,0,0,,,,-0.350000,0.200000,,-0.108812
1999-05-06 14:30:00,GC_PC,0,0,0,,-0.200000,,0.200000,0.500000,,-0.297679
1999-05-07 09:30:00,EB,13,0,0,,0.200000,,,0.000000,,-0.139895
1999-05-07 10:45:00,EB,13,0,0,,,,0.000000,-0.500000,,-0.254853
1999-05-07 14:00:00,EB,13,0,0,,,,0.000000,-0.100000,,0.647926
1999-05-10 20:00:00,EB,10,0,1,,,,,,,
1999-05-11 10:45:00,EB,9,0,0,,,-0.400000,-0.600000,-0.900000,,-0.232432
