freq,TIME_PERIOD,OBS_VALUE
M,1999-01,80.1300
M,1999-02,80.2600
M,1999-03,80.3900
M,1999-04,80.5200
M,1999-05,80.6500
M,1999-06,80.7800
M,1999-07,80.9100
M,1999-08,81.0400
M,1999-09,81.1700
M,1999-10,81.3000
M,1999-11,81.4300
M,1999-12,81.5600
M,2000-01,81.6900
M,2000-02,81.8200
M,2000-03,81.9500
M,2000-04,82.0800
M,2000-05,82.2100
M,2000-06,82.3400
M,2000-07,82.4700
M,2000-08,82.6000
M,2000-09,82.7300
M,2000-10,82.8600
M,2000-11,82.9900
M,2000-12,83.1200
M,2001-01,83.2500
M,2001-02,83.3800
M,2001-03,83.5100
M,2001-04,83.6400
M,2001-05,83.7700
M,2001-06,83.9000
M,2001-07,84.0300
M,2001-08,84.1600
M,2001-09,84.2900
M,2001-10,84.4200
M,2001-11,84.5500
M,2001-12,84.6800
M,2002-01,84.8100
M,2002-02,84.9400
M,2002-03,85.0700
M,2002-04,85.2000
M,2002-05,85.3300
M,2002-06,85.4600
M,2002-07,85.5900
M,2002-08,85.7200
M,2002-09,85.8500
M,2002-10,85.9800
M,2002-11,86.1100
M,2002-12,86.2400
M,2003-01,86.3700
M,2003-02,86.5000
M,2003-03,86.6300
M,2003-04,86.7600
M,2003-05,86.8900
M,2003-06,87.0200
M,2003-07,87.1500
M,2003-08,87.2800
M,2003-09,87.4100
M,2003-10,87.5400
M,2003-11,87.6700
M,2003-12,87.8000
M,2004-01,87.9300
M,2004-02,88.0600
M,2004-03,88.1900
M,2004-04,88.3200
M,2004-05,88.4500
M,2004-06,88.5800
M,2004-07,88.7100
M,2004-08,88.8400
M,2004-09,88.9700
M,2004-10,89.1000
M,2004-11,89.2300
M,2004-12,89.3600
M,2005-01,89.4900
M,2005-02,89.6200
M,2005-03,89.7500
M,2005-04,89.8800
M,2005-05,90.0100
M,2005-06,90.1400
M,2005-07,90.2700
M,2005-08,90.4000
M,2005-09,90.5300
M,2005-10,90.6600
M,2005-11,90.7900
M,2005-12,90.9200
M,2006-01,91.0500
M,2006-02,91.1800
M,2006-03,91.3100
M,2006-04,91.4400
M,2006-05,91.5700
M,2006-06,91.7000
M,2006-07,91.8300
M,2006-08,91.9600
M,2006-09,92.0900
M,2006-10,92.2200
M,2006-11,92.3500
M,2006-12,92.4800
M,2007-01,92.6100
M,2007-02,92.7400
M,2007-03,92.8700
M,2007-04,93.0000
M,2007-05,93.1300
M,2007-06,93.2600
M,2007-07,93.3900
M,2007-08,93.5200
M,2007-09,93.6500
M,2007-10,93.7800
M,2007-11,93.9100
M,2007-12,94.0400
M,2008-01,94.1700
M,2008-02,94.3000
M,2008-03,94.4300
M,2008-04,94.5600
M,2008-05,94.6900
M,2008-06,94.8200
M,2008-07,94.9500
M,2008-08,95.0800
M,2008-09,95.2100
M,2008-10,95.3400
M,2008-11,95.4700
M,2008-12,95.6000
M,2009-01,95.7300
M,2009-02,95.8600
M,2009-03,95.9900
M,2009-04,96.1200
M,2009-05,96.2500
M,2009-06,96.3800
M,2009-07,96.5100
M,2009-08,96.6400
M,2009-09,96.7700
M,2009-10,96.9000
M,2009-11,97.0300
M,2009-12,97.1600
M,2010-01,97.2900
M,2010-02,97.4200
M,2010-03,97.5500
M,2010-04,97.6800
M,2010-05,97.8100
M,2010-06,97.9400
M,2010-07,98.0700
M,2010-08,98.2000
M,2010-09,98.3300
M,2010-10,98.4600
M,2010-11,98.5900
M,2010-12,98.7200
M,2011-01,98.8500
M,2011-02,98.9800
M,2011-03,99.1100
M,2011-04,99.2400
M,2011-05,99.3700
M,2011-06,99.5000
M,2011-07,99.6300
M,2011-08,99.7600
M,2011-09,99.8900
M,2011-10,100.0200
M,2011-11,100.1500
M,2011-12,100.2800
M,2012-01,100.4100
M,2012-02,100.5400
M,2012-03,100.6700
M,2012-04,100.8000
M,2012-05,100.9300
M,2012-06,101.0600
M,2012-07,101.1900
M,2012-08,101.3200
M,2012-09,101.4500
M,2012-10,101.5800
M,2012-11,101.7100
M,2012-12,101.8400
M,2013-01,101.9700
M,2013-02,102.1000
M,2013-03,102.2300
M,2013-04,102.3600
M,2013-05,102.4900
M,2013-06,102.6200
M,2013-07,102.7500
M,2013-08,102.8800
M,2013-09,103.0100
M,2013-10,103.1400
M,2013-11,103.2700
M,2013-12,103.4000
M,2014-01,103.5300
M,2014-02,103.6600
M,2014-03,103.7900
M,2014-04,103.9200
M,2014-05,104.0500
M,2014-06,104.1800
M,2014-07,104.3100
M,2014-08,104.4400
M,2014-09,104.5700
M,2014-10,104.7000
M,2014-11,104.8300
M,2014-12,104.9600
M,2015-01,105.0900
M,2015-02,105.2200
M,2015-03,105.3500
M,2015-04,105.4800
M,2015-05,105.6100
M,2015-06,105.7400
M,2015-07,105.8700
M,2015-08,106.0000
M,2015-09,106.1300
M,2015-10,106.2600
M,2015-11,106.3900
M,2015-12,106.5200
M,2016-01,106.6500
M,2016-02,106.7800
M,2016-03,106.9100
M,2016-04,107.0400
M,2016-05,107.1700
M,2016-06,107.3000
M,2016-07,107.4300
M,2016-08,107.5600
M,2016-09,107.6900
M,2016-10,107.8200
M,2016-11,107.9500
M,2016-12,108.0800
M,2017-01,108.2100
M,2017-02,108.3400
M,2017-03,108.4700
M,2017-04,108.6000
M,2017-05,108.7300
M,2017-06,108.8600
M,2017-07,108.9900
M,2017-08,109.1200
M,2017-09,109.2500
M,2017-10,109.3800
M,2017-11,109.5100
M,2017-12,109.6400
M,2018-01,109.7700
M,2018-02,109.9000
M,2018-03,110.0300
M,2018-04,110.1600
M,2018-05,110.2900
M,2018-06,110.4200
M,2018-07,110.5500
M,2018-08,110.6800
M,2018-09,110.8100
M,2018-10,110.9400
M,2018-11,111.0700
M,2018-12,111.2000
M,2019-01,111.3300
M,2019-02,111.4600
M,2019-03,111.5900
M,2019-04,111.7200
M,2019-05,111.8500
M,2019-06,111.9800
M,2019-07,112.1100
M,2019-08,112.2400
M,2019-09,112.3700
M,2019-10,112.5000
M,2019-11,112.6300
M,2019-12,112.7600
M,2020-01,112.8900
M,2020-02,113.0200
M,2020-03,113.1500
M,2020-04,113.2800
M,2020-05,113.4100
M,2020-06,113.5400
M,2020-07,113.6700
M,2020-08,113.8000
M,2020-09,113.9300
M,2020-10,114.0600
M,2020-11,114.1900
M,2020-12,114.3200
M,2021-01,114.4500
M,2021-02,114.5800
M,2021-03,114.7100
M,2021-04,114.8400
M,2021-05,114.9700
M,2021-06,115.1000
M,2021-07,115.2300
M,2021-08,115.3600
M,2021-09,115.4900
M,2021-10,115.6200
M,2021-11,115.7500
M,2021-12,115.8800
M,2022-01,116.0100
M,2022-02,116.1400
M,2022-03,116.2700
M,2022-04,116.4000
M,2022-05,116.5300
M,2022-06,116.6600
M,2022-07,116.7900
M,2022-08,116.9200
M,2022-09,117.0500
M,2022-10,117.1800
M,2022-11,117.3100
M,2022-12,117.4400
M,2023-01,117.5700
M,2023-02,117.7000
M,2023-03,117.8300
M,2023-04,117.9600
M,2023-05,118.0900
M,2023-06,118.2200
M,2023-07,118.3500
M,2023-08,118.4800
M,2023-09,118.6100
M,2023-10,118.7400
M,2023-11,118.8700
M,2023-12,119.0000
M,2024-01,119.1300
M,2024-02,119.2600
M,2024-03,119.3900
M,2024-04,119.5200
M,2024-05,119.6500
M,2024-06,119.7800
M,2024-07,119.9100
M,2024-08,120.0400
M,2024-09,120.1700
M,2024-10,120.3000
M,2024-11,120.4300
M,2024-12,120.5600
M,2025-01,120.6900
M,2025-02,120.8200
M,2025-03,120.9500
M,2025-04,121.0800
M,2025-05,121.2100
M,2025-06,121.3400
M,2025-07,121.4700
M,2025-08,121.6000
M,2025-09,121.7300
M,2025-10,121.8600
M,2025-11,121.9900
M,2025-12,122.1200
