freq,TIME_PERIOD,OBS_VALUE
M,1999-01,95.3518
M,1999-02,95.6944
M,1999-03,96.0189
M,1999-04,96.3167
M,1999-05,96.5804
M,1999-06,96.8029
M,1999-07,96.9789
M,1999-08,97.1039
M,1999-09,97.1750
M,1999-10,97.1908
M,1999-11,97.1515
M,1999-12,97.0586
M,2000-01,96.9153
M,2000-02,96.7262
M,2000-03,96.4969
M,2000-04,96.2345
M,2000-05,95.9468
M,2000-06,95.6422
M,2000-07,95.3299
M,2000-08,95.0189
M,2000-09,94.7184
M,2000-10,94.4374
M,2000-11,94.1842
M,2000-12,93.9664
M,2001-01,93.7905
M,2001-02,93.6620
M,2001-03,93.5849
M,2001-04,93.5621
M,2001-05,93.5946
M,2001-06,93.6822
M,2001-07,93.8228
M,2001-08,94.0133
M,2001-09,94.2489
M,2001-10,94.5236
M,2001-11,94.8303
M,2001-12,95.1612
M,2002-01,95.5075
M,2002-02,95.8603
M,2002-03,96.2102
M,2002-04,96.5483
M,2002-05,96.8656
M,2002-06,97.1540
M,2002-07,97.4059
M,2002-08,97.6150
M,2002-09,97.7760
M,2002-10,97.8850
M,2002-11,97.9396
M,2002-12,97.9387
M,2003-01,97.8830
M,2003-02,97.7746
M,2003-03,97.6170
M,2003-04,97.4151
M,2003-05,97.1751
M,2003-06,96.9042
M,2003-07,96.6105
M,2003-08,96.3026
M,2003-09,95.9897
M,2003-10,95.6809
M,2003-11,95.3854
M,2003-12,95.1120
M,2004-01,94.8686
M,2004-02,94.6628
M,2004-03,94.5006
M,2004-04,94.3872
M,2004-05,94.3263
M,2004-06,94.3200
M,2004-07,94.3692
M,2004-08,94.4730
M,2004-09,94.6291
M,2004-10,94.8337
M,2004-11,95.0817
M,2004-12,95.3669
M,2005-01,95.6817
M,2005-02,96.0181
M,2005-03,96.3674
M,2005-04,96.7203
M,2005-05,97.0676
M,2005-06,97.4003
M,2005-07,97.7098
M,2005-08,97.9879
M,2005-09,98.2276
M,2005-10,98.4227
M,2005-11,98.5684
M,2005-12,98.6612
M,2006-01,98.6991
M,2006-02,98.6816
M,2006-03,98.6098
M,2006-04,98.4861
M,2006-05,98.3146
M,2006-06,98.1006
M,2006-07,97.8505
M,2006-08,97.5719
M,2006-09,97.2729
M,2006-10,96.9626
M,2006-11,96.6499
M,2006-12,96.3442
M,2007-01,96.0544
M,2007-02,95.7892
M,2007-03,95.5564
M,2007-04,95.3631
M,2007-05,95.2151
M,2007-06,95.1172
M,2007-07,95.0726
M,2007-08,95.0830
M,2007-09,95.1487
M,2007-10,95.2686
M,2007-11,95.4398
M,2007-12,95.6580
M,2008-01,95.9179
M,2008-02,96.2128
