freq,TIME_PERIOD,OBS_VALUE
M,1999-01,3031.1315
M,1999-02,3062.4091
M,1999-03,3093.6533
M,1999-04,3124.6796
M,1999-05,3155.3005
M,1999-06,3185.3266
M,1999-07,3214.5687
M,1999-08,3242.8393
M,1999-09,3269.9548
M,1999-10,3295.7375
M,1999-11,3320.0175
M,1999-12,3342.6349
M,2000-01,3363.4414
M,2000-02,3382.3028
M,2000-03,3399.1002
M,2000-04,3413.7319
M,2000-05,3426.1146
M,2000-06,3436.1848
M,2000-07,3443.8996
M,2000-08,3449.2371
M,2000-09,3452.1971
M,2000-10,3452.8009
M,2000-11,3451.0908
M,2000-12,3447.1301
M,2001-01,3441.0017
M,2001-02,3432.8071
M,2001-03,3422.6654
M,2001-04,3410.7114
M,2001-05,3397.0938
M,2001-06,3381.9738
M,2001-07,3365.5229
M,2001-08,3347.9210
M,2001-09,3329.3543
M,2001-10,3310.0137
M,2001-11,3290.0926
M,2001-12,3269.7852
M,2002-01,3249.2848
M,2002-02,3228.7826
M,2002-03,3208.4655
M,2002-04,3188.5156
M,2002-05,3169.1090
M,2002-06,3150.4143
M,2002-07,3132.5924
M,2002-08,3115.7958
M,2002-09,3100.1675
M,2002-10,3085.8416
M,2002-11,3072.9420
M,2002-12,3061.5828
M,2003-01,3051.8682
M,2003-02,3043.8922
M,2003-03,3037.7386
M,2003-04,3033.4811
M,2003-05,3031.1834
M,2003-06,3030.8990
M,2003-07,3032.6715
M,2003-08,3036.5342
M,2003-09,3042.5105
M,2003-10,3050.6137
M,2003-11,3060.8465
M,2003-12,3073.2015
M,2004-01,3087.6607
M,2004-02,3104.1951
M,2004-03,3122.7650
M,2004-04,3143.3193
M,2004-05,3165.7954
M,2004-06,3190.1191
M,2004-07,3216.2042
M,2004-08,3243.9524
M,2004-09,3273.2533
M,2004-10,3303.9842
M,2004-11,3336.0102
M,2004-12,3369.1845
M,2005-01,3403.3487
M,2005-02,3438.3330
M,2005-03,3473.9573
M,2005-04,3510.0314
M,2005-05,3546.3568
M,2005-06,3582.7272
M,2005-07,3618.9302
M,2005-08,3654.7490
M,2005-09,3689.9640
M,2005-10,3724.3548
M,2005-11,3757.7024
M,2005-12,3789.7913
M,2006-01,3820.4118
M,2006-02,3849.3624
M,2006-03,3876.4523
M,2006-04,3901.5034
M,2006-05,3924.3530
M,2006-06,3944.8553
M,2006-07,3962.8841
M,2006-08,3978.3337
M,2006-09,3991.1211
M,2006-10,4001.1866
M,2006-11,4008.4951
M,2006-12,4013.0362
M,2007-01,4014.8247
M,2007-02,4013.9002
M,2007-03,4010.3267
M,2007-04,4004.1915
M,2007-05,3995.6044
M,2007-06,3984.6959
M,2007-07,3971.6155
M,2007-08,3956.5301
M,2007-09,3939.6216
