freq,TIME_PERIOD,OBS_VALUE
M,1999-01,4.9738
M,1999-02,4.9354
M,1999-03,4.8850
M,1999-04,4.8228
M,1999-05,4.7496
M,1999-06,4.6659
M,1999-07,4.5725
M,1999-08,4.4703
M,1999-09,4.3603
M,1999-10,4.2437
M,1999-11,4.1216
M,1999-12,3.9952
M,2000-01,3.8660
M,2000-02,3.7352
M,2000-03,3.6043
M,2000-04,3.4745
M,2000-05,3.3472
M,2000-06,3.2239
M,2000-07,3.1056
M,2000-08,2.9937
M,2000-09,2.8892
M,2000-10,2.7933
M,2000-11,2.7069
M,2000-12,2.6307
M,2001-01,2.5655
M,2001-02,2.5118
M,2001-03,2.4700
M,2001-04,2.4405
M,2001-05,2.4232
M,2001-06,2.4183
M,2001-07,2.4255
M,2001-08,2.4445
M,2001-09,2.4747
M,2001-10,2.5156
M,2001-11,2.5665
M,2001-12,2.6264
M,2002-01,2.6943
M,2002-02,2.7692
M,2002-03,2.8500
M,2002-04,2.9353
M,2002-05,3.0238
M,2002-06,3.1143
M,2002-07,3.2053
M,2002-08,3.2956
M,2002-09,3.3837
M,2002-10,3.4682
M,2002-11,3.5480
M,2002-12,3.6218
M,2003-01,3.6884
M,2003-02,3.7468
M,2003-03,3.7959
M,2003-04,3.8350
M,2003-05,3.8633
M,2003-06,3.8802
M,2003-07,3.8852
M,2003-08,3.8781
M,2003-09,3.8587
M,2003-10,3.8270
M,2003-11,3.7831
M,2003-12,3.7274
M,2004-01,3.6602
M,2004-02,3.5821
M,2004-03,3.4939
M,2004-04,3.3964
M,2004-05,3.2906
M,2004-06,3.1774
M,2004-07,3.0582
M,2004-08,2.9340
M,2004-09,2.8062
M,2004-10,2.6761
M,2004-11,2.5451
M,2004-12,2.4145
M,2005-01,2.2857
M,2005-02,2.1600
M,2005-03,2.0388
M,2005-04,1.9233
M,2005-05,1.8146
M,2005-06,1.7139
M,2005-07,1.6221
M,2005-08,1.5402
M,2005-09,1.4689
M,2005-10,1.4088
M,2005-11,1.3604
M,2005-12,1.3242
M,2006-01,1.3002
M,2006-02,1.2885
M,2006-03,1.2891
M,2006-04,1.3017
M,2006-05,1.3258
M,2006-06,1.3609
M,2006-07,1.4064
M,2006-08,1.4615
M,2006-09,1.5251
M,2006-10,1.5963
M,2006-11,1.6740
M,2006-12,1.7570
M,2007-01,1.8439
M,2007-02,1.9335
M,2007-03,2.0244
M,2007-04,2.1153
M,2007-05,2.2047
M,2007-06,2.2914
M,2007-07,2.3739
M,2007-08,2.4512
M,2007-09,2.5218
M,2007-10,2.5848
M,2007-11,2.6392
M,2007-12,2.6839
M,2008-01,2.7181
M,2008-02,2.7414
M,2008-03,2.7530
M,2008-04,2.7526
M,2008-05,2.7399
M,2008-06,2.7150
M,2008-07,2.6777
M,2008-08,2.6284
M,2008-09,2.5674
M,2008-10,2.4953
M,2008-11,2.4125
M,2008-12,2.3200
M,2009-01,2.2186
M,2009-02,2.1094
M,2009-03,1.9933
M,2009-04,1.8717
M,2009-05,1.7457
M,2009-06,1.6167
M,2009-07,1.4861
M,2009-08,1.3550
M,2009-09,1.2251
M,2009-10,1.0975
M,2009-11,0.9737
M,2009-12,0.8549
M,2010-01,0.7423
M,2010-02,0.6371
M,2010-03,0.5403
M,2010-04,0.4529
M,2010-05,0.3757
M,2010-06,0.3094
M,2010-07,0.2545
M,2010-08,0.2116
M,2010-09,0.1809
M,2010-10,0.1624
M,2010-11,0.1563
M,2010-12,0.1623
M,2011-01,0.1802
M,2011-02,0.2093
M,2011-03,0.2493
M,2011-04,0.2992
M,2011-05,0.3582
M,2011-06,0.4254
M,2011-07,0.4997
M,2011-08,0.5799
M,2011-09,0.6648
M,2011-10,0.7531
M,2011-11,0.8435
M,2011-12,0.9345
M,2012-01,1.0249
M,2012-02,1.1133
M,2012-03,1.1983
M,2012-04,1.2786
M,2012-05,1.3530
M,2012-06,1.4203
M,2012-07,1.4795
M,2012-08,1.5296
M,2012-09,1.5697
M,2012-10,1.5991
M,2012-11,1.6171
M,2012-12,1.6233
M,2013-01,1.6174
M,2013-02,1.5992
M,2013-03,1.5687
M,2013-04,1.5260
M,2013-05,1.4714
