cell,role,h,n,msfe_free,msfe_ablated,ratio,dm_stat,cw_stat
ois1m_on_ois1m,escape,2,60,0.02200849264,0.02245655017,1.020358393,0.936963788,1.120500071
ois1m_on_ois1m,escape,12,60,0.9806898758,0.9064112004,0.9242587517,-2.295539437,-2.683580273
ois1m_on_ois1m,escape,pooled,60,0.5013491842,0.4644338753,0.9263680682,-2.268919954,-2.645058507
ip_on_ois1m,escape,2,60,1.336205024,1.328846593,0.9944930377,-0.4519342856,-0.3764573445
ip_on_ois1m,escape,12,60,20.95529831,17.59991688,0.8398790906,-1.415299231,-0.6942377744
ip_on_ois1m,escape,pooled,60,11.14575167,9.464381739,0.8491470134,-1.415336464,-0.6956810565
stoxx_on_ois1m,escape,2,60,44.60963554,44.40973974,0.9955189993,-0.3561104864,-0.2520084554
stoxx_on_ois1m,escape,12,60,384.4913117,353.0271028,0.9181666581,-0.7526601473,0.01428588717
stoxx_on_ois1m,escape,pooled,60,214.5504736,198.7184212,0.9262082617,-0.762934014,0.01146032376
ip_on_ip,escape,2,60,1.336205024,1.356325735,1.015058102,1.129597965,1.228377498
ip_on_ip,escape,12,60,20.95529831,19.75170638,0.9425638371,-0.4588258397,0.10849418
ip_on_ip,escape,pooled,60,11.14575167,10.55401606,0.9469093135,-0.4518847154,0.1190766374
ois1m_on_hicp_sa,control,2,60,0.02200849264,0.02271305628,1.032013262,2.414814086,2.670387639
ois1m_on_hicp_sa,control,12,60,0.9806898758,0.9028279526,0.9206049485,-1.935024729,-2.300064399
ois1m_on_hicp_sa,control,pooled,60,0.5013491842,0.4627705045,0.9230502792,-1.916341176,-2.274019444
