cell,role,h,n,msfe_free,msfe_ablated,ratio,dm_stat,cw_stat
ip_on_ois1m,escape,2,168,3.086142803,3.172510014,1.027985488,1.436776188,1.82913545
ip_on_ois1m,escape,12,168,124.1369259,121.2573221,0.9768030037,-1.061022988,-1.136630431
ip_on_ois1m,escape,pooled,168,63.61153435,62.21491605,0.9780445745,-1.050143231,-1.115606665
ip_on_ip,escape,2,168,3.086142803,3.011007042,0.975653829,-1.72261053,-1.722054048
ip_on_ip,escape,12,168,124.1369259,118.721351,0.9563741823,-1.017141242,-1.090467874
ip_on_ip,escape,pooled,168,63.61153435,60.86617902,0.9568418628,-1.020321352,-1.093786885
ois1m_on_hicp_sa,control,2,168,0.06477210263,0.06533331218,1.008664371,1.079222016,1.208399927
ois1m_on_hicp_sa,control,12,168,3.507895243,3.493868439,0.9960013617,-1.439219063,-1.516019094
ois1m_on_hicp_sa,control,pooled,168,1.786333673,1.779600876,0.9962309408,-1.481459448,-1.554394585
hicp_sa_on_stoxx,control,2,168,0.09116364033,0.08980400431,0.9850857643,-3.720585813,-3.682664028
hicp_sa_on_stoxx,control,12,168,2.586709809,2.5856489,0.9995898618,-0.08567663616,-0.0612947252
hicp_sa_on_stoxx,control,pooled,168,1.338936725,1.337726452,0.9990960945,-0.1956343769,-0.1751873689
