equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
mps,mps,0,1,0.0084568,1.55896,0.10783,0.285473,0.279135,0.287536,0.97780,1.00723
mps,i1y,0,1,0.0084568,0.47197,0.05837,0.417491,0.417735,0.418096,1.00058,1.00145
mps,ip,0,1,0.0084568,0.70411,0.13384,0.0134782,0.0134842,0.0135727,1.00045,1.00701
mps,hicp,0,1,0.0084568,1.02434,0.10007,0.0210915,0.0210294,0.0213004,0.99705,1.00990
mps,stoxx,0,1,0.0084568,0.61702,0.20795,0.00387448,0.00387651,0.00388215,1.00053,1.00198
i1y,mps,0,1,0.0084568,1.16641,0.21951,0.702282,0.694428,0.708229,0.98882,1.00847
i1y,i1y,0,1,0.0084568,0.38519,1.99840,1.32918,1.3307,1.32136,1.00115,0.99412
i1y,ip,0,1,0.0084568,0.73982,1.34783,0.0315844,0.0315877,0.0315194,1.00010,0.99794
i1y,hicp,0,1,0.0084568,0.50271,0.66453,0.0465975,0.046719,0.046693,1.00261,1.00205
i1y,stoxx,0,1,0.0084568,0.78745,1.88302,0.00796051,0.00796117,0.00787094,1.00008,0.98875
ip,mps,0,1,0.0084568,0.78382,0.04608,4.81501,4.81063,4.85808,0.99909,1.00894
ip,i1y,0,1,0.0084568,0.35868,2.36712,4.72485,4.73074,4.69661,1.00125,0.99402
ip,ip,0,1,0.0084568,0.63001,1.61236,0.265621,0.265945,0.263315,1.00122,0.99132
ip,hicp,0,1,0.0084568,0.93727,1.48563,0.597529,0.596531,0.592687,0.99833,0.99190
ip,stoxx,0,1,0.0084568,0.48359,1.00589,0.0712102,0.0713413,0.0711658,1.00184,0.99938
hicp,mps,0,1,0.0084568,0.88995,0.11538,1.47257,1.45585,1.48914,0.98865,1.01125
hicp,i1y,0,1,0.0084568,0.85807,1.26253,1.23863,1.23693,1.2345,0.99863,0.99667
hicp,ip,0,1,0.0084568,0.83433,1.64119,0.08723,0.0869172,0.0859463,0.99641,0.98528
hicp,hicp,0,1,0.0084568,17.95349,15.77792,0.567017,0.186586,0.196787,0.32907,0.34706
hicp,stoxx,0,1,0.0084568,1.17113,2.00325,0.0269693,0.0267905,0.0264859,0.99337,0.98208
stoxx,mps,0,1,0.0084568,0.84735,0.04734,21.948,21.8911,22.1164,0.99741,1.00767
stoxx,i1y,0,1,0.0084568,0.47308,0.87051,20.161,20.2025,20.166,1.00206,1.00025
stoxx,ip,0,1,0.0084568,0.65334,0.79376,1.05893,1.06001,1.06026,1.00102,1.00126
stoxx,hicp,0,1,0.0084568,0.61776,0.37853,2.86406,2.86911,2.87469,1.00176,1.00371
stoxx,stoxx,0,1,0.0084568,0.98026,0.37384,0.639643,0.636171,0.641784,0.99457,1.00335
mps,mps,0,2,0.0244432,0.81270,0.10208,0.249953,0.250824,0.26309,1.00348,1.05256
mps,i1y,0,2,0.0244432,0.46279,0.05493,0.494236,0.494741,0.495053,1.00102,1.00165
mps,ip,0,2,0.0244432,0.51120,0.12445,0.0130059,0.0131221,0.0132208,1.00893,1.01652
mps,hicp,0,2,0.0244432,0.62456,0.08211,0.0328792,0.0331471,0.0335443,1.00815,1.02023
mps,stoxx,0,2,0.0244432,0.51532,0.18811,0.00473441,0.00474483,0.0047531,1.00220,1.00395
i1y,mps,0,2,0.0244432,0.78462,0.16422,1.18562,1.20273,1.26909,1.01444,1.07041
i1y,i1y,0,2,0.0244432,0.52167,2.16413,1.35333,1.35553,1.33945,1.00162,0.98974
i1y,ip,0,2,0.0244432,0.63364,1.36589,0.0577685,0.0578819,0.0573039,1.00196,0.99196
i1y,hicp,0,2,0.0244432,0.55050,0.65464,0.0933686,0.0948683,0.0944185,1.01606,1.01124
i1y,stoxx,0,2,0.0244432,0.98515,1.95846,0.0129537,0.0128784,0.0125411,0.99418,0.96814
ip,mps,0,2,0.0244432,0.56382,0.04003,7.73997,7.94991,8.1917,1.02712,1.05836
ip,i1y,0,2,0.0244432,0.70891,2.74719,3.65842,3.6707,3.50574,1.00335,0.95826
ip,ip,0,2,0.0244432,0.67944,1.65288,0.245259,0.246029,0.238699,1.00314,0.97325
ip,hicp,0,2,0.0244432,1.18812,1.45069,0.429146,0.426703,0.417791,0.99431,0.97354
ip,stoxx,0,2,0.0244432,0.44299,1.04719,0.0529226,0.0533287,0.0527198,1.00767,0.99617
hicp,mps,0,2,0.0244432,0.66435,0.10049,1.56223,1.55414,1.6383,0.99482,1.04869
hicp,i1y,0,2,0.0244432,0.70110,1.28528,1.64167,1.6395,1.63692,0.99868,0.99711
hicp,ip,0,2,0.0244432,0.53354,1.62896,0.162366,0.163025,0.159046,1.00406,0.97955
hicp,hicp,0,2,0.0244432,18.14937,15.32727,1.11188,0.18725,0.220164,0.16841,0.19801
hicp,stoxx,0,2,0.0244432,1.27667,2.03729,0.0165486,0.0162132,0.0155399,0.97973,0.93905
stoxx,mps,0,2,0.0244432,0.61685,0.04556,34.616,35.2346,36.0041,1.01787,1.04010
stoxx,i1y,0,2,0.0244432,0.47226,0.94168,18.4681,18.6379,18.478,1.00920,1.00053
stoxx,ip,0,2,0.0244432,0.48494,0.80366,1.26174,1.27614,1.26758,1.01141,1.00463
stoxx,hicp,0,2,0.0244432,0.46611,0.35609,4.21926,4.28854,4.30833,1.01642,1.02111
