equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
mps,mps,1,1,0.00843167,1.00000,1.00000,0.285456,0.285447,0.285409,0.99997,0.99984
mps,i1y,0,1,0.00843167,0.49211,0.13938,0.41749,0.417763,0.41808,1.00065,1.00141
mps,ip,0,1,0.00843167,1.00188,0.21980,0.0134782,0.0133781,0.0135672,0.99257,1.00661
mps,hicp,0,1,0.00843167,0.81403,0.17322,0.0210926,0.0210936,0.021291,1.00005,1.00941
mps,stoxx,0,1,0.00843167,0.65855,0.18013,0.00387453,0.00387635,0.00388268,1.00047,1.00210
i1y,mps,1,1,0.00843167,1.00000,1.00000,0.702227,0.702334,0.702296,1.00015,1.00010
i1y,i1y,0,1,0.00843167,0.37814,0.43594,1.32917,1.3308,1.33091,1.00122,1.00131
i1y,ip,0,1,0.00843167,0.68595,1.02578,0.0315844,0.0315963,0.031567,1.00038,0.99945
i1y,hicp,0,1,0.00843167,0.73200,0.55629,0.0465989,0.0466479,0.0467423,1.00105,1.00308
i1y,stoxx,0,1,0.00843167,0.90113,1.59981,0.00796072,0.00794785,0.00790111,0.99838,0.99251
ip,mps,1,1,0.00843167,1.00000,1.00000,4.81466,4.81495,4.81519,1.00006,1.00011
ip,i1y,0,1,0.00843167,0.37693,1.27258,4.72483,4.73111,4.71832,1.00133,0.99862
ip,ip,0,1,0.00843167,0.57924,1.00713,0.265621,0.266037,0.265313,1.00157,0.99884
ip,hicp,0,1,0.00843167,1.30260,1.54752,0.597551,0.593239,0.592117,0.99278,0.99091
ip,stoxx,0,1,0.00843167,0.52555,0.35616,0.0712115,0.0713401,0.0714151,1.00181,1.00286
hicp,mps,1,1,0.00843167,1.00000,1.00000,1.47243,1.46855,1.46893,0.99736,0.99762
hicp,i1y,0,1,0.00843167,0.73772,0.90229,1.23862,1.23722,1.23666,0.99887,0.99842
hicp,ip,0,1,0.00843167,1.16439,0.99539,0.0872305,0.0862173,0.0867347,0.98838,0.99432
hicp,hicp,0,1,0.00843167,18.01001,18.54692,0.567069,0.185471,0.178411,0.32707,0.31462
hicp,stoxx,0,1,0.00843167,1.40113,1.78798,0.0269699,0.0267102,0.0266131,0.99037,0.98677
stoxx,mps,1,1,0.00843167,1.00000,1.00000,21.9466,21.9476,21.9479,1.00004,1.00006
stoxx,i1y,0,1,0.00843167,0.40559,0.43391,20.1609,20.2047,20.2086,1.00217,1.00237
stoxx,ip,0,1,0.00843167,0.67220,0.54063,1.05893,1.05959,1.06218,1.00063,1.00307
stoxx,hicp,0,1,0.00843167,0.68072,0.47397,2.86414,2.86778,2.8731,1.00127,1.00313
stoxx,stoxx,0,1,0.00843167,0.62702,0.39556,0.639658,0.640407,0.641658,1.00117,1.00313
mps,mps,1,2,0.0213926,1.00000,1.00000,0.248281,0.248155,0.247963,0.99949,0.99872
mps,i1y,0,2,0.0213926,0.34250,0.12945,0.494428,0.494885,0.495041,1.00092,1.00124
mps,ip,0,2,0.0213926,0.68030,0.20259,0.0130567,0.0130965,0.0132147,1.00305,1.01210
mps,hicp,0,2,0.0213926,0.54409,0.15834,0.0330247,0.0332483,0.0335251,1.00677,1.01515
mps,stoxx,0,2,0.0213926,0.54813,0.16404,0.00473907,0.00474599,0.00475428,1.00146,1.00321
i1y,mps,1,2,0.0213926,1.00000,1.00000,1.1755,1.17646,1.17596,1.00082,1.00040
i1y,i1y,0,2,0.0213926,0.68642,0.43166,1.35433,1.35477,1.35699,1.00033,1.00197
i1y,ip,0,2,0.0213926,0.55576,1.04160,0.0578501,0.0579711,0.0577747,1.00209,0.99870
i1y,hicp,0,2,0.0213926,0.43233,0.54397,0.0939819,0.0953301,0.0951636,1.01435,1.01257
i1y,stoxx,0,2,0.0213926,0.92146,1.67973,0.0129936,0.0129678,0.0127509,0.99802,0.98132
ip,mps,1,2,0.0213926,1.00000,1.00000,7.68628,7.68342,7.68931,0.99963,1.00039
ip,i1y,0,2,0.0213926,0.79291,1.67703,3.66792,3.6711,3.61274,1.00087,0.98496
ip,ip,0,2,0.0213926,0.73474,1.08931,0.24587,0.246293,0.244885,1.00172,0.99599
ip,hicp,0,2,0.0213926,1.27236,1.60260,0.431314,0.427829,0.421039,0.99192,0.97618
ip,stoxx,0,2,0.0213926,0.71638,0.33690,0.0530768,0.053154,0.0535316,1.00145,1.00857
hicp,mps,1,2,0.0213926,1.00000,1.00000,1.55573,1.48669,1.4903,0.95562,0.95794
hicp,i1y,0,2,0.0213926,0.77791,0.92667,1.64185,1.63961,1.63946,0.99864,0.99855
hicp,ip,0,2,0.0213926,0.63828,0.78114,0.162733,0.162998,0.162781,1.00163,1.00029
hicp,hicp,0,2,0.0213926,20.63111,21.29760,1.12109,0.188,0.178341,0.16769,0.15908
hicp,stoxx,0,2,0.0213926,1.54828,1.97630,0.0166427,0.0161628,0.0158713,0.97116,0.95365
stoxx,mps,1,2,0.0213926,1.00000,1.00000,34.4482,34.4751,34.4897,1.00078,1.00120
stoxx,i1y,0,2,0.0213926,0.37755,0.41805,18.5287,18.6722,18.6877,1.00774,1.00858
stoxx,ip,0,2,0.0213926,0.73063,0.44513,1.26721,1.27149,1.28123,1.00338,1.01107
stoxx,hicp,0,2,0.0213926,0.46335,0.36136,4.24256,4.29455,4.3103,1.01225,1.01597
stoxx,stoxx,0,2,0.0213926,0.73065,0.35035,0.53608,0.536336,0.540939,1.00048,1.00906
mps,mps,1,3,0.0276757,1.00000,1.00000,0.24532,0.245127,0.244793,0.99921,0.99785
mps,i1y,0,3,0.0276757,0.48798,0.12285,0.43947,0.439643,0.439826,1.00040,1.00081
mps,ip,0,3,0.0276757,0.54957,0.18377,0.0136002,0.0136432,0.013711,1.00316,1.00815
mps,hicp,0,3,0.0276757,0.59868,0.15239,0.0243058,0.0245547,0.0248742,1.01024,1.02339
mps,stoxx,0,3,0.0276757,0.76761,0.15240,0.0052153,0.00521492,0.0052268,0.99993,1.00220
i1y,mps,1,3,0.0276757,1.00000,1.00000,1.44359,1.44395,1.44241,1.00025,0.99919
i1y,i1y,0,3,0.0276757,0.77595,0.43599,1.51466,1.51424,1.51711,0.99972,1.00162
i1y,ip,0,3,0.0276757,0.71956,1.10285,0.0718517,0.0718971,0.071748,1.00063,0.99856
i1y,hicp,0,3,0.0276757,0.60211,0.56495,0.10577,0.106846,0.107117,1.01018,1.01274
i1y,stoxx,0,3,0.0276757,1.38445,1.81805,0.0172645,0.0169976,0.0168688,0.98454,0.97708
ip,mps,1,3,0.0276757,1.00000,1.00000,8.07624,8.03941,8.05844,0.99544,0.99780
ip,i1y,0,3,0.0276757,1.33939,2.84585,4.21999,4.18498,4.08016,0.99170,0.96686
ip,ip,0,3,0.0276757,0.90903,1.35143,0.315673,0.315243,0.313625,0.99864,0.99351
ip,hicp,0,3,0.0276757,1.65684,1.87228,0.560186,0.551804,0.544022,0.98504,0.97114
ip,stoxx,0,3,0.0276757,0.93121,0.31066,0.0770087,0.0768534,0.0774266,0.99798,1.00543
hicp,mps,1,3,0.0276757,1.00000,1.00000,1.76055,1.60535,1.59784,0.91184,0.90758
hicp,i1y,0,3,0.0276757,1.10326,1.18008,1.51749,1.51426,1.51496,0.99787,0.99833
hicp,ip,0,3,0.0276757,0.52363,0.86729,0.159558,0.16008,0.159572,1.00327,1.00009
hicp,hicp,0,3,0.0276757,17.55437,18.58729,1.00344,0.187766,0.172317,0.18712,0.17173
hicp,stoxx,0,3,0.0276757,1.97678,2.49221,0.0243396,0.0238212,0.0236032,0.97870,0.96974
stoxx,mps,1,3,0.0276757,1.00000,1.00000,49.3568,49.4791,49.5178,1.00248,1.00326
stoxx,i1y,0,3,0.0276757,0.58087,0.47792,31.4515,31.5036,31.5347,1.00165,1.00265
stoxx,ip,0,3,0.0276757,0.49341,0.47788,1.36157,1.37056,1.37266,1.00660,1.00814
stoxx,hicp,0,3,0.0276757,0.58298,0.34692,5.8664,5.90001,5.92882,1.00573,1.01064
stoxx,stoxx,0,3,0.0276757,0.69089,0.33557,0.565978,0.566689,0.568787,1.00126,1.00496
mps,mps,1,4,0.0321764,1.00000,1.00000,0.292121,0.291824,0.291296,0.99898,0.99718
mps,i1y,0,4,0.0321764,0.55842,0.11854,0.429437,0.429524,0.429627,1.00020,1.00044
mps,ip,0,4,0.0321764,0.78834,0.16717,0.0131028,0.0130982,0.0131847,0.99965,1.00625
mps,hicp,0,4,0.0321764,0.72255,0.15088,0.0303675,0.030427,0.0307479,1.00196,1.01252
mps,stoxx,0,4,0.0321764,0.61290,0.14115,0.00429522,0.00429828,0.00430747,1.00071,1.00285
i1y,mps,1,4,0.0321764,1.00000,1.00000,1.63822,1.63655,1.63281,0.99898,0.99670
i1y,i1y,0,4,0.0321764,1.00212,0.44285,1.991,1.988,1.99301,0.99849,1.00101
