scale_estimator,equation,block,h,lambda_h,tau_mean,tau_median,p_tau_gt1
block,i1y,i1y,1,0.0118028,0.31746,0.19598,0.0547
block,i1y,i1y,2,0.048597,0.29486,0.18731,0.0420
block,i1y,i1y,3,0.0876623,0.48035,0.38004,0.0907
block,i1y,i1y,4,0.121498,0.63367,0.47704,0.2060
block,i1y,i1y,5,0.158663,0.78108,0.65802,0.2640
block,i1y,i1y,6,0.184118,0.66615,0.50200,0.2407
block,i1y,i1y,7,0.212637,0.95044,0.81988,0.4100
block,i1y,i1y,8,0.258865,1.05283,0.90709,0.4600
block,i1y,i1y,9,0.28163,1.19072,1.08908,0.5373
block,i1y,i1y,10,0.312757,1.24620,1.04784,0.5240
block,i1y,i1y,11,0.330153,1.11361,1.02222,0.5073
block,i1y,i1y,12,0.361135,1.34056,1.19261,0.6187
block,i1y,i1y,13,0.373202,1.30692,1.17054,0.5853
block,i1y,i1y,14,0.441738,1.23921,1.11711,0.5653
block,i1y,i1y,15,0.48286,0.98852,0.89532,0.4387
block,i1y,i1y,16,0.51574,0.87357,0.76898,0.3393
block,i1y,i1y,17,0.547479,0.58946,0.42950,0.2007
block,i1y,i1y,18,0.577187,0.51550,0.35226,0.1513
block,i1y,i1y,19,0.621283,0.71484,0.58999,0.2533
block,i1y,i1y,20,0.676042,0.69877,0.57985,0.2460
block,i1y,i1y,21,0.698133,0.46309,0.30800,0.1140
block,i1y,i1y,22,0.72207,0.95373,0.84698,0.4020
block,i1y,i1y,23,0.735388,0.93928,0.85000,0.3920
block,i1y,i1y,24,0.744116,1.11509,0.98784,0.4933
block,i1y,i1y,25,0.726486,1.09176,0.98838,0.4920
block,i1y,i1y,26,0.763955,1.14398,1.03814,0.5247
block,i1y,i1y,27,0.790518,1.07448,0.96547,0.4700
block,i1y,i1y,28,0.815651,1.03014,0.93070,0.4320
block,i1y,i1y,29,0.849619,1.04162,0.90966,0.4300
block,i1y,i1y,30,0.876271,0.90346,0.82048,0.3353
block,i1y,i1y,31,0.903515,0.84834,0.75385,0.2813
block,i1y,i1y,32,0.934172,0.84225,0.74715,0.2680
block,i1y,i1y,33,0.923613,0.81839,0.73839,0.2547
block,i1y,i1y,34,0.910232,0.80161,0.70739,0.2267
block,i1y,i1y,35,0.878864,0.89651,0.82074,0.3080
block,i1y,i1y,36,0.848756,0.99567,0.89639,0.4127
block,i1y,i1y,37,0.846818,0.95664,0.86526,0.3780
block,i1y,i1y,38,0.849937,1.06225,0.95427,0.4580
block,i1y,i1y,39,0.870001,1.03963,0.92314,0.4347
block,i1y,i1y,40,0.898198,0.99875,0.89107,0.4100
block,i1y,i1y,41,0.918798,1.01668,0.87675,0.3987
block,i1y,i1y,42,0.894206,0.99690,0.87088,0.4013
block,i1y,i1y,43,0.858671,0.98278,0.87791,0.3933
block,i1y,i1y,44,0.841216,1.04210,0.91968,0.4300
block,i1y,i1y,45,0.824906,1.06492,0.95704,0.4627
block,i1y,i1y,46,0.816408,1.05063,0.95045,0.4547
block,i1y,i1y,47,0.773039,1.36874,1.23602,0.6967
block,i1y,i1y,48,0.70196,1.32427,1.20288,0.6700
block,i1y,ip,1,0.0118028,0.53409,0.40999,0.1367
block,i1y,ip,2,0.048597,0.40466,0.31232,0.0640
block,i1y,ip,3,0.0876623,0.39348,0.32685,0.0493
block,i1y,ip,4,0.121498,0.45528,0.34458,0.0927
block,i1y,ip,5,0.158663,0.45806,0.38940,0.0687
block,i1y,ip,6,0.184118,0.35955,0.30666,0.0380
block,i1y,ip,7,0.212637,0.54664,0.46858,0.1187
block,i1y,ip,8,0.258865,0.61359,0.53357,0.1433
block,i1y,ip,9,0.28163,0.80646,0.71259,0.2647
block,i1y,ip,10,0.312757,0.85192,0.78250,0.3067
block,i1y,ip,11,0.330153,0.85884,0.78003,0.3453
block,i1y,ip,12,0.361135,0.92910,0.84887,0.3727
block,i1y,ip,13,0.373202,0.80444,0.72156,0.2993
block,i1y,ip,14,0.441738,0.91330,0.82344,0.3580
block,i1y,ip,15,0.48286,0.86559,0.76723,0.3247
block,i1y,ip,16,0.51574,0.70500,0.64058,0.2147
block,i1y,ip,17,0.547479,0.74996,0.66472,0.2300
block,i1y,ip,18,0.577187,0.68067,0.57939,0.2140
block,i1y,ip,19,0.621283,0.73778,0.70889,0.2807
block,i1y,ip,20,0.676042,0.87775,0.79366,0.3493
block,i1y,ip,21,0.698133,0.74415,0.66792,0.2707
block,i1y,ip,22,0.72207,1.17331,1.11974,0.6127
block,i1y,ip,23,0.735388,1.23883,1.17820,0.6600
block,i1y,ip,24,0.744116,1.40180,1.34695,0.7673
block,i1y,ip,25,0.726486,1.52033,1.43480,0.8433
block,i1y,ip,26,0.763955,1.59706,1.52126,0.9027
block,i1y,ip,27,0.790518,1.55380,1.48170,0.9020
block,i1y,ip,28,0.815651,1.56166,1.49216,0.9100
block,i1y,ip,29,0.849619,1.52865,1.43794,0.8880
block,i1y,ip,30,0.876271,1.47132,1.39676,0.8793
block,i1y,ip,31,0.903515,1.44940,1.38603,0.8447
block,i1y,ip,32,0.934172,1.38499,1.29436,0.8240
block,i1y,ip,33,0.923613,1.33320,1.26056,0.7627
