scale_estimator,equation,block,block_held_at_1,tau_bar,null_mean,null_q90,null_q95,null_q99,escape_q95,pgt1_bar,null_pgt1_q95,is_argmax,null_argmax_freq,eq_maxstat,eq_maxstat_q95,eq_flag,ratio_q95,null_pct,p_cell,holm_reject
block,i1y,i1y,0,0.88641,0.93715,1.55222,1.74651,2.50870,0,0.3546,0.6918,1,0.3950,0.88641,2.00464,0,0.50753,0.5750,0.4250,0
block,i1y,ip,0,0.60705,0.77277,1.24734,1.44333,2.01215,0,0.1695,0.6718,0,0.1900,0.88641,2.00464,0,0.42059,0.4000,0.6000,0
block,i1y,hicp,0,0.33695,0.68154,1.09255,1.17039,1.56501,0,0.0159,0.6167,0,0.1800,0.88641,2.00464,0,0.28789,0.0300,0.9700,0
block,i1y,stoxx,0,0.70695,0.79084,1.27595,1.46068,2.03154,0,0.2115,0.7377,0,0.2350,0.88641,2.00464,0,0.48399,0.5150,0.4850,0
block,ip,i1y,0,1.80116,0.96854,1.65238,1.96680,2.79336,0,0.7298,0.7493,1,0.3250,1.80116,2.10527,0,0.91578,0.9300,0.0700,0
block,ip,ip,0,1.15398,0.84505,1.42870,1.70296,2.17689,0,0.5184,0.7455,0,0.2100,1.80116,2.10527,0,0.67763,0.8250,0.1750,0
block,ip,hicp,0,0.68693,0.77691,1.22522,1.31641,1.60066,0,0.1201,0.7163,0,0.2300,1.80116,2.10527,0,0.52182,0.4450,0.5550,0
block,ip,stoxx,0,0.58294,0.75793,1.19914,1.34271,1.61277,0,0.1572,0.6746,0,0.2350,1.80116,2.10527,0,0.43415,0.3400,0.6600,0
block,hicp,i1y,0,0.85092,1.10703,1.67092,1.84944,2.26087,0,0.2964,0.7689,0,0.2200,3.31127,2.15896,1,0.46010,0.3400,0.6600,0
block,hicp,ip,0,0.66989,0.82235,1.23598,1.39512,1.69968,0,0.2234,0.6732,0,0.0550,3.31127,2.15896,1,0.48017,0.3700,0.6300,0
block,hicp,hicp,0,3.31127,1.38283,1.89021,2.05599,2.24600,1,0.9878,0.9505,1,0.6550,3.31127,2.15896,1,1.61055,1.0000,0.0000,1
block,hicp,stoxx,0,0.86483,0.81933,1.24799,1.42746,1.69307,0,0.3203,0.6795,0,0.0700,3.31127,2.15896,1,0.60585,0.5950,0.4050,0
block,stoxx,i1y,0,1.15472,0.91154,1.51924,1.81670,2.05757,0,0.4852,0.7217,1,0.2450,1.15472,1.90114,0,0.63562,0.7700,0.2300,0
block,stoxx,ip,0,0.75369,0.90198,1.41338,1.64124,1.94285,0,0.2959,0.7342,0,0.2700,1.15472,1.90114,0,0.45922,0.4450,0.5550,0
block,stoxx,hicp,0,0.28788,0.68456,1.05196,1.19248,1.46498,0,0.0177,0.6292,0,0.1450,1.15472,1.90114,0,0.24142,0.0100,0.9900,0
block,stoxx,stoxx,0,0.34209,0.91894,1.43094,1.63513,1.90846,0,0.0379,0.7782,0,0.3400,1.15472,1.90114,0,0.20921,0.0000,1.0000,0
pooled,i1y,i1y,0,0.87845,0.67516,1.71778,2.04545,2.81290,0,0.3633,0.9384,1,0.2850,0.87845,2.21462,0,0.42946,0.6900,0.3100,0
pooled,i1y,ip,0,0.56626,0.54344,1.27926,1.61770,2.22555,0,0.0225,0.8667,0,0.1400,0.87845,2.21462,0,0.35004,0.6250,0.3750,0
pooled,i1y,hicp,0,0.28476,0.54497,1.05031,1.22046,1.67572,0,0.0000,0.7858,0,0.3300,0.87845,2.21462,0,0.23332,0.3400,0.6600,0
pooled,i1y,stoxx,0,0.63743,0.59961,1.30997,1.58538,2.09863,0,0.0243,0.9327,0,0.2450,0.87845,2.21462,0,0.40207,0.6100,0.3900,0
pooled,ip,i1y,0,1.99080,0.73542,1.83037,2.13956,2.99418,0,0.9485,0.9547,1,0.2600,1.99080,2.39727,0,0.93047,0.9400,0.0600,0
pooled,ip,ip,0,1.26497,0.64195,1.51822,1.89428,2.38815,0,0.6490,0.9156,0,0.1700,1.99080,2.39727,0,0.66779,0.8200,0.1800,0
pooled,ip,hicp,0,0.64079,0.65955,1.22682,1.36410,1.55837,0,0.0135,0.9222,0,0.3500,1.99080,2.39727,0,0.46975,0.4750,0.5250,0
pooled,ip,stoxx,0,0.50979,0.56121,1.23579,1.44814,1.64606,0,0.0093,0.8206,0,0.2200,1.99080,2.39727,0,0.35203,0.5200,0.4800,0
pooled,hicp,i1y,0,0.84687,0.95649,1.70030,1.94225,2.34701,0,0.2821,0.9250,0,0.1850,3.29798,2.29837,1,0.43603,0.4600,0.5400,0
pooled,hicp,ip,0,0.61116,0.65051,1.28205,1.53207,1.90306,0,0.0752,0.8993,0,0.0600,3.29798,2.29837,1,0.39891,0.5100,0.4900,0
pooled,hicp,hicp,0,3.29798,1.39684,1.96343,2.15568,2.46100,1,1.0000,0.9984,1,0.6900,3.29798,2.29837,1,1.52991,1.0000,0.0000,1
pooled,hicp,stoxx,0,0.88951,0.66505,1.28792,1.46707,1.94123,0,0.2742,0.8806,0,0.0650,3.29798,2.29837,1,0.60631,0.6800,0.3200,0
pooled,stoxx,i1y,0,1.05741,0.68765,1.60476,1.98713,2.25766,0,0.4885,0.9048,1,0.1900,1.05741,2.09505,0,0.53213,0.7600,0.2400,0
pooled,stoxx,ip,0,0.75937,0.76437,1.53442,1.76454,2.31395,0,0.2801,0.9424,0,0.2800,1.05741,2.09505,0,0.43035,0.5400,0.4600,0
pooled,stoxx,hicp,0,0.12044,0.54916,1.06110,1.21057,1.54652,0,0.0000,0.7749,0,0.1850,1.05741,2.09505,0,0.09949,0.1350,0.8650,0
pooled,stoxx,stoxx,0,0.12055,0.80081,1.51377,1.69570,2.01752,0,0.0000,0.9671,0,0.3450,1.05741,2.09505,0,0.07109,0.0900,0.9100,0
