# raw tau_bar is not comparable across designs: only ratio_q95, null percentiles and counts are (each design against its own null)
design,scale_estimator,p,null_R,null_method,n_free_cells,n_escape_q95,n_escape_holm,n_escape_fwer,p_fwer_min,n_eq_flag,max_ratio_q95,median_ratio_q95,top1,top2,top3,key_status
"ois4 p=2",block,2,200,resample,16,1,0,1,0.01990,1,1.86950,0.53278,ip<-ois1m(1.87),ip<-ip(0.72),hicp_sa<-ois1m(0.72),match
"ois4 p=2",pooled,2,200,resample,16,1,0,1,0.02488,1,2.43359,0.30298,ip<-ois1m(2.43),ip<-ip(0.71),hicp_sa<-ois1m(0.60),match
"ois4 p=2 wild",block,2,300,wild,16,1,0,0,0.11296,1,1.39520,0.44141,ip<-ois1m(1.40),hicp_sa<-ip(0.70),hicp_sa<-ois1m(0.67),match
"ois4 p=2 wild",pooled,2,300,wild,16,1,0,0,0.14618,1,1.53291,0.29515,ip<-ois1m(1.53),ip<-ip(0.58),hicp_sa<-ois1m(0.55),match
"ois4 p=4",block,4,200,resample,16,1,0,0,0.37811,0,1.09782,0.47339,stoxx<-hicp_sa(1.10),ip<-hicp_sa(0.91),hicp_sa<-ois1m(0.77),match
"ois4 p=4",pooled,4,200,resample,16,1,0,0,0.15920,0,1.44470,0.29765,stoxx<-hicp_sa(1.44),ip<-hicp_sa(0.86),hicp_sa<-ois1m(0.66),match
"ois4 p=4 wild",block,4,300,wild,16,2,0,0,0.44850,0,1.04314,0.49218,stoxx<-hicp_sa(1.04),ip<-hicp_sa(1.00),hicp_sa<-ois1m(0.70),match
"ois4 p=4 wild",pooled,4,300,wild,16,1,0,0,0.09967,0,1.41990,0.32100,stoxx<-hicp_sa(1.42),ip<-hicp_sa(0.95),hicp_sa<-ois1m(0.61),match
"ois4 p=6",block,6,200,resample,16,1,0,0,0.37313,0,1.08716,0.49463,ip<-hicp_sa(1.09),stoxx<-hicp_sa(0.76),stoxx<-ip(0.72),match
"ois4 p=6",pooled,6,200,resample,16,1,0,0,0.53731,0,1.01503,0.37142,ip<-hicp_sa(1.02),stoxx<-hicp_sa(0.72),stoxx<-ip(0.61),match
"ois4 p=6 wild",block,6,300,wild,16,0,0,0,0.55814,0,0.99066,0.50021,ip<-hicp_sa(0.99),stoxx<-hicp_sa(0.80),stoxx<-ip(0.65),match
"ois4 p=6 wild",pooled,6,300,wild,16,0,0,0,0.65449,0,0.93269,0.37502,ip<-hicp_sa(0.93),stoxx<-hicp_sa(0.87),stoxx<-ip(0.52),match
"ois4 p=12",block,12,1000,resample,16,4,1,1,0.00200,2,1.87649,0.57467,ip<-ois1m(1.88),stoxx<-ois1m(1.25),ip<-ip(1.24),match
"ois4 p=12",pooled,12,1000,resample,16,5,1,2,0.00599,2,2.00394,0.51410,ip<-ois1m(2.00),stoxx<-ois1m(1.46),ip<-ip(1.26),match
"ois4 p=12 wild",block,12,500,wild,16,4,1,1,0.00599,2,1.98406,0.59222,ip<-ois1m(1.98),ip<-ip(1.29),stoxx<-ois1m(1.16),match
"ois4 p=12 wild",pooled,12,500,wild,16,4,1,1,0.00599,2,2.11772,0.54037,ip<-ois1m(2.12),ip<-ip(1.31),stoxx<-ois1m(1.29),match
