instrument,F_eff,variable,h,theta,se,lo,hi,ar_lo,ar_hi,ar_unbounded,theta_la,lo_la,hi_la
z_gcs_1m_adj_sum,19.359,ois1m,0,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0,1.000000,1.000000,1.000000
z_gcs_1m_adj_sum,19.359,ois1m,1,0.547550,0.260573,0.118945,0.976155,0.039432,0.938410,0,0.633412,0.170332,1.096491
z_gcs_1m_adj_sum,19.359,ois1m,2,0.517435,0.331332,-0.027558,1.062428,-0.095530,1.030999,0,0.574585,-0.119540,1.268710
z_gcs_1m_adj_sum,19.359,ois1m,3,0.687149,0.362365,0.091112,1.283186,0.016774,1.248814,0,0.680660,-0.088668,1.449989
z_gcs_1m_adj_sum,19.359,ois1m,4,0.840402,0.457845,0.087313,1.593491,-0.006612,1.550062,0,0.813127,-0.269085,1.895340
z_gcs_1m_adj_sum,19.359,ois1m,5,0.726161,0.465641,-0.039751,1.492072,-0.088712,1.494469,0,0.603262,-0.703037,1.909561
z_gcs_1m_adj_sum,19.359,ois1m,6,0.381820,0.590311,-0.589154,1.352795,-0.710254,1.296802,0,0.264171,-1.345209,1.873551
z_gcs_1m_adj_sum,19.359,ois1m,7,-0.049090,0.659246,-1.133454,1.035273,-1.301658,0.972742,0,-0.203241,-1.969215,1.562733
z_gcs_1m_adj_sum,19.359,ois1m,8,-0.189874,0.786629,-1.483764,1.104016,-1.645138,1.068733,0,-0.394684,-2.309620,1.520252
z_gcs_1m_adj_sum,19.359,ois1m,9,-0.382516,0.951840,-1.948154,1.183122,-2.143421,1.140428,0,-0.676819,-2.686787,1.333150
z_gcs_1m_adj_sum,19.359,ois1m,10,-0.614989,0.996800,-2.254579,1.024601,-2.409229,0.979891,0,-1.027758,-3.069964,1.014448
z_gcs_1m_adj_sum,19.359,ois1m,11,-0.369421,0.995292,-2.006531,1.267689,-2.160947,1.272811,0,-0.807306,-2.816804,1.202192
z_gcs_1m_adj_sum,19.359,ois1m,12,-0.454862,0.957839,-2.030366,1.120642,-2.178971,1.125572,0,-0.898330,-2.810037,1.013378
z_gcs_1m_adj_sum,19.359,ois1m,13,-0.213285,0.831155,-1.580413,1.153843,-1.667806,1.199678,0,-0.602541,-2.422403,1.217320
z_gcs_1m_adj_sum,19.359,ois1m,14,0.168804,0.788270,-1.127785,1.465394,-1.131842,1.587691,0,-0.271568,-1.986927,1.443791
z_gcs_1m_adj_sum,19.359,ois1m,15,0.286848,0.749996,-0.946786,1.520481,-0.950646,1.599341,0,-0.127597,-1.792946,1.537753
z_gcs_1m_adj_sum,19.359,ois1m,16,0.717454,0.708077,-0.447229,1.882138,-0.450873,1.991993,0,0.312794,-1.265746,1.891334
z_gcs_1m_adj_sum,19.359,ois1m,17,1.107898,0.800565,-0.208914,2.424709,-0.173006,2.588942,0,0.598819,-0.910155,2.107793
z_gcs_1m_adj_sum,19.359,ois1m,18,1.002355,0.804976,-0.321714,2.326423,-0.285607,2.491561,0,0.369068,-1.159520,1.897656
z_gcs_1m_adj_sum,19.359,ois1m,19,1.056230,0.826245,-0.302823,2.415282,-0.224451,2.584783,0,0.294938,-1.254347,1.844222
z_gcs_1m_adj_sum,19.359,ois1m,20,0.900050,0.823108,-0.453842,2.253942,-0.416923,2.422800,0,0.044833,-1.522161,1.611827
z_gcs_1m_adj_sum,19.359,ois1m,21,0.695357,0.836536,-0.680622,2.071337,-0.643101,2.201122,0,-0.137570,-1.713081,1.437942
z_gcs_1m_adj_sum,19.359,ois1m,22,0.714091,0.777915,-0.565466,1.993648,-0.569469,2.114339,0,-0.135063,-1.652867,1.382741
z_gcs_1m_adj_sum,19.359,ois1m,23,0.622809,0.746013,-0.604273,1.849891,-0.645413,1.928332,0,-0.299815,-1.798637,1.199008
z_gcs_1m_adj_sum,19.359,ois1m,24,0.633808,0.755177,-0.608347,1.875964,-0.687752,1.879850,0,-0.267717,-1.737666,1.202233
z_gcs_1m_adj_sum,19.359,ois1m,25,0.762971,0.717473,-0.417167,1.943108,-0.528480,1.946801,0,-0.128497,-1.571571,1.314577
z_gcs_1m_adj_sum,19.359,ois1m,26,0.366630,0.704068,-0.791458,1.524719,-0.935895,1.493139,0,-0.494435,-1.955322,0.966452
z_gcs_1m_adj_sum,19.359,ois1m,27,-0.004991,0.691816,-1.142926,1.132945,-1.284850,1.101914,0,-0.812363,-2.273001,0.648276
z_gcs_1m_adj_sum,19.359,ois1m,28,0.050975,0.736584,-1.160597,1.262547,-1.274876,1.229509,0,-0.705332,-2.123391,0.712727
z_gcs_1m_adj_sum,19.359,ois1m,29,-0.024305,0.710088,-1.192296,1.143687,-1.337968,1.111837,0,-0.783063,-2.142813,0.576686
z_gcs_1m_adj_sum,19.359,ois1m,30,-0.074965,0.768623,-1.339238,1.189307,-1.535349,1.116400,0,-0.844708,-2.181421,0.492005
z_gcs_1m_adj_sum,19.359,ois1m,31,0.165871,0.782387,-1.121041,1.452783,-1.281545,1.417690,0,-0.505014,-1.851310,0.841282
z_gcs_1m_adj_sum,19.359,ois1m,32,0.195295,0.733379,-1.011005,1.401595,-1.124786,1.405370,0,-0.473746,-1.866513,0.919021
z_gcs_1m_adj_sum,19.359,ois1m,33,0.503605,0.704586,-0.655337,1.662547,-0.729421,1.701402,0,-0.209801,-1.617299,1.197698
z_gcs_1m_adj_sum,19.359,ois1m,34,0.509460,0.667544,-0.588552,1.607472,-0.692119,1.610908,0,-0.163530,-1.625282,1.298221
z_gcs_1m_adj_sum,19.359,ois1m,35,0.436862,0.621931,-0.586123,1.459848,-0.682613,1.463048,0,-0.146131,-1.556746,1.264483
z_gcs_1m_adj_sum,19.359,ois1m,36,0.542920,0.648069,-0.523058,1.608898,-0.623604,1.612233,0,0.018447,-1.378272,1.415166
z_gcs_1m_adj_sum,19.359,ois1m,37,0.644170,0.663646,-0.447430,1.735770,-0.616757,1.672821,0,0.305406,-1.144915,1.755726
z_gcs_1m_adj_sum,19.359,ois1m,38,0.380066,0.607000,-0.618361,1.378493,-0.773235,1.320917,0,0.144464,-1.269118,1.558047
z_gcs_1m_adj_sum,19.359,ois1m,39,0.416595,0.583948,-0.543914,1.377103,-0.692906,1.321713,0,0.223345,-1.187457,1.634146
