instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict,cov_share_2001_08,cov_share_2009_11,cov_share_2012_19,cov_share_top5,n_half_abs,lagpred_R2,lagpred_p,predchg_t
z_gc_1m_adj_sum,0.007539,2.840,2.802,7.853,0.0474,228,182,3.052,0.001963,0.443,0.196,-2.497,-1.268,0.204,-2.160,2.168,0.0699,-0.184,10.483,4.956,0.361,26.323,34.315,2001-05,0.561,WEAK,0.237,0.629,0.134,0.684,7,0.350,0.0003,-1.827
z_gc_1m_adj_kilian,0.007132,2.056,1.932,3.732,0.0276,228,213,2.461,-0.000055,-0.009,0.000,-1.832,-2.411,0.146,-2.298,3.026,0.0166,0.080,4.458,2.187,0.000,30.501,14.346,2008-11,-0.481,WEAK,-0.011,0.865,0.145,0.732,8,0.384,0.0025,-2.042
z_gc_1m_adj_kilianfix,0.006740,1.832,1.715,2.941,0.0225,228,214,2.353,-0.000939,-0.156,0.024,-1.664,-2.529,0.059,-2.412,3.215,0.0120,0.127,3.274,1.657,0.027,29.333,10.840,2008-11,-0.455,WEAK,-0.089,0.942,0.148,0.763,8,0.390,0.0036,-2.094
z_gc_1m_raw_sum,0.007539,2.840,2.802,7.853,0.0474,228,182,3.052,0.001963,0.443,0.196,-2.497,-1.268,0.204,-2.160,2.168,0.0699,-0.184,10.483,4.956,0.361,26.323,34.315,2001-05,0.561,WEAK,0.237,0.629,0.134,0.684,7,0.350,0.0003,-1.827
z_gc_1m_raw_kilian,0.007132,2.056,1.932,3.732,0.0276,228,213,2.461,-0.000055,-0.009,0.000,-1.832,-2.411,0.146,-2.298,3.026,0.0166,0.080,4.458,2.187,0.000,30.501,14.346,2008-11,-0.481,WEAK,-0.011,0.865,0.145,0.732,8,0.384,0.0025,-2.042
z_gc_1m_raw_kilianfix,0.006740,1.832,1.715,2.941,0.0225,228,214,2.353,-0.000939,-0.156,0.024,-1.664,-2.529,0.059,-2.412,3.215,0.0120,0.127,3.274,1.657,0.027,29.333,10.840,2008-11,-0.455,WEAK,-0.089,0.942,0.148,0.763,8,0.390,0.0036,-2.094
z_gc_3m_sum,0.012821,2.865,3.803,14.464,0.1602,228,194,3.300,0.008914,1.908,3.639,-2.443,-1.125,0.172,-0.769,2.232,0.0629,-0.242,72.186,19.384,4.799,39.136,21.196,2008-11,-0.812,bias < 30%,0.549,0.394,0.057,0.480,6,0.293,0.0001,-0.903
z_gc_3m_kilian,0.015362,2.843,3.629,13.170,0.1509,228,223,2.672,0.011164,1.860,3.460,-1.435,-1.796,-0.368,-1.248,2.500,0.0405,0.018,36.708,15.266,4.003,40.196,16.751,2008-10,0.704,bias < 30%,0.531,0.413,0.056,0.479,7,0.290,0.0008,-0.882
z_gc_3m_kilianfix,0.015830,2.868,3.594,12.914,0.1450,228,222,2.543,0.011194,1.818,3.307,-1.199,-1.907,-0.488,-1.342,2.539,0.0379,0.057,31.659,13.335,3.968,39.662,14.347,2008-10,0.730,bias < 30%,0.534,0.412,0.054,0.490,7,0.292,0.0003,-0.885
z_gc_1y_sum,0.006621,2.564,2.839,8.062,0.0722,228,204,4.289,0.004695,1.410,1.987,-2.030,-1.480,0.139,-1.222,2.266,0.0595,-0.180,14.086,6.655,2.123,12.140,4.047,2008-11,-0.542,WEAK,0.447,0.502,0.051,0.556,8,0.258,0.0000,-0.818
z_gc_1y_kilian,0.007735,2.421,2.761,7.624,0.0695,228,227,3.601,0.005434,1.242,1.542,-1.468,-1.740,-0.700,-1.334,2.563,0.0364,-0.017,14.173,6.328,2.245,10.592,7.614,2008-10,0.538,WEAK,0.480,0.456,0.063,0.531,9,0.285,0.0000,-0.760
z_gc_1y_kilianfix,0.007888,2.383,2.716,7.379,0.0655,228,227,3.430,0.005437,1.167,1.363,-1.316,-1.827,-0.864,-1.338,2.617,0.0333,0.033,13.798,5.757,2.270,9.590,7.762,2008-10,0.550,WEAK,0.491,0.445,0.065,0.550,9,0.293,0.0000,-0.754
z_sp_1m_adj_sum,0.008325,2.480,2.333,5.443,0.0557,228,188,2.998,0.003231,0.644,0.414,-0.287,2.217,-0.388,0.663,0.250,0.9098,-0.047,2.178,7.515,1.407,19.335,0.211,2001-07,-0.814,WEAK,0.344,0.640,0.017,0.708,10,0.236,0.0072,0.198
z_sp_1m_adj_kilian,0.005402,1.571,1.609,2.588,0.0156,228,222,2.441,0.000970,0.179,0.032,1.129,2.807,-1.044,-0.090,0.833,0.5039,0.163,1.397,4.368,1.179,1.935,0.501,2001-07,-0.920,WEAK,0.496,0.452,0.052,0.737,14,0.259,0.0251,0.535
z_sp_1m_adj_kilianfix,0.005073,1.489,1.550,2.403,0.0133,228,221,2.404,0.000875,0.159,0.025,1.280,2.521,-0.939,-0.077,0.922,0.4501,0.195,1.346,3.689,1.216,1.228,0.453,2001-07,-0.806,WEAK,0.545,0.401,0.054,0.770,15,0.259,0.0106,0.574
