scale_estimator,equation,block,block_held_at_1,tau_bar,null_mean,null_q90,null_q95,null_q99,escape_q95,pgt1_bar,null_pgt1_q95,is_argmax,null_argmax_freq,eq_maxstat,eq_maxstat_q95,eq_flag,ratio_q95,null_pct,p_cell,holm_reject,p_mc,p_fwer,fwer_reject
block,ois1m,ois1m,0,1.55555,0.89416,1.44644,1.65137,2.07929,0,0.6358,0.7575,1,0.2800,1.55555,1.81427,0,0.94198,0.9370,0.0630,0,0.0639,0.6803,0
block,ois1m,ip,0,1.02471,0.85978,1.36880,1.58184,1.99693,0,0.4603,0.7821,0,0.2330,1.55555,1.81427,0,0.64780,0.7200,0.2800,0,0.2807,0.9920,0
block,ois1m,hicp_sa,0,0.38082,0.81993,1.31998,1.46567,1.70831,0,0.0584,0.7381,0,0.2890,1.55555,1.81427,0,0.25982,0.0720,0.9280,0,0.9281,1.0000,0
block,ois1m,stoxx,0,0.61444,0.76783,1.21438,1.41032,1.71149,0,0.1511,0.7176,0,0.1980,1.55555,1.81427,0,0.43567,0.3880,0.6120,0,0.6124,1.0000,0
block,ip,ois1m,0,3.13326,0.89699,1.45209,1.64738,2.06025,1,0.8868,0.7536,1,0.2770,3.13326,1.87693,1,1.90197,1.0000,0.0000,1,0.0010,0.0020,1
block,ip,ip,0,1.98323,0.86996,1.39303,1.58925,2.13746,1,0.7622,0.7657,0,0.2200,3.13326,1.87693,1,1.24790,0.9840,0.0160,0,0.0170,0.1309,0
block,ip,hicp_sa,0,0.92563,0.90813,1.39143,1.58811,1.85420,0,0.3305,0.7872,0,0.3600,3.13326,1.87693,1,0.58285,0.5490,0.4510,0,0.4515,0.9980,0
block,ip,stoxx,0,0.59408,0.76378,1.19281,1.32451,1.68477,0,0.1645,0.6753,0,0.1430,3.13326,1.87693,1,0.44852,0.3360,0.6640,0,0.6643,1.0000,0
block,hicp_sa,ois1m,0,1.18254,0.93231,1.49405,1.67189,2.05117,0,0.5119,0.7781,1,0.2120,1.18254,1.97338,0,0.70731,0.7690,0.2310,0,0.2318,0.9810,0
block,hicp_sa,ip,0,0.84936,0.82375,1.29313,1.49910,1.96980,0,0.3402,0.7592,0,0.1400,1.18254,1.97338,0,0.56658,0.5980,0.4020,0,0.4026,0.9990,0
block,hicp_sa,hicp_sa,0,0.98575,1.11614,1.65726,1.83824,2.20362,0,0.3997,0.8962,0,0.5110,1.18254,1.97338,0,0.53625,0.3870,0.6130,0,0.6134,0.9990,0
block,hicp_sa,stoxx,0,0.77845,0.80389,1.26377,1.39393,1.73465,0,0.2565,0.7271,0,0.1370,1.18254,1.97338,0,0.55846,0.5390,0.4610,0,0.4615,0.9990,0
block,stoxx,ois1m,0,2.08787,0.91650,1.48640,1.68026,2.11979,1,0.7322,0.7751,1,0.2520,2.08787,1.90698,1,1.24258,0.9870,0.0130,0,0.0140,0.1379,0
block,stoxx,ip,0,1.71141,0.93162,1.43109,1.63576,1.99666,1,0.7269,0.8104,0,0.2640,2.08787,1.90698,1,1.04625,0.9660,0.0340,0,0.0350,0.4096,0
block,stoxx,hicp_sa,0,0.56413,0.84863,1.34719,1.50653,1.89578,0,0.1410,0.7557,0,0.2460,2.08787,1.90698,1,0.37446,0.2530,0.7470,0,0.7473,1.0000,0
block,stoxx,stoxx,0,0.62472,0.86407,1.37184,1.48822,1.83613,0,0.1647,0.7835,0,0.2380,2.08787,1.90698,1,0.41978,0.3160,0.6840,0,0.6843,1.0000,0
pooled,ois1m,ois1m,0,1.73895,0.71891,1.53200,1.72542,2.23642,1,0.8123,0.9455,1,0.2600,1.73895,1.93250,0,1.00784,0.9520,0.0480,0,0.0490,0.4865,0
pooled,ois1m,ip,0,1.14503,0.73714,1.46306,1.70735,2.15511,0,0.5698,0.9595,0,0.2370,1.73895,1.93250,0,0.67064,0.7750,0.2250,0,0.2258,0.9700,0
