scale_estimator,equation,block,block_held_at_1,tau_bar,null_mean,null_q90,null_q95,null_q99,escape_q95,pgt1_bar,null_pgt1_q95,is_argmax,null_argmax_freq,eq_maxstat,eq_maxstat_q95,eq_flag,ratio_q95,null_pct,p_cell,holm_reject,p_mc,p_fwer,fwer_reject
block,ois1m,ois1m,0,1.55555,0.94865,1.56291,1.91162,2.30437,0,0.6358,0.8192,1,0.2820,1.55555,2.02395,0,0.81374,0.8960,0.1040,0,0.1058,0.9142,0
block,ois1m,ip,0,1.02471,0.89370,1.44636,1.63913,2.12821,0,0.4603,0.7899,0,0.2360,1.55555,2.02395,0,0.62515,0.6800,0.3200,0,0.3214,0.9960,0
block,ois1m,hicp_sa,0,0.38082,0.90741,1.47111,1.72510,1.95835,0,0.0584,0.8320,0,0.3060,1.55555,2.02395,0,0.22075,0.0440,0.9560,0,0.9561,1.0000,0
block,ois1m,stoxx,0,0.61444,0.80179,1.26532,1.40167,1.84533,0,0.1511,0.7379,0,0.1760,1.55555,2.02395,0,0.43836,0.3500,0.6500,0,0.6507,1.0000,0
block,ip,ois1m,0,3.13326,0.84710,1.33990,1.55805,2.01756,1,0.8868,0.7159,1,0.2460,3.13326,1.81235,1,2.01101,1.0000,0.0000,1,0.0020,0.0060,1
block,ip,ip,0,1.98323,0.80026,1.29161,1.51850,2.08552,1,0.7622,0.7340,0,0.1880,3.13326,1.81235,1,1.30605,0.9820,0.0180,0,0.0200,0.0918,0
block,ip,hicp_sa,0,0.92563,0.88606,1.41201,1.56087,1.81184,0,0.3305,0.7717,0,0.3900,3.13326,1.81235,1,0.59302,0.5860,0.4140,0,0.4152,1.0000,0
block,ip,stoxx,0,0.59408,0.71213,1.09496,1.27194,1.56518,0,0.1645,0.6301,0,0.1760,3.13326,1.81235,1,0.46706,0.4300,0.5700,0,0.5709,1.0000,0
block,hicp_sa,ois1m,0,1.18254,0.93194,1.50343,1.71062,2.06072,0,0.5119,0.7825,1,0.2060,1.18254,2.01396,0,0.69130,0.7480,0.2520,0,0.2535,0.9940,0
block,hicp_sa,ip,0,0.84936,0.80443,1.29935,1.46228,1.80179,0,0.3402,0.7368,0,0.1320,1.18254,2.01396,0,0.58084,0.6200,0.3800,0,0.3812,1.0000,0
