instrument,F_eff,variable,h,theta,se,lo,hi,ar_lo,ar_hi,ar_unbounded,theta_la,lo_la,hi_la
z_gcs_1m_adj_sum,18.970,ois1m,0,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0,1.000000,1.000000,1.000000
z_gcs_1m_adj_sum,18.970,ois1m,1,0.648471,0.232104,0.266694,1.030248,0.207473,1.008232,0,0.711255,0.299218,1.123292
z_gcs_1m_adj_sum,18.970,ois1m,2,0.570515,0.286998,0.098446,1.042584,0.068269,1.029711,0,0.620977,0.022694,1.219260
z_gcs_1m_adj_sum,18.970,ois1m,3,0.780499,0.297974,0.290376,1.270622,0.273944,1.272156,0,0.815293,0.169921,1.460665
z_gcs_1m_adj_sum,18.970,ois1m,4,1.053383,0.418075,0.365710,1.741056,0.342655,1.764111,0,1.089952,0.188508,1.991395
z_gcs_1m_adj_sum,18.970,ois1m,5,0.976802,0.483775,0.181063,1.772542,0.202762,1.847598,0,0.995915,-0.142880,2.134710
z_gcs_1m_adj_sum,18.970,ois1m,6,0.824985,0.600023,-0.161966,1.811935,-0.165054,1.875026,0,0.912665,-0.409224,2.234555
z_gcs_1m_adj_sum,18.970,ois1m,7,0.668156,0.663224,-0.422751,1.759062,-0.459326,1.795637,0,0.782619,-0.634520,2.199757
z_gcs_1m_adj_sum,18.970,ois1m,8,0.707158,0.817963,-0.638272,2.052588,-0.642481,2.097695,0,0.857284,-0.716245,2.430812
z_gcs_1m_adj_sum,18.970,ois1m,9,0.536061,0.904377,-0.951507,2.023630,-0.956161,2.073503,0,0.663976,-0.955838,2.283790
z_gcs_1m_adj_sum,18.970,ois1m,10,0.345263,0.974907,-1.258316,1.948843,-1.263334,2.002606,0,0.429856,-1.217029,2.076742
z_gcs_1m_adj_sum,18.970,ois1m,11,0.500327,1.047253,-1.222250,2.222905,-1.227640,2.280657,0,0.598663,-1.070284,2.267609
