instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_gc_1m_adj_sum,0.008606,3.220,3.257,10.610,0.0574,228,182,3.052,0.001963,0.443,0.196,-2.220,-1.302,0.114,-1.990,2.154,0.0714,-0.184,16.318,6.812,0.573,21.728,24.338,2008-11,-0.588,above 10 only
z_gc_1m_adj_kilian,0.008611,2.429,2.348,5.512,0.0374,228,213,2.461,-0.000055,-0.009,0.000,-1.499,-2.447,0.010,-2.119,3.005,0.0172,0.080,7.484,3.386,0.022,24.718,10.104,2008-11,-0.550,WEAK
z_gc_1m_adj_kilianfix,0.008311,2.208,2.124,4.513,0.0318,228,214,2.353,-0.000939,-0.156,0.024,-1.321,-2.549,-0.082,-2.225,3.194,0.0124,0.127,5.726,2.723,0.000,23.932,7.646,2008-11,-0.520,WEAK
z_gc_1m_raw_sum,0.008606,3.220,3.257,10.610,0.0574,228,182,3.052,0.001963,0.443,0.196,-2.220,-1.302,0.114,-1.990,2.154,0.0714,-0.184,16.318,6.812,0.573,21.728,24.338,2008-11,-0.588,above 10 only
z_gc_1m_raw_kilian,0.008611,2.429,2.348,5.512,0.0374,228,213,2.461,-0.000055,-0.009,0.000,-1.499,-2.447,0.010,-2.119,3.005,0.0172,0.080,7.484,3.386,0.022,24.718,10.104,2008-11,-0.550,WEAK
z_gc_1m_raw_kilianfix,0.008311,2.208,2.124,4.513,0.0318,228,214,2.353,-0.000939,-0.156,0.024,-1.321,-2.549,-0.082,-2.225,3.194,0.0124,0.127,5.726,2.723,0.000,23.932,7.646,2008-11,-0.520,WEAK
z_gc_3m_sum,0.013923,2.800,3.721,13.848,0.1757,228,194,3.300,0.008914,1.908,3.639,-2.080,-1.139,0.117,-0.583,2.222,0.0640,-0.242,88.040,19.538,4.267,42.672,24.582,2008-11,-0.826,bias < 30%
z_gc_3m_kilian,0.016946,2.850,3.641,13.259,0.1707,228,223,2.672,0.011164,1.860,3.460,-1.101,-1.765,-0.480,-1.090,2.497,0.0406,0.018,50.107,15.792,3.680,44.009,19.426,2008-10,0.713,bias < 30%
z_gc_3m_kilianfix,0.017532,2.893,3.623,13.128,0.1654,228,222,2.543,0.011194,1.818,3.307,-0.873,-1.851,-0.607,-1.180,2.539,0.0379,0.057,43.613,13.897,3.668,42.968,16.908,2008-10,0.740,bias < 30%
z_gc_1y_sum,0.007332,2.698,3.023,9.136,0.0823,228,204,4.289,0.004695,1.410,1.987,-1.781,-1.476,0.056,-0.989,2.255,0.0606,-0.180,18.580,7.661,2.232,14.486,5.943,2008-11,-0.591,WEAK
z_gc_1y_kilian,0.008762,2.579,2.934,8.611,0.0828,228,227,3.601,0.005434,1.242,1.542,-1.205,-1.701,-0.835,-1.126,2.538,0.0379,-0.017,19.473,7.252,2.307,12.775,11.143,2008-11,-0.572,WEAK
z_gc_1y_kilianfix,0.008998,2.558,2.898,8.399,0.0793,228,227,3.430,0.005437,1.167,1.363,-1.051,-1.770,-1.002,-1.121,2.591,0.0347,0.033,19.475,6.685,2.335,11.441,11.423,2008-10,0.574,WEAK
z_sp_1m_adj_sum,0.008644,2.327,2.199,4.835,0.0559,228,188,2.998,0.003231,0.644,0.414,-0.171,2.350,-0.236,0.546,0.253,0.9082,-0.047,1.888,7.185,1.140,14.873,1.064,2001-07,-0.862,WEAK
z_sp_1m_adj_kilian,0.005243,1.362,1.383,1.914,0.0136,228,222,2.441,0.000970,0.179,0.032,1.145,2.959,-0.772,-0.123,0.854,0.4906,0.163,0.811,3.721,0.767,1.750,1.024,2001-07,-0.969,WEAK
z_sp_1m_adj_kilianfix,0.004870,1.278,1.314,1.728,0.0114,228,221,2.404,0.000875,0.159,0.025,1.279,2.675,-0.674,-0.095,0.948,0.4351,0.195,0.740,3.117,0.784,1.105,0.910,2001-07,-0.858,WEAK
z_sp_1m_raw_sum,0.014444,1.565,1.526,2.327,0.0710,228,205,2.022,0.005713,0.678,0.459,0.368,1.122,-0.456,0.227,0.391,0.8151,-0.039,1.514,8.262,0.748,28.780,2.201,2001-07,-1.447,WEAK
z_sp_1m_raw_kilian,0.008164,1.149,1.140,1.299,0.0175,228,224,1.774,0.002608,0.331,0.109,1.239,2.442,-2.262,-0.293,0.663,0.6178,0.121,0.645,3.473,0.808,2.580,0.711,2001-07,-1.853,WEAK
z_sp_1m_raw_kilianfix,0.007670,1.124,1.124,1.263,0.0148,228,224,1.737,0.002524,0.313,0.098,1.303,2.366,-2.165,-0.209,0.728,0.5727,0.157,0.549,2.871,0.881,1.148,0.548,2001-07,-1.658,WEAK
z_sp_3m_sum,0.002700,0.265,0.283,0.080,0.0016,228,217,1.607,0.001763,0.170,0.029,0.418,-0.765,1.229,-1.252,0.459,0.7659,-0.071,0.119,0.195,0.890,12.588,0.020,2001-09,-0.778,WEAK
z_sp_3m_kilian,-0.003417,-0.280,-0.329,0.108,0.0015,228,228,1.236,-0.003755,-0.322,0.104,0.833,-0.095,0.564,-1.690,0.827,0.5077,0.211,0.274,0.511,0.252,0.000,0.065,2011-05,0.677,WEAK
z_sp_3m_kilianfix,-0.004308,-0.362,-0.426,0.182,0.0023,228,228,1.224,-0.004507,-0.396,0.157,0.830,-0.017,0.455,-1.579,0.838,0.5009,0.226,0.243,0.633,0.171,0.063,0.069,2011-05,0.661,WEAK
z_sp_1y_sum,0.001057,0.156,0.216,0.047,0.0007,228,221,2.646,0.004572,0.770,0.593,0.588,-0.059,-0.818,0.055,0.433,0.7852,-0.074,0.426,0.006,0.003,0.286,0.102,2008-10,-0.701,WEAK
z_sp_1y_kilian,0.003384,0.665,0.732,0.536,0.0040,228,228,2.060,0.009779,1.350,1.821,0.939,0.159,0.502,0.245,0.607,0.6578,0.228,0.666,0.107,1.602,0.029,0.538,2011-05,0.585,WEAK
z_sp_1y_kilianfix,0.003347,0.687,0.725,0.526,0.0039,228,228,2.049,0.009822,1.341,1.797,0.972,0.199,0.540,0.317,0.614,0.6528,0.243,0.565,0.197,1.920,0.080,0.849,2011-05,0.579,WEAK
z_gcs_1m_adj_sum,0.008607,3.974,3.833,14.693,0.1131,228,215,4.282,0.002556,0.856,0.732,-2.131,0.361,-0.109,-1.139,1.045,0.3820,-0.197,9.968,16.517,2.155,36.698,7.547,2001-07,-0.453,bias < 30%
