instrument,block,name,value
z_gcs_1m_adj_kilian,fs,b,0.00489781
z_gcs_1m_adj_kilian,fs,se_ehw,0.00207884
z_gcs_1m_adj_kilian,fs,t_ehw,2.35603
z_gcs_1m_adj_kilian,fs,se_hac,0.00211193
z_gcs_1m_adj_kilian,fs,t_hac,2.31912
z_gcs_1m_adj_kilian,fs,F_eff,5.37831
z_gcs_1m_adj_kilian,fs,R2,0.0364582
z_gcs_1m_adj_kilian,fs,N,228
z_gcs_1m_adj_kilian,fs,n_nonzero,227
z_gcs_1m_adj_kilian,fs,sd_z,3.40663
z_gcs_1m_adj_kilian,fs,sd_us,0.0873834
z_gcs_1m_adj_kilian,fs,corr,0.19094
z_gcs_1m_adj_kilian,naive,b,-0.00104365
z_gcs_1m_adj_kilian,naive,se_ehw,0.00314871
z_gcs_1m_adj_kilian,naive,t_ehw,-0.331453
z_gcs_1m_adj_kilian,naive,se_hac,0.00331129
z_gcs_1m_adj_kilian,naive,t_hac,-0.315179
z_gcs_1m_adj_kilian,naive,F_eff,0.099338
z_gcs_1m_adj_kilian,naive,R2,0.000809412
z_gcs_1m_adj_kilian,naive,N,239
z_gcs_1m_adj_kilian,naive,n_nonzero,238
z_gcs_1m_adj_kilian,naive,sd_z,3.57548
z_gcs_1m_adj_kilian,naive,sd_us,0.131161
z_gcs_1m_adj_kilian,naive,corr,-0.0284502
z_gcs_1m_adj_kilian,placebo,t_hac_lead-3,-0.467646
z_gcs_1m_adj_kilian,placebo,b_lead-3,-0.000882646
z_gcs_1m_adj_kilian,placebo,t_hac_lead-2,-0.393647
z_gcs_1m_adj_kilian,placebo,b_lead-2,-0.00101979
z_gcs_1m_adj_kilian,placebo,t_hac_lead-1,-2.05533
z_gcs_1m_adj_kilian,placebo,b_lead-1,-0.00382181
z_gcs_1m_adj_kilian,placebo,t_hac_lead+0,2.31912
z_gcs_1m_adj_kilian,placebo,b_lead+0,0.00489781
z_gcs_1m_adj_kilian,placebo,t_hac_lead+1,0.0419254
z_gcs_1m_adj_kilian,placebo,b_lead+1,6.3013e-05
z_gcs_1m_adj_kilian,placebo,t_hac_lead+2,-0.691795
z_gcs_1m_adj_kilian,placebo,b_lead+2,-0.00172659
z_gcs_1m_adj_kilian,placebo,t_hac_lead+3,0.131901
z_gcs_1m_adj_kilian,placebo,b_lead+3,0.000385107
z_gcs_1m_adj_kilian,predict,F_hac,1.44473
z_gcs_1m_adj_kilian,predict,p_value,0.216279
z_gcs_1m_adj_kilian,predict,R2,0.0462317
z_gcs_1m_adj_kilian,predict,N,226
z_gcs_1m_adj_kilian,predict,ar1_all,0.0789267
z_gcs_1m_adj_kilian,predict,ar1_events,0.0792816
z_gcs_1m_adj_kilian,influence,F_eff_excl_crisis,3.39219
z_gcs_1m_adj_kilian,influence,b_excl_crisis,0.0039704
z_gcs_1m_adj_kilian,influence,F_eff_winsorised,5.03534
z_gcs_1m_adj_kilian,influence,top1_ym,24140
z_gcs_1m_adj_kilian,influence,top1_dfbeta,0.409254
z_gcs_1m_adj_kilian,influence,top1_F_without,4.1326
z_gcs_1m_adj_kilian,influence,top2_ym,24019
z_gcs_1m_adj_kilian,influence,top2_dfbeta,-0.397122
z_gcs_1m_adj_kilian,influence,top2_F_without,7.39764
z_gcs_1m_adj_kilian,influence,top3_ym,24112
z_gcs_1m_adj_kilian,influence,top3_dfbeta,0.354523
z_gcs_1m_adj_kilian,influence,top3_F_without,4.03871
z_gcs_1m_adj_kilian,influence,top4_ym,24142
z_gcs_1m_adj_kilian,influence,top4_dfbeta,0.32922
z_gcs_1m_adj_kilian,influence,top4_F_without,4.07039
z_gcs_1m_adj_kilian,influence,top5_ym,24115
z_gcs_1m_adj_kilian,influence,top5_dfbeta,0.29857
z_gcs_1m_adj_kilian,influence,top5_F_without,4.21485
z_gcs_1m_adj_kilian,subsample,F_eff_200101_200812,0.111453
z_gcs_1m_adj_kilian,subsample,b_200101_200812,0.000732233
z_gcs_1m_adj_kilian,subsample,F_eff_200901_201112,12.4769
z_gcs_1m_adj_kilian,subsample,b_200901_201112,0.0129069
z_gcs_1m_adj_kilian,subsample,F_eff_201201_201912,2.44529
z_gcs_1m_adj_kilian,subsample,b_201201_201912,0.00441153
