equation,block,block_held_at_1,h,lambda_h,tau_block,tau_pooled,d_fmar_ols,d_block_ols,d_pooled_ols,ratio_block,ratio_pooled
mps,mps,1,1,0.0084568,1.00000,1.00000,0.285473,0.285465,0.285424,0.99997,0.99983
mps,i1y,0,1,0.0084568,0.49257,0.10537,0.417491,0.417763,0.418089,1.00065,1.00143
mps,ip,0,1,0.0084568,1.00200,0.15224,0.0134782,0.0133781,0.013571,0.99257,1.00688
mps,hicp,0,1,0.0084568,0.81284,0.07039,0.0210915,0.0210932,0.0213043,1.00008,1.01009
mps,stoxx,0,1,0.0084568,0.65748,0.13807,0.00387448,0.00387634,0.00388288,1.00048,1.00217
i1y,mps,1,1,0.0084568,1.00000,1.00000,0.702282,0.702388,0.701949,1.00015,0.99953
i1y,i1y,0,1,0.0084568,0.37845,2.68438,1.32918,1.3308,1.31478,1.00122,0.98917
i1y,ip,0,1,0.0084568,0.68606,1.54103,0.0315844,0.0315963,0.031479,1.00038,0.99666
i1y,hicp,0,1,0.0084568,0.73074,0.69897,0.0465975,0.0466475,0.0466733,1.00107,1.00163
i1y,stoxx,0,1,0.0084568,0.89956,1.85200,0.00796051,0.00794775,0.00787433,0.99840,0.98917
ip,mps,1,1,0.0084568,1.00000,1.00000,4.81501,4.8153,4.81405,1.00006,0.99980
ip,i1y,0,1,0.0084568,0.37730,2.53094,4.72485,4.73111,4.69279,1.00133,0.99322
ip,ip,0,1,0.0084568,0.57932,1.61536,0.265621,0.266037,0.263345,1.00157,0.99143
ip,hicp,0,1,0.0084568,1.30005,1.38696,0.597529,0.593227,0.593701,0.99280,0.99359
ip,stoxx,0,1,0.0084568,0.52470,1.20436,0.0712102,0.0713399,0.0710398,1.00182,0.99761
hicp,mps,1,1,0.0084568,1.00000,1.00000,1.47257,1.46872,1.46988,0.99738,0.99818
hicp,i1y,0,1,0.0084568,0.73865,1.37071,1.23863,1.23722,1.23342,0.99887,0.99579
hicp,ip,0,1,0.0084568,1.16491,1.48246,0.08723,0.0862165,0.0862015,0.98838,0.98821
hicp,hicp,0,1,0.0084568,17.95662,16.09370,0.567017,0.185465,0.192875,0.32709,0.34016
hicp,stoxx,0,1,0.0084568,1.39842,2.05587,0.0269693,0.0267097,0.0264672,0.99038,0.98138
stoxx,mps,1,1,0.0084568,1.00000,1.00000,21.948,21.949,21.9457,1.00004,0.99989
stoxx,i1y,0,1,0.0084568,0.40597,1.17574,20.161,20.2047,20.1211,1.00217,0.99802
stoxx,ip,0,1,0.0084568,0.67227,1.11248,1.05893,1.05959,1.05661,1.00063,0.99781
stoxx,hicp,0,1,0.0084568,0.67968,0.35073,2.86406,2.86776,2.87491,1.00129,1.00379
stoxx,stoxx,0,1,0.0084568,0.62616,0.26206,0.639643,0.640401,0.642007,1.00119,1.00370
mps,mps,1,2,0.0244432,1.00000,1.00000,0.249953,0.249832,0.249622,0.99952,0.99868
mps,i1y,0,2,0.0244432,0.31608,0.09712,0.494236,0.494864,0.495045,1.00127,1.00164
mps,ip,0,2,0.0244432,0.63774,0.14002,0.0130059,0.0130786,0.013218,1.00559,1.01630
mps,hicp,0,2,0.0244432,0.50221,0.06482,0.0328792,0.0332203,0.033551,1.01037,1.02043
mps,stoxx,0,2,0.0244432,0.51397,0.12280,0.00473441,0.00474482,0.00475443,1.00220,1.00423
i1y,mps,1,2,0.0244432,1.00000,1.00000,1.18562,1.18673,1.17948,1.00094,0.99483
i1y,i1y,0,2,0.0244432,0.65609,2.82598,1.35333,1.35426,1.32937,1.00069,0.98229
i1y,ip,0,2,0.0244432,0.52476,1.56329,0.0577685,0.0579469,0.0570477,1.00309,0.98752
i1y,hicp,0,2,0.0244432,0.39857,0.69752,0.0933686,0.0952686,0.0942017,1.02035,1.00892
i1y,stoxx,0,2,0.0244432,0.87522,1.92882,0.0129537,0.0129436,0.0125594,0.99922,0.96956
ip,mps,1,2,0.0244432,1.00000,1.00000,7.73997,7.73897,7.71774,0.99987,0.99713
ip,i1y,0,2,0.0244432,0.75422,2.91896,3.65842,3.66667,3.48531,1.00225,0.95268
ip,ip,0,2,0.0244432,0.69197,1.68931,0.245259,0.246043,0.238404,1.00320,0.97205
