p,equation,block,tau_bar_early_block,pgt1_early_block,tau_bar_early_pooled,pgt1_early_pooled
2,mps,mps,1.00000,0.0000,1.00000,0.0000
2,mps,i1y,0.63115,0.1730,0.00157,0.0000
2,mps,ip,0.68496,0.2019,0.04385,0.0000
2,mps,hicp,0.77805,0.2484,0.06484,0.0001
2,mps,stoxx,0.71431,0.2148,0.04823,0.0000
2,i1y,mps,1.00000,0.0000,1.00000,0.0000
2,i1y,i1y,1.19980,0.3881,0.63229,0.1302
2,i1y,ip,0.81625,0.2456,0.23456,0.0006
2,i1y,hicp,1.04458,0.3818,0.77830,0.1652
2,i1y,stoxx,0.89258,0.2785,0.60368,0.0904
2,ip,mps,1.00000,0.0000,1.00000,0.0000
2,ip,i1y,2.09317,0.5188,1.38300,0.4596
2,ip,ip,1.26621,0.4601,0.92153,0.3515
2,ip,hicp,2.04122,0.8259,1.80400,0.9658
2,ip,stoxx,0.83752,0.2586,0.23580,0.0013
2,hicp,mps,1.00000,0.0000,1.00000,0.0000
2,hicp,i1y,2.36728,0.7353,2.25348,0.9228
2,hicp,ip,1.36568,0.4792,1.32428,0.7179
2,hicp,hicp,4.82714,0.9714,4.24338,1.0000
2,hicp,stoxx,1.36073,0.4945,1.00349,0.4475
2,stoxx,mps,1.00000,0.0000,1.00000,0.0000
2,stoxx,i1y,1.73165,0.5250,0.94771,0.3884
2,stoxx,ip,0.79194,0.2441,0.47750,0.0265
2,stoxx,hicp,0.82540,0.2725,0.38736,0.0193
2,stoxx,stoxx,0.96266,0.3279,0.75688,0.1888
6,mps,mps,1.00000,0.0000,1.00000,0.0000
6,mps,i1y,0.56159,0.1490,0.05082,0.0000
6,mps,ip,0.58569,0.1699,0.07557,0.0004
6,mps,hicp,0.64952,0.1987,0.09298,0.0004
6,mps,stoxx,0.61332,0.1739,0.05970,0.0001
6,i1y,mps,1.00000,0.0000,1.00000,0.0000
6,i1y,i1y,1.59287,0.5232,1.21424,0.5948
6,i1y,ip,1.48783,0.5821,1.27388,0.7284
6,i1y,hicp,0.71994,0.2299,0.53787,0.0150
6,i1y,stoxx,1.44867,0.6059,1.43020,0.8471
6,ip,mps,1.00000,0.0000,1.00000,0.0000
6,ip,i1y,1.41781,0.5428,1.49492,0.7654
6,ip,ip,1.13663,0.4580,1.20645,0.6007
6,ip,hicp,1.78567,0.8685,1.86462,0.9882
6,ip,stoxx,0.82791,0.2900,0.36735,0.0221
6,hicp,mps,1.00000,0.0000,1.00000,0.0000
6,hicp,i1y,1.57635,0.6627,1.63769,0.8601
6,hicp,ip,1.38682,0.5351,1.62844,0.8758
6,hicp,hicp,5.22735,0.9921,5.12269,1.0000
6,hicp,stoxx,1.22362,0.5208,1.26205,0.7671
6,stoxx,mps,1.00000,0.0000,1.00000,0.0000
6,stoxx,i1y,1.46805,0.4101,0.81435,0.3083
6,stoxx,ip,1.47233,0.5252,1.87834,0.8715
6,stoxx,hicp,0.62223,0.1870,0.08885,0.0000
6,stoxx,stoxx,0.72421,0.2370,0.67338,0.1117
12,mps,mps,1.00000,0.0000,1.00000,0.0000
12,mps,i1y,0.59531,0.1669,0.02020,0.0000
12,mps,ip,0.59989,0.1712,0.05049,0.0000
12,mps,hicp,0.54617,0.1532,0.15619,0.0009
12,mps,stoxx,0.64504,0.1998,0.07755,0.0000
12,i1y,mps,1.00000,0.0000,1.00000,0.0000
12,i1y,i1y,1.62916,0.4434,4.50923,0.9991
12,i1y,ip,1.16958,0.4277,2.28456,0.9628
12,i1y,hicp,0.85002,0.3352,0.93309,0.3803
12,i1y,stoxx,1.59314,0.6063,2.74086,0.9993
12,ip,mps,1.00000,0.0000,1.00000,0.0000
12,ip,i1y,5.63541,0.8373,7.34784,0.9997
12,ip,ip,3.32597,0.7607,4.31419,0.9960
12,ip,hicp,1.93093,0.8947,2.05231,0.9856
12,ip,stoxx,1.41530,0.5197,1.91267,0.8982
12,hicp,mps,1.00000,0.0000,1.00000,0.0000
12,hicp,i1y,2.47012,0.7317,3.17097,0.9512
12,hicp,ip,1.87341,0.6025,2.34376,0.9604
12,hicp,hicp,9.51453,1.0000,10.07785,1.0000
12,hicp,stoxx,2.27237,0.8214,2.91360,0.9967
12,stoxx,mps,1.00000,0.0000,1.00000,0.0000
12,stoxx,i1y,2.81050,0.5487,4.36255,0.8793
12,stoxx,ip,2.10309,0.4791,3.30068,0.8545
12,stoxx,hicp,0.67774,0.2192,0.27802,0.0027
12,stoxx,stoxx,0.68620,0.2228,0.36918,0.0015
