p,equation,block,tau_bar_early_block,pgt1_early_block,tau_bar_early_pooled,pgt1_early_pooled
2,mps,mps,0.49539,0.1285,0.04446,0.0012
2,mps,i1y,0.64227,0.1744,0.02349,0.0000
2,mps,ip,0.64635,0.1817,0.03065,0.0000
2,mps,hicp,0.80566,0.2527,0.13136,0.0017
2,mps,stoxx,0.73411,0.2151,0.06576,0.0000
2,i1y,mps,0.45964,0.1052,0.01624,0.0004
2,i1y,i1y,1.14334,0.3782,0.59286,0.1024
2,i1y,ip,0.82400,0.2563,0.23896,0.0004
2,i1y,hicp,1.04637,0.3872,0.78527,0.1726
2,i1y,stoxx,0.95631,0.2966,0.57357,0.0583
2,ip,mps,0.40394,0.0835,0.03958,0.0002
2,ip,i1y,2.12961,0.5344,1.36398,0.5456
2,ip,ip,1.28980,0.4727,0.94521,0.3890
2,ip,hicp,2.05164,0.8353,1.80392,0.9758
2,ip,stoxx,0.80903,0.2479,0.27610,0.0033
2,hicp,mps,0.44176,0.0963,0.02809,0.0001
2,hicp,i1y,2.29221,0.7308,2.21297,0.8917
2,hicp,ip,1.39316,0.4896,1.22355,0.6287
2,hicp,hicp,4.77824,0.9717,4.29125,1.0000
2,hicp,stoxx,1.32907,0.4798,1.09661,0.5448
2,stoxx,mps,0.39827,0.0804,0.01305,0.0000
2,stoxx,i1y,1.60699,0.5150,0.93772,0.3778
2,stoxx,ip,0.77905,0.2392,0.52879,0.0539
2,stoxx,hicp,0.82908,0.2657,0.39625,0.0246
2,stoxx,stoxx,0.96097,0.3299,0.69863,0.1341
6,mps,mps,0.33759,0.0658,0.05692,0.0000
6,mps,i1y,0.55677,0.1438,0.03297,0.0000
6,mps,ip,0.60822,0.1700,0.04434,0.0000
6,mps,hicp,0.64615,0.2018,0.07134,0.0000
6,mps,stoxx,0.67976,0.2118,0.03230,0.0000
6,i1y,mps,0.49587,0.1311,0.10998,0.0060
6,i1y,i1y,1.72960,0.5529,1.71295,0.8838
6,i1y,ip,1.53029,0.5698,1.47531,0.9043
6,i1y,hicp,0.69384,0.2146,0.63609,0.0378
6,i1y,stoxx,1.32495,0.5487,1.31332,0.8013
6,ip,mps,0.36800,0.0760,0.00308,0.0000
6,ip,i1y,1.51685,0.5778,1.53827,0.8045
6,ip,ip,1.14364,0.4715,1.13387,0.5598
6,ip,hicp,1.80081,0.8736,1.86862,0.9852
6,ip,stoxx,0.75054,0.2579,0.10179,0.0001
6,hicp,mps,0.36745,0.0816,0.05451,0.0005
6,hicp,i1y,1.61363,0.6678,1.68674,0.8839
6,hicp,ip,1.54111,0.5766,2.02002,0.9618
6,hicp,hicp,5.25410,0.9925,5.17591,1.0000
6,hicp,stoxx,1.28197,0.5474,1.38099,0.8771
6,stoxx,mps,0.35829,0.0683,0.04833,0.0000
6,stoxx,i1y,1.35871,0.3926,1.12161,0.4740
6,stoxx,ip,1.20119,0.4498,1.16245,0.5759
6,stoxx,hicp,0.60328,0.1798,0.21196,0.0029
6,stoxx,stoxx,0.72542,0.2358,0.65065,0.0695
12,mps,mps,0.38689,0.0736,0.09576,0.0000
12,mps,i1y,0.57562,0.1558,0.05501,0.0000
12,mps,ip,0.56565,0.1595,0.07564,0.0000
12,mps,hicp,0.55341,0.1622,0.13186,0.0003
12,mps,stoxx,0.66958,0.2025,0.03749,0.0000
12,i1y,mps,0.34177,0.0468,0.10965,0.0019
12,i1y,i1y,2.05193,0.5282,4.19982,0.9973
12,i1y,ip,1.32783,0.5064,1.95903,0.9389
12,i1y,hicp,0.84448,0.3272,0.87893,0.3333
12,i1y,stoxx,1.68278,0.6422,2.55598,0.9952
12,ip,mps,0.31120,0.0330,0.05638,0.0006
12,ip,i1y,5.27075,0.8035,7.17875,0.9995
12,ip,ip,3.11324,0.7187,4.20834,0.9915
12,ip,hicp,1.91885,0.8868,2.04220,0.9822
12,ip,stoxx,1.28465,0.4784,1.67375,0.8196
12,hicp,mps,0.28915,0.0292,0.01482,0.0000
12,hicp,i1y,2.34165,0.7425,3.20549,0.9656
12,hicp,ip,1.86972,0.6248,2.43345,0.9697
12,hicp,hicp,9.44448,1.0000,10.09805,1.0000
12,hicp,stoxx,2.26889,0.8400,2.79992,0.9974
12,stoxx,mps,0.31806,0.0308,0.06427,0.0001
12,stoxx,i1y,2.33796,0.5045,3.49464,0.8255
12,stoxx,ip,1.66892,0.4121,2.55802,0.7486
12,stoxx,hicp,0.60874,0.1832,0.33820,0.0022
12,stoxx,stoxx,0.68344,0.2155,0.41802,0.0216
