p,equation,block,tau_bar_early_block,pgt1_early_block,tau_bar_early_pooled,pgt1_early_pooled
2,mps,mps,0.42456,0.0993,0.03308,0.0002
2,mps,i1y,0.65020,0.1765,0.03968,0.0000
2,mps,ip,0.65599,0.1856,0.02416,0.0000
2,mps,hicp,0.81962,0.2593,0.15977,0.0027
2,mps,stoxx,0.74512,0.2205,0.06764,0.0000
2,i1y,mps,0.39414,0.0836,0.01988,0.0005
2,i1y,i1y,1.15282,0.3815,0.60654,0.1215
2,i1y,ip,0.83441,0.2605,0.24587,0.0001
2,i1y,hicp,1.06438,0.3963,0.79442,0.1875
2,i1y,stoxx,0.96769,0.3004,0.61394,0.0515
2,ip,mps,0.34369,0.0643,0.02452,0.0002
2,ip,i1y,2.16306,0.5307,1.38353,0.5404
2,ip,ip,1.30837,0.4787,0.98955,0.4142
2,ip,hicp,2.11103,0.8492,1.90397,0.9801
2,ip,stoxx,0.82289,0.2528,0.26561,0.0043
2,hicp,mps,0.37479,0.0721,0.02953,0.0005
2,hicp,i1y,2.33358,0.7415,2.32338,0.9163
2,hicp,ip,1.41459,0.4962,1.20952,0.6283
2,hicp,hicp,4.97063,0.9732,4.43118,1.0000
2,hicp,stoxx,1.35742,0.4886,1.13255,0.5878
2,stoxx,mps,0.33934,0.0628,0.00580,0.0000
2,stoxx,i1y,1.63237,0.5228,0.98639,0.4272
2,stoxx,ip,0.79050,0.2443,0.52272,0.0425
2,stoxx,hicp,0.84565,0.2719,0.38978,0.0216
2,stoxx,stoxx,0.97435,0.3360,0.70212,0.1296
6,mps,mps,0.29731,0.0540,0.04503,0.0001
6,mps,i1y,0.59266,0.1594,0.05327,0.0000
6,mps,ip,0.64756,0.1869,0.06051,0.0000
6,mps,hicp,0.69336,0.2246,0.10727,0.0002
6,mps,stoxx,0.72164,0.2292,0.05944,0.0000
6,i1y,mps,0.43772,0.1137,0.10446,0.0106
6,i1y,i1y,1.78361,0.5585,2.22273,0.9162
6,i1y,ip,1.60708,0.5857,1.80844,0.9473
6,i1y,hicp,0.75666,0.2582,0.67786,0.0795
6,i1y,stoxx,1.44018,0.5841,1.48942,0.8715
6,ip,mps,0.32422,0.0615,0.00262,0.0000
6,ip,i1y,1.64357,0.6159,1.80339,0.8800
6,ip,ip,1.23204,0.5095,1.30708,0.7054
6,ip,hicp,2.02941,0.9201,2.13523,0.9962
6,ip,stoxx,0.80006,0.2838,0.17359,0.0064
6,hicp,mps,0.32803,0.0679,0.08592,0.0022
6,hicp,i1y,1.77323,0.7027,1.91821,0.9402
6,hicp,ip,1.66716,0.5900,2.21359,0.9793
6,hicp,hicp,5.94174,0.9933,5.94402,1.0000
6,hicp,stoxx,1.40120,0.5935,1.56610,0.9406
6,stoxx,mps,0.31375,0.0550,0.03862,0.0007
6,stoxx,i1y,1.46168,0.4042,0.57120,0.1236
6,stoxx,ip,1.29846,0.4701,1.43832,0.7385
6,stoxx,hicp,0.64861,0.2011,0.19404,0.0028
6,stoxx,stoxx,0.76918,0.2564,0.70736,0.1099
12,mps,mps,0.47439,0.1027,0.12104,0.0000
12,mps,i1y,0.93970,0.2687,0.08724,0.0000
12,mps,ip,0.78698,0.2653,0.14548,0.0001
12,mps,hicp,0.87081,0.2958,0.29036,0.0317
12,mps,stoxx,0.99780,0.3244,0.04800,0.0000
12,i1y,mps,0.43827,0.0817,0.14663,0.0040
12,i1y,i1y,1.71354,0.4116,0.63887,0.1781
12,i1y,ip,1.51560,0.4539,1.60991,0.7567
12,i1y,hicp,1.63888,0.5047,2.03090,0.5534
12,i1y,stoxx,2.46647,0.6112,2.83564,0.9854
12,ip,mps,0.40519,0.0613,0.10683,0.0010
12,ip,i1y,12.48549,0.7416,21.52297,0.9814
12,ip,ip,7.79065,0.6250,13.05556,0.9299
12,ip,hicp,5.11201,0.9399,6.18195,0.9946
12,ip,stoxx,1.62673,0.4419,0.67490,0.1628
12,hicp,mps,0.37438,0.0519,0.03320,0.0000
12,hicp,i1y,6.86913,0.7961,11.04162,0.9092
12,hicp,ip,6.52778,0.6676,7.20117,0.6929
12,hicp,hicp,20.32060,1.0000,22.35023,1.0000
12,hicp,stoxx,4.77598,0.8413,8.15289,0.9964
12,stoxx,mps,0.40095,0.0541,0.13808,0.0010
12,stoxx,i1y,2.19390,0.3599,7.23671,0.4329
12,stoxx,ip,1.62026,0.3454,5.15581,0.3334
12,stoxx,hicp,0.85363,0.2888,0.15104,0.0002
12,stoxx,stoxx,0.94215,0.3163,0.49225,0.1211
