scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,mps,mps,1.0000,1.0000,1.0000,1.0000,0.8750,0.0000,0.0000,1.0883,0.3472,0.9718
block,mps,i1y,0.7101,0.8465,0.8824,0.9612,0.0050,0.2128,0.2795,1.0883,0.3472,0.9718
block,mps,ip,0.7621,0.9002,0.9942,1.0793,0.0400,0.2352,0.3026,1.0883,0.3472,0.9718
block,mps,hicp,0.7162,0.8805,0.9988,1.1547,0.0500,0.2211,0.3258,1.0883,0.3472,0.9718
block,mps,stoxx,0.7585,0.9231,0.9660,1.1514,0.0300,0.2366,0.3187,1.0883,0.3472,0.9718
block,i1y,mps,1.0000,1.0000,1.0000,1.0000,0.0750,0.0000,0.0000,4.5250,0.9253,0.8900
block,i1y,i1y,1.7799,3.2462,4.3700,6.1829,0.3800,0.4627,0.8199,4.5250,0.9253,0.8900
block,i1y,ip,1.4260,2.5526,3.0877,4.0270,0.1850,0.4378,0.7716,4.5250,0.9253,0.8900
block,i1y,hicp,1.2107,1.9912,2.3368,3.2152,0.1400,0.4508,0.9042,4.5250,0.9253,0.8900
block,i1y,stoxx,1.4006,2.4100,2.9147,3.8347,0.2200,0.4605,0.8016,4.5250,0.9253,0.8900
block,ip,mps,1.0000,1.0000,1.0000,1.0000,0.0900,0.0000,0.0000,3.7248,0.9065,0.9550
block,ip,i1y,1.3730,2.2069,2.9456,4.9908,0.2250,0.3926,0.6668,3.7248,0.9065,0.9550
block,ip,ip,1.2930,2.0647,2.7515,4.8837,0.1450,0.3947,0.7595,3.7248,0.9065,0.9550
block,ip,hicp,1.2669,2.2019,2.5836,3.6870,0.2500,0.4686,0.8987,3.7248,0.9065,0.9550
block,ip,stoxx,1.4072,2.5659,2.8920,3.9066,0.2900,0.4521,0.8511,3.7248,0.9065,0.9550
block,hicp,mps,1.0000,1.0000,1.0000,1.0000,0.0050,0.0000,0.0000,5.5209,0.9994,0.9541
block,hicp,i1y,2.1827,3.7987,4.5319,7.7984,0.1350,0.5905,0.8759,5.5209,0.9994,0.9541
block,hicp,ip,1.5187,2.7355,3.3651,6.1107,0.0650,0.4481,0.8017,5.5209,0.9994,0.9541
block,hicp,hicp,3.0076,4.2020,4.8962,5.7516,0.6950,0.8308,0.9994,5.5209,0.9994,0.9541
block,hicp,stoxx,1.5259,2.7709,3.6290,4.4095,0.1000,0.4789,0.8354,5.5209,0.9994,0.9541
block,stoxx,mps,1.0000,1.0000,1.0000,1.0000,0.0400,0.0000,0.0000,4.3625,0.9239,0.9273
block,stoxx,i1y,1.4602,2.4577,3.3969,5.1268,0.1750,0.4087,0.7326,4.3625,0.9239,0.9273
block,stoxx,ip,1.4184,2.5944,3.1391,4.4925,0.1850,0.4301,0.7807,4.3625,0.9239,0.9273
block,stoxx,hicp,1.3041,2.1388,2.5757,3.0436,0.2150,0.4918,0.9006,4.3625,0.9239,0.9273
block,stoxx,stoxx,1.6836,3.0237,3.5726,4.3223,0.3850,0.5256,0.8811,4.3625,0.9239,0.9273
pooled,mps,mps,1.0000,1.0000,1.0000,1.0000,0.9950,0.0000,0.0000,1.0000,0.0530,0.9727
pooled,mps,i1y,0.1179,0.2032,0.2200,0.2633,0.0000,0.0009,0.0052,1.0000,0.0530,0.9727
pooled,mps,ip,0.1426,0.2277,0.2711,0.3603,0.0000,0.0020,0.0082,1.0000,0.0530,0.9727
pooled,mps,hicp,0.1921,0.3083,0.3654,0.7146,0.0050,0.0102,0.0245,1.0000,0.0530,0.9727
pooled,mps,stoxx,0.1544,0.2581,0.2943,0.4174,0.0000,0.0027,0.0149,1.0000,0.0530,0.9727
pooled,i1y,mps,1.0000,1.0000,1.0000,1.0000,0.2350,0.0000,0.0000,6.2396,1.0000,0.8895
pooled,i1y,i1y,1.6505,4.7492,5.6733,8.9172,0.2950,0.3859,0.9996,6.2396,1.0000,0.8895
pooled,i1y,ip,1.2142,3.0757,4.3090,5.5773,0.1200,0.3703,0.9890,6.2396,1.0000,0.8895
pooled,i1y,hicp,1.0370,2.1964,2.5619,3.4768,0.1500,0.4167,0.9965,6.2396,1.0000,0.8895
pooled,i1y,stoxx,1.1828,2.7844,3.3910,4.8388,0.2000,0.4080,0.9950,6.2396,1.0000,0.8895
pooled,ip,mps,1.0000,1.0000,1.0000,1.0000,0.2400,0.0000,0.0000,4.6436,0.9978,0.9514
pooled,ip,i1y,1.0210,2.7903,3.7829,7.0610,0.1700,0.2662,0.9172,4.6436,0.9978,0.9514
pooled,ip,ip,0.9829,2.7980,3.3052,5.9354,0.1100,0.2802,0.9710,4.6436,0.9978,0.9514
pooled,ip,hicp,1.1111,2.3872,2.8314,3.9203,0.2300,0.4388,0.9962,4.6436,0.9978,0.9514
pooled,ip,stoxx,1.1862,2.8730,3.2526,3.9888,0.2500,0.3948,0.9915,4.6436,0.9978,0.9514
pooled,hicp,mps,1.0000,1.0000,1.0000,1.0000,0.0150,0.0000,0.0000,6.3926,1.0000,0.9568
pooled,hicp,i1y,2.1741,4.2552,5.6261,8.7503,0.1300,0.6262,0.9928,6.3926,1.0000,0.9568
pooled,hicp,ip,1.4226,3.3497,4.2549,6.4154,0.0600,0.4248,0.9923,6.3926,1.0000,0.9568
pooled,hicp,hicp,3.4156,5.1323,5.6436,6.9273,0.7000,0.9289,1.0000,6.3926,1.0000,0.9568
pooled,hicp,stoxx,1.4139,3.2087,4.4251,5.2650,0.0950,0.4574,0.9979,6.3926,1.0000,0.9568
pooled,stoxx,mps,1.0000,1.0000,1.0000,1.0000,0.1950,0.0000,0.0000,5.2535,0.9996,0.9282
pooled,stoxx,i1y,1.1811,2.8016,4.3945,8.9864,0.1400,0.3106,0.9542,5.2535,0.9996,0.9282
pooled,stoxx,ip,1.2596,3.1998,4.2455,7.2134,0.1550,0.3693,0.9875,5.2535,0.9996,0.9282
pooled,stoxx,hicp,1.1529,2.2192,2.7552,3.6721,0.2000,0.4801,0.9981,5.2535,0.9996,0.9282
pooled,stoxx,stoxx,1.5996,3.6373,4.1358,5.3047,0.3100,0.5130,0.9976,5.2535,0.9996,0.9282
