scale_estimator,equation,block,h,lambda_h,tau_mean,tau_median,p_tau_gt1
block,i1y,i1y,1,0.0118028,0.38036,0.27734,0.0580
block,i1y,i1y,2,0.048597,0.25357,0.18282,0.0140
block,i1y,i1y,3,0.0876623,0.42955,0.31978,0.0913
block,i1y,i1y,4,0.121498,0.38078,0.22757,0.1040
block,i1y,i1y,5,0.158663,0.49325,0.35294,0.1300
block,i1y,i1y,6,0.184118,0.51425,0.31112,0.1560
block,i1y,i1y,7,0.212637,0.93827,0.68739,0.3453
block,i1y,i1y,8,0.258865,0.90875,0.65797,0.3800
block,i1y,i1y,9,0.28163,1.23101,1.11990,0.5560
block,i1y,i1y,10,0.312757,1.27623,1.17320,0.5833
block,i1y,i1y,11,0.330153,1.15750,0.95789,0.4847
block,i1y,i1y,12,0.361135,1.40468,1.23486,0.6347
block,i1y,i1y,13,0.373202,1.28424,1.16676,0.5827
block,i1y,i1y,14,0.441738,1.13729,1.00272,0.5020
block,i1y,i1y,15,0.48286,1.09177,1.02773,0.5187
block,i1y,i1y,16,0.51574,0.82990,0.65682,0.3200
block,i1y,i1y,17,0.547479,0.94081,0.82026,0.3907
block,i1y,i1y,18,0.577187,0.84004,0.72464,0.3160
block,i1y,i1y,19,0.621283,0.93602,0.77095,0.3507
block,i1y,i1y,20,0.676042,0.51987,0.37914,0.1493
block,i1y,i1y,21,0.698133,0.77279,0.65317,0.2773
block,i1y,i1y,22,0.72207,0.87749,0.80092,0.3553
block,i1y,i1y,23,0.735388,0.88485,0.78284,0.3520
block,i1y,i1y,24,0.744116,0.97114,0.84250,0.4093
block,i1y,i1y,25,0.726486,1.11423,1.00939,0.5027
block,i1y,i1y,26,0.763955,1.16216,1.03483,0.5280
block,i1y,i1y,27,0.790518,1.09771,0.96758,0.4713
block,i1y,i1y,28,0.815651,0.98309,0.90395,0.4173
block,i1y,i1y,29,0.849619,1.01526,0.92678,0.4280
block,i1y,i1y,30,0.876271,0.91342,0.81436,0.3460
block,i1y,i1y,31,0.903515,0.87424,0.76354,0.3087
block,i1y,i1y,32,0.934172,0.87237,0.78727,0.2927
block,i1y,i1y,33,0.923613,0.77079,0.71350,0.1900
block,i1y,i1y,34,0.910232,0.87797,0.77595,0.2873
block,i1y,i1y,35,0.878864,0.92279,0.81650,0.3407
block,i1y,i1y,36,0.848756,0.99423,0.88748,0.4000
block,i1y,i1y,37,0.846818,0.94719,0.83343,0.3527
block,i1y,i1y,38,0.849937,0.99563,0.89177,0.4140
