scale_estimator,equation,block,block_held_at_1,h,lambda_h,tau_mean,tau_median,p_tau_gt1
block,mps,mps,1,1,0.00843167,1.00000,1.00000,0.0000
block,mps,mps,1,2,0.0213926,1.00000,1.00000,0.0000
block,mps,mps,1,3,0.0276757,1.00000,1.00000,0.0000
block,mps,mps,1,4,0.0321764,1.00000,1.00000,0.0000
block,mps,mps,1,5,0.0294689,1.00000,1.00000,0.0000
block,mps,mps,1,6,0.0301947,1.00000,1.00000,0.0000
block,mps,mps,1,7,0.0295498,1.00000,1.00000,0.0000
block,mps,mps,1,8,0.0293302,1.00000,1.00000,0.0000
block,mps,mps,1,9,0.028381,1.00000,1.00000,0.0000
block,mps,mps,1,10,0.0241941,1.00000,1.00000,0.0000
block,mps,mps,1,11,0.0207737,1.00000,1.00000,0.0000
block,mps,mps,1,12,0.0169583,1.00000,1.00000,0.0000
block,mps,mps,1,13,0.0126178,1.00000,1.00000,0.0000
block,mps,mps,1,14,0.0109015,1.00000,1.00000,0.0000
block,mps,mps,1,15,0.0102145,1.00000,1.00000,0.0000
block,mps,mps,1,16,0.00874402,1.00000,1.00000,0.0000
block,mps,mps,1,17,0.00984459,1.00000,1.00000,0.0000
block,mps,mps,1,18,0.00913892,1.00000,1.00000,0.0000
block,mps,mps,1,19,0.00871374,1.00000,1.00000,0.0000
block,mps,mps,1,20,0.00772001,1.00000,1.00000,0.0000
block,mps,mps,1,21,0.00895702,1.00000,1.00000,0.0000
block,mps,mps,1,22,0.00840242,1.00000,1.00000,0.0000
block,mps,mps,1,23,0.00817244,1.00000,1.00000,0.0000
block,mps,mps,1,24,0.00842244,1.00000,1.00000,0.0000
block,mps,mps,1,25,0.0079032,1.00000,1.00000,0.0000
block,mps,mps,1,26,0.0097378,1.00000,1.00000,0.0000
block,mps,mps,1,27,0.0138085,1.00000,1.00000,0.0000
block,mps,mps,1,28,0.0137481,1.00000,1.00000,0.0000
block,mps,mps,1,29,0.408298,1.00000,1.00000,0.0000
block,mps,mps,1,30,0.420049,1.00000,1.00000,0.0000
block,mps,mps,1,31,0.0100528,1.00000,1.00000,0.0000
block,mps,mps,1,32,0.460005,1.00000,1.00000,0.0000
block,mps,mps,1,33,0.477787,1.00000,1.00000,0.0000
block,mps,mps,1,34,0.463045,1.00000,1.00000,0.0000
block,mps,mps,1,35,0.435411,1.00000,1.00000,0.0000
block,mps,mps,1,36,0.439602,1.00000,1.00000,0.0000
block,mps,mps,1,37,0.429411,1.00000,1.00000,0.0000
block,mps,mps,1,38,0.421835,1.00000,1.00000,0.0000
block,mps,mps,1,39,0.433321,1.00000,1.00000,0.0000
block,mps,mps,1,40,0.427642,1.00000,1.00000,0.0000
block,mps,mps,1,41,0.406245,1.00000,1.00000,0.0000
block,mps,mps,1,42,0.381639,1.00000,1.00000,0.0000
block,mps,mps,1,43,0.368641,1.00000,1.00000,0.0000
block,mps,mps,1,44,0.357738,1.00000,1.00000,0.0000
block,mps,mps,1,45,0.339035,1.00000,1.00000,0.0000
block,mps,mps,1,46,0.299599,1.00000,1.00000,0.0000
block,mps,mps,1,47,0.258179,1.00000,1.00000,0.0000
block,mps,mps,1,48,0.255224,1.00000,1.00000,0.0000
block,mps,i1y,0,1,0.00843167,0.49211,0.30065,0.1273
block,mps,i1y,0,2,0.0213926,0.34250,0.24502,0.0487
block,mps,i1y,0,3,0.0276757,0.48798,0.33145,0.1253
block,mps,i1y,0,4,0.0321764,0.55842,0.41350,0.1513
block,mps,i1y,0,5,0.0294689,0.61008,0.41644,0.1687
block,mps,i1y,0,6,0.0301947,0.57733,0.41714,0.1600
block,mps,i1y,0,7,0.0295498,0.91689,0.63471,0.3107
block,mps,i1y,0,8,0.0293302,1.19906,0.64656,0.3453
block,mps,i1y,0,9,0.028381,0.55098,0.42215,0.1413
block,mps,i1y,0,10,0.0241941,0.95029,0.58179,0.3100
block,mps,i1y,0,11,0.0207737,0.95089,0.74867,0.3613
block,mps,i1y,0,12,0.0169583,1.01678,0.70034,0.3493
block,mps,i1y,0,13,0.0126178,1.24705,0.57119,0.3033
block,mps,i1y,0,14,0.0109015,1.50028,0.98467,0.4940
block,mps,i1y,0,15,0.0102145,1.66764,1.11257,0.5540
block,mps,i1y,0,16,0.00874402,1.83873,0.99647,0.5000
block,mps,i1y,0,17,0.00984459,1.51404,0.76112,0.4287
block,mps,i1y,0,18,0.00913892,1.58243,0.99566,0.4987
block,mps,i1y,0,19,0.00871374,1.74799,1.05344,0.5200
block,mps,i1y,0,20,0.00772001,2.14171,0.92420,0.4680
block,mps,i1y,0,21,0.00895702,1.47902,0.59134,0.3500
block,mps,i1y,0,22,0.00840242,1.93866,1.10731,0.5507
block,mps,i1y,0,23,0.00817244,3.93221,1.84151,0.7700
block,mps,i1y,0,24,0.00842244,2.05503,1.08563,0.5200
block,mps,i1y,0,25,0.0079032,1.87207,0.67987,0.3933
block,mps,i1y,0,26,0.0097378,1.80786,1.01986,0.5120
block,mps,i1y,0,27,0.0138085,3.43171,1.24541,0.5767
block,mps,i1y,0,28,0.0137481,1.52196,0.88662,0.4493
block,mps,i1y,0,29,0.408298,0.48841,0.37435,0.1153
block,mps,i1y,0,30,0.420049,0.55322,0.36965,0.1560
block,mps,i1y,0,31,0.0100528,2.07805,1.03031,0.5100
block,mps,i1y,0,32,0.460005,0.33762,0.22833,0.0507
block,mps,i1y,0,33,0.477787,0.44115,0.26850,0.0847
block,mps,i1y,0,34,0.463045,0.37009,0.26114,0.0567
block,mps,i1y,0,35,0.435411,0.30738,0.18976,0.0507
block,mps,i1y,0,36,0.439602,0.32254,0.19270,0.0580
block,mps,i1y,0,37,0.429411,0.31369,0.20394,0.0393
block,mps,i1y,0,38,0.421835,0.35125,0.22151,0.0713
block,mps,i1y,0,39,0.433321,0.36553,0.23875,0.0687
block,mps,i1y,0,40,0.427642,0.38624,0.24381,0.0767
block,mps,i1y,0,41,0.406245,0.38506,0.27484,0.0553
block,mps,i1y,0,42,0.381639,0.53456,0.40692,0.1340
block,mps,i1y,0,43,0.368641,0.31964,0.22041,0.0420
block,mps,i1y,0,44,0.357738,0.44331,0.33841,0.0833
block,mps,i1y,0,45,0.339035,0.35160,0.23967,0.0553
block,mps,i1y,0,46,0.299599,0.48324,0.34414,0.1040
block,mps,i1y,0,47,0.258179,0.55122,0.39660,0.1633
block,mps,i1y,0,48,0.255224,0.56271,0.37756,0.1480
block,mps,ip,0,1,0.00843167,1.00188,0.64386,0.2940
block,mps,ip,0,2,0.0213926,0.68030,0.48636,0.1973
block,mps,ip,0,3,0.0276757,0.54957,0.36933,0.1467
block,mps,ip,0,4,0.0321764,0.78834,0.57201,0.2453
block,mps,ip,0,5,0.0294689,0.72216,0.45373,0.2433
block,mps,ip,0,6,0.0301947,0.74192,0.56612,0.2193
block,mps,ip,0,7,0.0295498,0.70358,0.43388,0.2427
block,mps,ip,0,8,0.0293302,0.90189,0.56079,0.2713
block,mps,ip,0,9,0.028381,0.87983,0.56581,0.2800
block,mps,ip,0,10,0.0241941,1.33654,0.80277,0.4260
block,mps,ip,0,11,0.0207737,1.21257,0.73481,0.3587
block,mps,ip,0,12,0.0169583,1.74773,1.17706,0.5553
block,mps,ip,0,13,0.0126178,1.27269,0.71135,0.4007
block,mps,ip,0,14,0.0109015,2.12709,1.14648,0.5480
block,mps,ip,0,15,0.0102145,1.85387,1.12309,0.5440
block,mps,ip,0,16,0.00874402,1.66764,1.21702,0.5827
block,mps,ip,0,17,0.00984459,2.03411,0.95452,0.4847
block,mps,ip,0,18,0.00913892,2.16851,1.12306,0.5407
block,mps,ip,0,19,0.00871374,1.12575,0.60658,0.3227
block,mps,ip,0,20,0.00772001,2.85644,1.08071,0.5227
block,mps,ip,0,21,0.00895702,1.39830,0.80028,0.4200
block,mps,ip,0,22,0.00840242,2.63506,1.02298,0.5153
