scale_estimator,equation,block,block_held_at_1,tau_bar,null_mean,null_q90,null_q95,null_q99,escape_q95,pgt1_bar,null_pgt1_q95,is_argmax,null_argmax_freq,eq_maxstat,eq_maxstat_q95,eq_flag
block,i1y,i1y,0,0.81708,0.93715,1.55222,1.74651,2.50870,0,0.3163,0.6918,1,0.3950,0.81708,2.00464,0
block,i1y,ip,0,0.60680,0.77277,1.24734,1.44333,2.01215,0,0.1617,0.6718,0,0.1900,0.81708,2.00464,0
block,i1y,hicp,0,0.32744,0.68154,1.09255,1.17039,1.56501,0,0.0143,0.6167,0,0.1800,0.81708,2.00464,0
block,i1y,stoxx,0,0.71527,0.79084,1.27595,1.46068,2.03154,0,0.2197,0.7377,0,0.2350,0.81708,2.00464,0
block,ip,i1y,0,1.79606,0.96854,1.65238,1.96680,2.79336,0,0.7197,0.7493,1,0.3250,1.79606,2.10527,0
block,ip,ip,0,1.16141,0.84505,1.42870,1.70296,2.17689,0,0.5152,0.7455,0,0.2100,1.79606,2.10527,0
block,ip,hicp,0,0.68442,0.77691,1.22522,1.31641,1.60066,0,0.1135,0.7163,0,0.2300,1.79606,2.10527,0
block,ip,stoxx,0,0.58243,0.75793,1.19914,1.34271,1.61277,0,0.1547,0.6746,0,0.2350,1.79606,2.10527,0
block,hicp,i1y,0,0.84524,1.10703,1.67092,1.84944,2.26087,0,0.3036,0.7689,0,0.2200,3.30812,2.15896,1
block,hicp,ip,0,0.67279,0.82235,1.23598,1.39512,1.69968,0,0.2286,0.6732,0,0.0550,3.30812,2.15896,1
block,hicp,hicp,0,3.30812,1.38283,1.89021,2.05599,2.24600,1,0.9867,0.9505,1,0.6550,3.30812,2.15896,1
block,hicp,stoxx,0,0.86967,0.81933,1.24799,1.42746,1.69307,0,0.3253,0.6795,0,0.0700,3.30812,2.15896,1
block,stoxx,i1y,0,1.14454,0.91154,1.51924,1.81670,2.05757,0,0.4891,0.7217,1,0.2450,1.14454,1.90114,0
block,stoxx,ip,0,0.69746,0.90198,1.41338,1.64124,1.94285,0,0.2779,0.7342,0,0.2700,1.14454,1.90114,0
block,stoxx,hicp,0,0.30229,0.68456,1.05196,1.19248,1.46498,0,0.0227,0.6292,0,0.1450,1.14454,1.90114,0
block,stoxx,stoxx,0,0.32940,0.91894,1.43094,1.63513,1.90846,0,0.0338,0.7782,0,0.3400,1.14454,1.90114,0
pooled,i1y,i1y,0,0.89864,0.67516,1.71778,2.04545,2.81290,0,0.3693,0.9384,1,0.2850,0.89864,2.21462,0
pooled,i1y,ip,0,0.56363,0.54344,1.27926,1.61770,2.22555,0,0.0145,0.8667,0,0.1400,0.89864,2.21462,0
pooled,i1y,hicp,0,0.27844,0.54497,1.05031,1.22046,1.67572,0,0.0000,0.7858,0,0.3300,0.89864,2.21462,0
pooled,i1y,stoxx,0,0.65952,0.59961,1.30997,1.58538,2.09863,0,0.0381,0.9327,0,0.2450,0.89864,2.21462,0
pooled,ip,i1y,0,1.87508,0.73542,1.83037,2.13956,2.99418,0,0.9008,0.9547,1,0.2600,1.87508,2.39727,0
pooled,ip,ip,0,1.19813,0.64195,1.51822,1.89428,2.38815,0,0.5998,0.9156,0,0.1700,1.87508,2.39727,0
pooled,ip,hicp,0,0.62818,0.65955,1.22682,1.36410,1.55837,0,0.0110,0.9222,0,0.3500,1.87508,2.39727,0
pooled,ip,stoxx,0,0.43621,0.56121,1.23579,1.44814,1.64606,0,0.0022,0.8206,0,0.2200,1.87508,2.39727,0
pooled,hicp,i1y,0,0.80335,0.95649,1.70030,1.94225,2.34701,0,0.2555,0.9250,0,0.1850,3.30776,2.29837,1
pooled,hicp,ip,0,0.62849,0.65051,1.28205,1.53207,1.90306,0,0.0779,0.8993,0,0.0600,3.30776,2.29837,1
pooled,hicp,hicp,0,3.30776,1.39684,1.96343,2.15568,2.46100,1,0.9999,0.9984,1,0.6900,3.30776,2.29837,1
pooled,hicp,stoxx,0,0.86792,0.66505,1.28792,1.46707,1.94123,0,0.2355,0.8806,0,0.0650,3.30776,2.29837,1
pooled,stoxx,i1y,0,1.05649,0.68765,1.60476,1.98713,2.25766,0,0.4797,0.9048,1,0.1900,1.05649,2.09505,0
pooled,stoxx,ip,0,0.74510,0.76437,1.53442,1.76454,2.31395,0,0.2527,0.9424,0,0.2800,1.05649,2.09505,0
pooled,stoxx,hicp,0,0.12700,0.54916,1.06110,1.21057,1.54652,0,0.0000,0.7749,0,0.1850,1.05649,2.09505,0
pooled,stoxx,stoxx,0,0.09626,0.80081,1.51377,1.69570,2.01752,0,0.0000,0.9671,0,0.3450,1.05649,2.09505,0
