scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,i1y,i1y,1.5214,2.7865,3.3663,5.5308,0.5450,0.4260,0.8120,3.3912,0.8493,0.5041
block,i1y,ip,0.9415,1.2932,1.5354,1.7947,0.1300,0.3147,0.5886,3.3912,0.8493,0.5041
block,i1y,hicp,0.9852,1.4831,1.6258,1.9833,0.1750,0.3367,0.6510,3.3912,0.8493,0.5041
block,i1y,stoxx,0.9869,1.4619,1.7673,2.1804,0.1500,0.3248,0.6187,3.3912,0.8493,0.5041
block,ip,i1y,1.2112,1.7855,2.5609,5.3004,0.4100,0.3414,0.6698,2.5609,0.8008,0.8405
block,ip,ip,0.9132,1.3207,1.5778,2.0143,0.0900,0.2954,0.5881,2.5609,0.8008,0.8405
block,ip,hicp,1.0691,1.6772,1.9546,2.3215,0.3300,0.3713,0.7656,2.5609,0.8008,0.8405
block,ip,stoxx,0.9320,1.4075,1.5556,1.8818,0.1700,0.3022,0.5583,2.5609,0.8008,0.8405
block,hicp,i1y,1.2191,1.9360,2.3114,3.0404,0.1350,0.3802,0.7290,3.0025,0.9522,0.9477
block,hicp,ip,0.9971,1.4908,1.6634,2.0106,0.0550,0.3388,0.6480,3.0025,0.9522,0.9477
block,hicp,hicp,1.7769,2.6272,2.7920,3.1847,0.7300,0.6506,0.9522,3.0025,0.9522,0.9477
block,hicp,stoxx,0.9671,1.3473,1.5699,2.3862,0.0800,0.3169,0.5900,3.0025,0.9522,0.9477
block,stoxx,i1y,1.0516,1.6198,1.8140,2.8774,0.2950,0.3195,0.6016,2.2373,0.7690,0.9241
block,stoxx,ip,0.9847,1.4892,1.7562,2.1072,0.1900,0.3296,0.6457,2.2373,0.7690,0.9241
block,stoxx,hicp,0.9695,1.4167,1.5732,1.8793,0.2300,0.3316,0.6366,2.2373,0.7690,0.9241
block,stoxx,stoxx,1.1060,1.7246,1.9358,2.3200,0.2850,0.3792,0.7318,2.2373,0.7690,0.9241
pooled,i1y,i1y,1.1287,2.8937,4.6436,7.0132,0.4300,0.3168,0.9959,4.6436,0.9962,0.5177
pooled,i1y,ip,0.4647,1.0551,1.3981,1.6750,0.1350,0.1318,0.6836,4.6436,0.9962,0.5177
pooled,i1y,hicp,0.5449,1.1850,1.3235,1.6021,0.2650,0.1897,0.7798,4.6436,0.9962,0.5177
pooled,i1y,stoxx,0.5110,1.1490,1.5351,1.9896,0.1700,0.1543,0.7378,4.6436,0.9962,0.5177
pooled,ip,i1y,0.6209,1.4476,2.0317,6.6406,0.2850,0.1509,0.8083,2.3612,0.9816,0.8364
pooled,ip,ip,0.3988,1.0596,1.4258,1.8216,0.1100,0.1079,0.6946,2.3612,0.9816,0.8364
pooled,ip,hicp,0.6419,1.4152,1.6762,2.0468,0.4250,0.2341,0.9229,2.3612,0.9816,0.8364
pooled,ip,stoxx,0.4251,1.0768,1.2729,1.6973,0.1800,0.1190,0.6057,2.3612,0.9816,0.8364
pooled,hicp,i1y,0.7185,1.5683,2.0017,3.4249,0.1000,0.2325,0.8995,2.8151,0.9983,0.9477
pooled,hicp,ip,0.5201,1.3057,1.4350,1.8254,0.0750,0.1747,0.8040,2.8151,0.9983,0.9477
pooled,hicp,hicp,1.4745,2.3973,2.5808,2.8928,0.7500,0.6685,0.9983,2.8151,0.9983,0.9477
pooled,hicp,stoxx,0.4879,1.0634,1.2667,2.1398,0.0750,0.1350,0.6708,2.8151,0.9983,0.9477
pooled,stoxx,i1y,0.4736,1.1900,1.3951,2.8217,0.1400,0.1311,0.6939,2.1125,0.9547,0.9295
pooled,stoxx,ip,0.5247,1.4066,1.7330,2.0212,0.1800,0.1705,0.8476,2.1125,0.9547,0.9295
pooled,stoxx,hicp,0.5355,1.1406,1.3028,1.5948,0.3300,0.1728,0.7490,2.1125,0.9547,0.9295
pooled,stoxx,stoxx,0.6750,1.5205,1.7863,2.2098,0.3500,0.2536,0.9329,2.1125,0.9547,0.9295
