scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,i1y,i1y,1.3317,2.1061,2.4070,3.1110,0.6300,0.5054,0.9016,2.4070,0.9154,0.5277
block,i1y,ip,0.9459,1.4592,1.7391,2.0401,0.1200,0.3741,0.7826,2.4070,0.9154,0.5277
block,i1y,hicp_yoy,0.7327,1.1479,1.3147,1.5904,0.1300,0.2578,0.6536,2.4070,0.9154,0.5277
block,i1y,stoxx,0.8121,1.2919,1.4653,1.7843,0.1200,0.3080,0.6957,2.4070,0.9154,0.5277
block,ip,i1y,1.0486,1.6943,1.9892,2.6958,0.4750,0.3877,0.7686,2.0286,0.8125,0.7973
block,ip,ip,0.8089,1.1794,1.3540,2.0965,0.1750,0.2952,0.6215,2.0286,0.8125,0.7973
block,ip,hicp_yoy,0.7325,1.1253,1.3580,1.5766,0.1600,0.2563,0.6452,2.0286,0.8125,0.7973
block,ip,stoxx,0.7948,1.2673,1.4068,1.5855,0.1900,0.3008,0.6916,2.0286,0.8125,0.7973
block,hicp_yoy,i1y,1.0100,1.6986,1.9949,2.7168,0.3850,0.3750,0.7768,2.0079,0.7975,0.9505
block,hicp_yoy,ip,0.8686,1.3698,1.5166,1.9152,0.2050,0.3324,0.7132,2.0079,0.7975,0.9505
block,hicp_yoy,hicp_yoy,0.8352,1.2758,1.4380,1.7313,0.1950,0.3198,0.7306,2.0079,0.7975,0.9505
block,hicp_yoy,stoxx,0.8174,1.2477,1.3461,1.6565,0.2150,0.3131,0.6711,2.0079,0.7975,0.9505
block,stoxx,i1y,1.0575,1.5625,1.7546,2.1457,0.4200,0.4101,0.7538,1.8260,0.8407,0.9295
block,stoxx,ip,0.9208,1.4164,1.5481,1.9873,0.2200,0.3646,0.7325,1.8260,0.8407,0.9295
block,stoxx,hicp_yoy,0.6904,1.0457,1.1951,1.3328,0.0800,0.2328,0.5495,1.8260,0.8407,0.9295
block,stoxx,stoxx,0.9054,1.3916,1.5524,1.8159,0.2800,0.3637,0.7414,1.8260,0.8407,0.9295
pooled,i1y,i1y,1.2374,2.4415,2.7471,3.7275,0.5500,0.4891,0.9990,2.7471,0.9994,0.5182
pooled,i1y,ip,0.8235,1.6080,1.7805,2.4766,0.1300,0.3427,0.9804,2.7471,0.9994,0.5182
pooled,i1y,hicp_yoy,0.5511,1.2348,1.4226,1.8381,0.1450,0.1807,0.8516,2.7471,0.9994,0.5182
pooled,i1y,stoxx,0.6652,1.3617,1.5668,1.9429,0.1750,0.2572,0.9312,2.7471,0.9994,0.5182
pooled,ip,i1y,0.8576,1.7685,2.1793,3.2110,0.4200,0.3184,0.9331,2.3054,0.9614,0.7995
pooled,ip,ip,0.6104,1.1985,1.4586,2.3050,0.1550,0.2060,0.7856,2.3054,0.9614,0.7995
pooled,ip,hicp_yoy,0.5532,1.1772,1.4082,1.6831,0.1900,0.1699,0.8485,2.3054,0.9614,0.7995
pooled,ip,stoxx,0.6152,1.3160,1.4967,1.7014,0.2350,0.2253,0.8776,2.3054,0.9614,0.7995
pooled,hicp_yoy,i1y,0.8063,1.8507,2.1423,2.9235,0.3150,0.3040,0.9438,2.2900,0.9877,0.9509
pooled,hicp_yoy,ip,0.7162,1.4862,1.6780,2.4429,0.2100,0.2769,0.9420,2.2900,0.9877,0.9509
pooled,hicp_yoy,hicp_yoy,0.7161,1.3392,1.5158,1.8154,0.2750,0.2573,0.9310,2.2900,0.9877,0.9509
pooled,hicp_yoy,stoxx,0.6627,1.3198,1.3895,2.0270,0.2000,0.2539,0.8841,2.2900,0.9877,0.9509
pooled,stoxx,i1y,0.8948,1.5969,1.8990,2.1314,0.3700,0.3587,0.9480,1.9366,0.9885,0.9305
pooled,stoxx,ip,0.8051,1.4778,1.7112,1.9820,0.2300,0.3201,0.9658,1.9366,0.9885,0.9305
pooled,stoxx,hicp_yoy,0.5179,1.0455,1.1675,1.4894,0.0950,0.1466,0.6709,1.9366,0.9885,0.9305
pooled,stoxx,stoxx,0.7926,1.4873,1.6342,1.9672,0.3050,0.3316,0.9599,1.9366,0.9885,0.9305
