scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,ois1m,ois1m,0.9158,1.4497,1.5475,1.9614,0.2500,0.3619,0.7518,1.7635,0.8686,0.4355
block,ois1m,ip,0.8490,1.3834,1.5336,1.7608,0.2250,0.3346,0.7711,1.7635,0.8686,0.4355
block,ois1m,hicp_sa,0.8488,1.4285,1.5104,1.8479,0.3100,0.3306,0.7862,1.7635,0.8686,0.4355
block,ois1m,stoxx,0.7804,1.2625,1.4549,1.7119,0.2150,0.2921,0.7545,1.7635,0.8686,0.4355
block,ip,ois1m,0.9339,1.4372,1.6097,2.0671,0.2650,0.3636,0.7654,1.7261,0.8474,0.6141
block,ip,ip,0.8686,1.3858,1.5081,2.0725,0.2200,0.3420,0.7319,1.7261,0.8474,0.6141
block,ip,hicp_sa,0.9277,1.4212,1.5330,1.7158,0.3750,0.3792,0.7878,1.7261,0.8474,0.6141
block,ip,stoxx,0.7733,1.1948,1.3151,1.5292,0.1400,0.2876,0.6579,1.7261,0.8474,0.6141
block,hicp_sa,ois1m,0.9555,1.5188,1.6983,2.3367,0.2200,0.3747,0.7662,1.9940,0.9181,0.7655
block,hicp_sa,ip,0.8222,1.3179,1.5501,1.9967,0.1150,0.3143,0.7804,1.9940,0.9181,0.7655
block,hicp_sa,hicp_sa,1.1464,1.7510,1.9120,2.1511,0.5650,0.5072,0.8966,1.9940,0.9181,0.7655
block,hicp_sa,stoxx,0.7860,1.2389,1.3834,1.6788,0.1000,0.2917,0.7081,1.9940,0.9181,0.7655
block,stoxx,ois1m,0.8641,1.3723,1.4960,2.0039,0.2600,0.3348,0.6966,1.9034,0.8740,0.8191
block,stoxx,ip,0.8970,1.3712,1.7562,1.9759,0.2200,0.3616,0.7843,1.9034,0.8740,0.8191
block,stoxx,hicp_sa,0.8236,1.2921,1.5816,1.8291,0.2550,0.3069,0.7871,1.9034,0.8740,0.8191
block,stoxx,stoxx,0.8567,1.3242,1.4984,1.9408,0.2650,0.3384,0.7718,1.9034,0.8740,0.8191
pooled,ois1m,ois1m,0.7458,1.5369,1.6632,2.1096,0.2350,0.3080,0.9298,1.8653,0.9885,0.4364
pooled,ois1m,ip,0.7110,1.4663,1.6470,1.9332,0.2650,0.2873,0.9399,1.8653,0.9885,0.4364
pooled,ois1m,hicp_sa,0.6885,1.4466,1.5080,2.0722,0.2950,0.2594,0.9446,1.8653,0.9885,0.4364
pooled,ois1m,stoxx,0.6356,1.3311,1.5231,1.7725,0.2050,0.2272,0.9375,1.8653,0.9885,0.4364
pooled,ip,ois1m,0.7522,1.5162,1.6747,2.3365,0.2400,0.2964,0.9411,1.9285,0.9860,0.6155
pooled,ip,ip,0.7167,1.4221,1.6738,2.1223,0.2400,0.2860,0.9374,1.9285,0.9860,0.6155
pooled,ip,hicp_sa,0.7770,1.4068,1.5358,1.8941,0.3550,0.3204,0.9415,1.9285,0.9860,0.6155
pooled,ip,stoxx,0.6363,1.2437,1.3716,1.6266,0.1650,0.2143,0.8618,1.9285,0.9860,0.6155
pooled,hicp_sa,ois1m,0.7980,1.5957,1.8110,3.0584,0.1800,0.3097,0.9419,2.1008,0.9975,0.7664
pooled,hicp_sa,ip,0.6854,1.3944,1.7937,2.3591,0.1350,0.2738,0.9655,2.1008,0.9975,0.7664
pooled,hicp_sa,hicp_sa,1.0578,1.7373,1.9877,2.3785,0.5300,0.4919,0.9933,2.1008,0.9975,0.7664
pooled,hicp_sa,stoxx,0.6689,1.2975,1.4720,1.8675,0.1550,0.2379,0.9041,2.1008,0.9975,0.7664
pooled,stoxx,ois1m,0.6744,1.4632,1.6042,2.0658,0.2100,0.2721,0.8867,1.9807,0.9914,0.8191
pooled,stoxx,ip,0.7893,1.4315,1.7713,2.2007,0.2300,0.3188,0.9589,1.9807,0.9914,0.8191
pooled,stoxx,hicp_sa,0.6607,1.2557,1.6451,2.0624,0.2950,0.2173,0.9483,1.9807,0.9914,0.8191
pooled,stoxx,stoxx,0.7338,1.3689,1.5520,2.1036,0.2650,0.2966,0.9351,1.9807,0.9914,0.8191
