scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,ois1m,ois1m,1.0848,1.8021,2.0279,2.5595,0.4300,0.3883,0.7897,2.2325,0.8143,0.4786
block,ois1m,ip,0.8059,1.1554,1.3592,2.1157,0.1000,0.2729,0.5676,2.2325,0.8143,0.4786
block,ois1m,hicp_sa,0.9357,1.4571,1.8311,2.1217,0.2600,0.3223,0.6693,2.2325,0.8143,0.4786
block,ois1m,stoxx,0.8734,1.3051,1.4288,1.7011,0.2100,0.3129,0.6151,2.2325,0.8143,0.4786
block,ip,ois1m,1.1768,1.8768,2.3214,3.5016,0.4000,0.4034,0.7638,2.4107,0.8240,0.6586
block,ip,ip,0.8179,1.1761,1.3260,1.4974,0.0650,0.2784,0.5070,2.4107,0.8240,0.6586
block,ip,hicp_sa,1.0916,1.7282,1.9151,2.4365,0.4000,0.4011,0.7743,2.4107,0.8240,0.6586
block,ip,stoxx,0.8845,1.4129,1.6358,1.8304,0.1350,0.3165,0.6885,2.4107,0.8240,0.6586
block,hicp_sa,ois1m,0.9930,1.4932,1.5791,2.1368,0.1500,0.3527,0.6737,2.3744,0.8910,0.7136
block,hicp_sa,ip,0.7954,1.1439,1.2759,1.6096,0.0700,0.2698,0.5031,2.3744,0.8910,0.7136
block,hicp_sa,hicp_sa,1.3606,2.0489,2.2628,2.6664,0.6300,0.5268,0.8867,2.3744,0.8910,0.7136
block,hicp_sa,stoxx,0.8658,1.3396,1.5179,1.7683,0.1500,0.3069,0.6245,2.3744,0.8910,0.7136
block,stoxx,ois1m,0.9881,1.5189,1.8716,2.1448,0.3100,0.3420,0.6861,2.0873,0.7713,0.7982
block,stoxx,ip,0.8533,1.2193,1.6351,2.0740,0.1700,0.2892,0.6389,2.0873,0.7713,0.7982
block,stoxx,hicp_sa,0.8654,1.2795,1.4251,2.0485,0.2300,0.2957,0.5781,2.0873,0.7713,0.7982
block,stoxx,stoxx,0.9603,1.4768,1.6680,2.1867,0.2900,0.3530,0.6771,2.0873,0.7713,0.7982
pooled,ois1m,ois1m,0.7540,1.7808,2.2318,2.7664,0.3850,0.2912,0.9764,2.5271,0.9873,0.4759
pooled,ois1m,ip,0.4321,0.9912,1.3659,2.2628,0.1050,0.1204,0.7486,2.5271,0.9873,0.4759
pooled,ois1m,hicp_sa,0.6001,1.3809,1.7031,2.7293,0.2900,0.1978,0.9195,2.5271,0.9873,0.4759
pooled,ois1m,stoxx,0.5433,1.2205,1.4514,1.7561,0.2200,0.1898,0.8376,2.5271,0.9873,0.4759
pooled,ip,ois1m,0.8262,1.9092,2.4211,3.6661,0.3300,0.2934,0.9888,2.7223,0.9907,0.6545
pooled,ip,ip,0.4436,0.9906,1.3387,2.1128,0.1100,0.1238,0.6406,2.7223,0.9907,0.6545
pooled,ip,hicp_sa,0.8052,1.5936,1.9241,2.7036,0.4000,0.3076,0.9273,2.7223,0.9907,0.6545
pooled,ip,stoxx,0.5475,1.3295,1.6302,1.9436,0.1600,0.1922,0.9064,2.7223,0.9907,0.6545
pooled,hicp_sa,ois1m,0.6315,1.4328,1.5931,2.3871,0.1550,0.2308,0.8278,2.4217,0.9921,0.7091
pooled,hicp_sa,ip,0.4110,0.9698,1.2477,1.7316,0.0750,0.1115,0.6573,2.4217,0.9921,0.7091
pooled,hicp_sa,hicp_sa,1.1319,1.9890,2.2577,2.8159,0.6100,0.4991,0.9852,2.4217,0.9921,0.7091
pooled,hicp_sa,stoxx,0.5152,1.2573,1.3968,2.2126,0.1600,0.1658,0.8534,2.4217,0.9921,0.7091
pooled,stoxx,ois1m,0.6021,1.4875,1.9298,2.3761,0.2800,0.2174,0.8694,2.2547,0.9696,0.8095
pooled,stoxx,ip,0.4852,1.1950,1.6647,2.1510,0.1600,0.1471,0.8186,2.2547,0.9696,0.8095
pooled,stoxx,hicp_sa,0.5142,1.0662,1.3315,2.2707,0.2150,0.1437,0.6808,2.2547,0.9696,0.8095
pooled,stoxx,stoxx,0.6400,1.3998,1.6530,2.2100,0.3450,0.2405,0.8846,2.2547,0.9696,0.8095
