scale_estimator,equation,block,null_mean,q90,q95,q99,argmax_freq,pgt1_mean,pgt1_q95,eq_maxstat_q95,eq_pflag_q95,eq_coverage_under_null
block,ois1m,ois1m,1.1481,1.9607,2.1800,2.6334,0.3900,0.4151,0.8394,2.3162,0.8567,0.5800
block,ois1m,ip,0.8476,1.3165,1.4504,1.8181,0.1367,0.2994,0.6323,2.3162,0.8567,0.5800
block,ois1m,hicp_sa,1.0129,1.5845,1.8594,2.1843,0.2667,0.3618,0.7263,2.3162,0.8567,0.5800
block,ois1m,stoxx,0.9032,1.4214,1.5993,2.0776,0.2067,0.3243,0.6680,2.3162,0.8567,0.5800
block,ip,ois1m,1.1212,1.9246,2.1824,2.9451,0.4100,0.3877,0.8017,2.3012,0.8226,0.6591
block,ip,ip,0.7724,1.0835,1.3035,1.8131,0.0700,0.2579,0.5250,2.3012,0.8226,0.6591
block,ip,hicp_sa,1.0037,1.6140,1.7426,2.2132,0.3533,0.3659,0.7109,2.3012,0.8226,0.6591
block,ip,stoxx,0.8477,1.2549,1.4143,1.7037,0.1667,0.2970,0.5779,2.3012,0.8226,0.6591
block,hicp_sa,ois1m,0.9882,1.5177,1.7559,2.1611,0.1833,0.3523,0.6642,2.2858,0.8893,0.7245
block,hicp_sa,ip,0.7990,1.2249,1.4899,1.7966,0.0933,0.2721,0.5826,2.2858,0.8893,0.7245
block,hicp_sa,hicp_sa,1.3277,2.0208,2.2342,2.5978,0.5800,0.5236,0.8893,2.2858,0.8893,0.7245
block,hicp_sa,stoxx,0.8722,1.3471,1.5570,1.8627,0.1433,0.3125,0.6774,2.2858,0.8893,0.7245
block,stoxx,ois1m,1.1195,1.8648,2.2569,3.0545,0.3933,0.3800,0.7572,2.3026,0.8081,0.8473
block,stoxx,ip,0.8221,1.1996,1.4423,1.7785,0.1233,0.2848,0.5841,2.3026,0.8081,0.8473
block,stoxx,hicp_sa,0.8697,1.2977,1.4998,1.8571,0.2133,0.3000,0.6176,2.3026,0.8081,0.8473
block,stoxx,stoxx,0.9969,1.5113,1.6753,2.0924,0.2700,0.3763,0.7528,2.3026,0.8081,0.8473
pooled,ois1m,ois1m,0.8538,2.0501,2.4485,3.0701,0.3333,0.3379,0.9911,2.5935,0.9939,0.5848
pooled,ois1m,ip,0.5305,1.2471,1.4657,2.0320,0.1600,0.1797,0.8275,2.5935,0.9939,0.5848
pooled,ois1m,hicp_sa,0.7084,1.5864,1.8992,2.3960,0.2867,0.2532,0.9491,2.5935,0.9939,0.5848
pooled,ois1m,stoxx,0.6065,1.3462,1.6413,2.1746,0.2200,0.2099,0.8644,2.5935,0.9939,0.5848
pooled,ip,ois1m,0.7900,2.1012,2.5079,3.5075,0.3467,0.2890,0.9844,2.6615,0.9892,0.6536
pooled,ip,ip,0.3935,0.9675,1.3186,1.8597,0.0867,0.1039,0.7268,2.6615,0.9892,0.6536
pooled,ip,hicp_sa,0.7122,1.5035,1.7406,2.4153,0.3833,0.2634,0.9132,2.6615,0.9892,0.6536
pooled,ip,stoxx,0.5238,1.1280,1.4201,1.8382,0.1833,0.1574,0.7435,2.6615,0.9892,0.6536
pooled,hicp_sa,ois1m,0.6398,1.3927,1.7099,2.1535,0.1533,0.2198,0.8088,2.3842,0.9900,0.7233
pooled,hicp_sa,ip,0.4450,1.1171,1.4979,1.9059,0.1033,0.1313,0.7569,2.3842,0.9900,0.7233
pooled,hicp_sa,hicp_sa,1.1154,1.9435,2.2717,2.6688,0.5833,0.4907,0.9878,2.3842,0.9900,0.7233
pooled,hicp_sa,stoxx,0.5577,1.2928,1.5160,1.8817,0.1600,0.1921,0.8972,2.3842,0.9900,0.7233
pooled,stoxx,ois1m,0.8024,1.9687,2.7093,3.5836,0.3267,0.2732,0.9569,2.7477,0.9729,0.8506
pooled,stoxx,ip,0.4754,1.0949,1.4257,1.9554,0.1167,0.1447,0.7603,2.7477,0.9729,0.8506
pooled,stoxx,hicp_sa,0.5332,1.1845,1.3548,1.8664,0.2167,0.1593,0.7425,2.7477,0.9729,0.8506
pooled,stoxx,stoxx,0.7171,1.5015,1.6657,2.2365,0.3400,0.2756,0.9404,2.7477,0.9729,0.8506
