dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
sparse,fmar,40,100,2,12,LP,1,0.1540011305,0.1577002461,0.1582770713,0.1572195584,0.07378063212,0.01941058467
sparse,fmar,40,100,2,12,LP,2,0.1347201786,0.1366557296,0.1373167363,0.1361048907,0.03221734,0.01770321093
sparse,fmar,40,100,2,12,LP,3,0.1235919807,0.1230723873,0.1117696081,0.13249137,0.01998914473,0.01482422156
sparse,fmar,40,100,2,12,BVAR,1,0.09609636141,0.09371519743,0.1390251208,0.05595692794,0.06222815036,0.005193766265
sparse,fmar,40,100,2,12,BVAR,2,0.06725036111,0.06431011528,0.08779729543,0.04473746516,0.02847733732,0.003623797325
sparse,fmar,40,100,2,12,BVAR,3,0.1259005908,0.1255167711,0.1427756944,0.1111343349,0.1129868177,0.00297167327
sparse,fmar,40,100,2,12,BLP-FMAR,1,0.1218918466,0.122640761,0.1444269598,0.1044855954,0.07307761593,0.009844654793
sparse,fmar,40,100,2,12,BLP-FMAR,2,0.09932482392,0.09870097458,0.1140250909,0.08593087763,0.03160310392,0.008786000362
sparse,fmar,40,100,2,12,BLP-FMAR,3,0.09967858419,0.09670346432,0.1013350515,0.09284380836,0.04239127859,0.006997029743
sparse,fmar,40,100,2,12,BLP-block,1,0.1193792897,0.1196106657,0.142936418,0.1001725388,0.07440315314,0.008811249116
sparse,fmar,40,100,2,12,BLP-block,2,0.0987108187,0.09838121378,0.1092457426,0.08932743972,0.03328555695,0.008527047455
sparse,fmar,40,100,2,12,BLP-block,3,0.1034238544,0.1009442608,0.105891034,0.09682194982,0.0390654321,0.008266021011
sparse,fmar,40,100,2,12,BLP-pooled,1,0.1162775233,0.1159983548,0.1449482584,0.09187343511,0.07540854095,0.007775066362
sparse,fmar,40,100,2,12,BLP-pooled,2,0.09601090294,0.09548592373,0.1052048232,0.08738684082,0.03589099622,0.007714992863
sparse,fmar,40,100,2,12,BLP-pooled,3,0.1048086465,0.1022541368,0.1085198881,0.09703267738,0.0379364418,0.008408849518
