dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
sparse,block,1,1,1,0.5170327262,0.3478116095,0.128625
sparse,block,1,1,2,0.4454744725,0.2941556742,0.0975625
sparse,block,1,1,3,0.6071528729,0.4254485996,0.164
sparse,block,1,1,4,0.6425663751,0.4588945383,0.1798125
sparse,block,1,1,5,0.7517878018,0.5468793759,0.23675
sparse,block,1,1,6,0.7868851594,0.5647227836,0.253625
sparse,block,1,1,7,0.8329290639,0.5999321426,0.2791875
sparse,block,1,1,8,0.8537010001,0.636079734,0.2979375
sparse,block,1,1,9,0.9482836805,0.693950472,0.3295
sparse,block,1,1,10,1.02406058,0.7709829101,0.366875
sparse,block,1,1,11,1.073432027,0.8050519482,0.3843125
sparse,block,1,1,12,1.063368703,0.7851868517,0.3820625
sparse,block,1,2,1,0.5169153397,0.3445318025,0.1269375
sparse,block,1,2,2,0.4287971712,0.2836006304,0.092375
sparse,block,1,2,3,0.5749082538,0.3967406704,0.1509375
sparse,block,1,2,4,0.6643896567,0.4726151623,0.198375
sparse,block,1,2,5,0.7667590518,0.5513645801,0.2423125
sparse,block,1,2,6,0.7801282171,0.5697680131,0.2485625
sparse,block,1,2,7,0.837620222,0.6062112355,0.2778125
sparse,block,1,2,8,0.8662048397,0.6181691873,0.28675
sparse,block,1,2,9,0.906690099,0.6640597532,0.3035
sparse,block,1,2,10,0.8863882922,0.6359112157,0.3051875
sparse,block,1,2,11,0.9961691437,0.7307183874,0.3514375
sparse,block,1,2,12,1.042027622,0.7501684867,0.3661875
sparse,block,1,3,1,0.5443324587,0.3641009797,0.138
sparse,block,1,3,2,0.4184351556,0.2744658334,0.0844375
sparse,block,1,3,3,0.5506926443,0.3769170451,0.137
sparse,block,1,3,4,0.6156570001,0.4297713432,0.1743125
sparse,block,1,3,5,0.6484827872,0.4554524298,0.1856875
sparse,block,1,3,6,0.7210186181,0.5220627813,0.2219375
sparse,block,1,3,7,0.7563855017,0.5418421228,0.2420625
sparse,block,1,3,8,0.80727765,0.5938991379,0.2666875
sparse,block,1,3,9,0.8842102595,0.6454197173,0.297375
sparse,block,1,3,10,0.9955358526,0.7433588672,0.3605625
sparse,block,1,3,11,1.034256211,0.7793551878,0.37
sparse,block,1,3,12,1.078009549,0.807187746,0.3823125
sparse,block,2,1,1,0.5431019766,0.357762206,0.140125
