dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
sparse,fmar,40,200,1,12,LP,1,0.1141928266,0.1152860249,0.1039005795,0.1247738961,0.02878390192,0.01258490577
sparse,fmar,40,200,1,12,LP,2,0.117461786,0.1222136192,0.1079058437,0.1341367654,0.02681027998,0.0145491268
sparse,fmar,40,200,1,12,LP,3,0.1479345886,0.1478440111,0.1815971332,0.1197164093,0.09064514898,0.01055455932
sparse,fmar,40,200,1,12,BVAR,1,0.07162435105,0.0696528504,0.1055761455,0.03971677118,0.05126644829,0.002444097073
sparse,fmar,40,200,1,12,BVAR,2,0.05297175388,0.05185397822,0.06539715826,0.04056799486,0.02727233538,0.001944205317
sparse,fmar,40,200,1,12,BVAR,3,0.1372372274,0.1363048386,0.1496842485,0.1251553304,0.1320139567,0.001155477413
sparse,fmar,40,200,1,12,BLP-FMAR,1,0.09834414364,0.09810192601,0.09671376245,0.09925872898,0.03187337379,0.008631740801
sparse,fmar,40,200,1,12,BLP-FMAR,2,0.09894747372,0.1020802458,0.09881087013,0.1048047255,0.02105823583,0.01003357016
sparse,fmar,40,200,1,12,BLP-FMAR,3,0.1248925172,0.1227286856,0.1552867601,0.0955969568,0.06256073387,0.008127498566
sparse,fmar,40,200,1,12,BLP-block,1,0.09504032711,0.09479644931,0.09445113938,0.09508420759,0.03418106268,0.007760948457
sparse,fmar,40,200,1,12,BLP-block,2,0.09757384943,0.1004857824,0.09230713337,0.1073013233,0.02062579286,0.009802074948
sparse,fmar,40,200,1,12,BLP-block,3,0.1371957127,0.1362154094,0.1677055569,0.1099736198,0.06964562881,0.01034420529
sparse,fmar,40,200,1,12,BLP-pooled,1,0.08993556746,0.08926340229,0.09619090843,0.0834904805,0.03752092388,0.006452897353
sparse,fmar,40,200,1,12,BLP-pooled,2,0.09494613777,0.09762472982,0.09006877231,0.1039213611,0.02095394319,0.00913422007
sparse,fmar,40,200,1,12,BLP-pooled,3,0.1404111768,0.1396420723,0.1708530701,0.1136329075,0.07555101219,0.010608887
