dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
sparse,block,1,1,1,0.5195341349,0.3821248415,0.124
sparse,block,1,1,2,0.5821292953,0.4161991172,0.164
sparse,block,1,1,3,0.5695438746,0.4111194461,0.15875
sparse,block,1,1,4,0.6433297998,0.4771324052,0.1943125
sparse,block,1,1,5,0.7191695537,0.5447192933,0.2299375
sparse,block,1,1,6,0.7563335741,0.5656878123,0.252125
sparse,block,1,1,7,0.7989165023,0.5978090422,0.269875
sparse,block,1,1,8,0.8547337881,0.6559362426,0.3026875
sparse,block,1,1,9,0.9308601656,0.704209117,0.33275
sparse,block,1,1,10,0.9467571569,0.726905455,0.341375
sparse,block,1,1,11,0.9212595631,0.7120455337,0.33375
sparse,block,1,1,12,1.047808219,0.8060732862,0.3820625
sparse,block,1,2,1,0.5245168515,0.3822499882,0.1300625
sparse,block,1,2,2,0.5849397324,0.4251772706,0.1670625
sparse,block,1,2,3,0.6272837184,0.4635429151,0.1838125
sparse,block,1,2,4,0.6875901345,0.5251737061,0.2223125
sparse,block,1,2,5,0.7561764055,0.5802321254,0.2560625
sparse,block,1,2,6,0.7929014331,0.6137124831,0.2740625
sparse,block,1,2,7,0.8086005982,0.6143032892,0.2784375
sparse,block,1,2,8,0.7929293451,0.6147709838,0.2746875
sparse,block,1,2,9,0.8649177179,0.660441757,0.3125625
sparse,block,1,2,10,0.9462222976,0.7271941394,0.335
sparse,block,1,2,11,1.009822424,0.7799234683,0.36725
sparse,block,1,2,12,1.043214201,0.8161349324,0.3814375
sparse,block,1,3,1,0.5156425391,0.3759542412,0.1233125
sparse,block,1,3,2,0.5650763404,0.4208774587,0.1513125
sparse,block,1,3,3,0.6034685187,0.4418133645,0.17175
sparse,block,1,3,4,0.6453922752,0.4881719166,0.195875
sparse,block,1,3,5,0.7059348593,0.5206396831,0.2290625
sparse,block,1,3,6,0.8028631655,0.6115645847,0.28375
sparse,block,1,3,7,0.8406500331,0.6501688566,0.2985625
sparse,block,1,3,8,0.8599063617,0.6534420971,0.30975
sparse,block,1,3,9,0.9290866663,0.7310494761,0.347
sparse,block,1,3,10,0.9595680167,0.7610430411,0.3489375
sparse,block,1,3,11,0.9465796572,0.7418254712,0.352
sparse,block,1,3,12,0.8877497387,0.6827457864,0.31875
sparse,block,2,1,1,0.4920560393,0.3530425457,0.11475
sparse,block,2,1,2,0.5480172552,0.3946170556,0.14325
sparse,block,2,1,3,0.6073181948,0.4539816132,0.1726875
sparse,block,2,1,4,0.6920423291,0.5125497867,0.2171875
sparse,block,2,1,5,0.7091735502,0.514360844,0.225875
sparse,block,2,1,6,0.7752239271,0.5787980914,0.262
