dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
correct,fmar,40,200,2,12,LP,1,0.1009399666,0.1034491728,0.09844005175,0.1076234404,0.0107340008,0.01062423359
correct,fmar,40,200,2,12,LP,2,0.09099793544,0.09246159747,0.08672461832,0.09724241343,0.008291172325,0.008552228022
correct,fmar,40,200,2,12,LP,3,0.08336008731,0.08534817048,0.07859732287,0.09097387683,0.01329970345,0.007152676706
correct,fmar,40,200,2,12,BVAR,1,0.06934041205,0.06918282634,0.08441992723,0.05648524226,0.02855013952,0.004139825111
correct,fmar,40,200,2,12,BVAR,2,0.05446521167,0.05326042654,0.06257726429,0.04549639509,0.01604451591,0.002642924484
correct,fmar,40,200,2,12,BVAR,3,0.04921290405,0.04868492743,0.05656687293,0.04211663951,0.02167944142,0.001941924903
correct,fmar,40,200,2,12,BLP-FMAR,1,0.08071683364,0.08164563096,0.08624214632,0.07781520149,0.02017348379,0.006278372757
correct,fmar,40,200,2,12,BLP-FMAR,2,0.06974924755,0.06970943136,0.07257928803,0.06731788413,0.009852061937,0.004778749047
correct,fmar,40,200,2,12,BLP-FMAR,3,0.06299047121,0.06346590412,0.06392119128,0.06308649816,0.01869995761,0.003671635705
correct,fmar,40,200,2,12,BLP-block,1,0.07946521278,0.08027305403,0.08467015688,0.07660880166,0.02262531849,0.005914972865
correct,fmar,40,200,2,12,BLP-block,2,0.06858643039,0.06859507479,0.06825803673,0.06887593983,0.01057414105,0.004591486616
correct,fmar,40,200,2,12,BLP-block,3,0.06200518067,0.0625476513,0.06103072394,0.06381175743,0.01941116243,0.003522824479
correct,fmar,40,200,2,12,BLP-pooled,1,0.07780286334,0.07846538565,0.08467634276,0.07328958806,0.02537193891,0.005499157966
correct,fmar,40,200,2,12,BLP-pooled,2,0.06559605913,0.06536728055,0.06474956487,0.06588204362,0.01158555196,0.004127515004
correct,fmar,40,200,2,12,BLP-pooled,3,0.060684592,0.06109938346,0.05984998259,0.06214055086,0.02094271206,0.003273389103
