dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
correct,fmar,40,200,2,12,LP,1,1,-0.01136379004,0.005249428874,0.005378564598,0.07333869782,0.925,0.2273193903,NaN,NaN
correct,fmar,40,200,2,12,LP,1,2,-0.008057664445,0.008372381477,0.008437307433,0.09185481715,0.8,0.2508013056,NaN,NaN
correct,fmar,40,200,2,12,LP,1,3,-0.009082212001,0.007176706697,0.007259193272,0.08520089948,0.95,0.2766064013,NaN,NaN
correct,fmar,40,200,2,12,LP,1,4,-0.01114810535,0.01200771142,0.01213199167,0.1101453207,0.825,0.2949833353,NaN,NaN
correct,fmar,40,200,2,12,LP,1,5,-0.016410831,0.01059120044,0.01086051581,0.1042137986,0.9,0.3012686339,NaN,NaN
correct,fmar,40,200,2,12,LP,1,6,-0.0140443871,0.009960456656,0.01015770147,0.1007854229,0.9,0.3074666673,NaN,NaN
correct,fmar,40,200,2,12,LP,1,7,-0.02377908336,0.01198902514,0.01255446994,0.1120467311,0.825,0.3104928918,NaN,NaN
correct,fmar,40,200,2,12,LP,1,8,-0.01337402544,0.01211755373,0.01229641828,0.1108892163,0.775,0.3081218062,NaN,NaN
correct,fmar,40,200,2,12,LP,1,9,-0.006908517906,0.01183278567,0.01188051328,0.1089977673,0.775,0.3026753306,NaN,NaN
correct,fmar,40,200,2,12,LP,1,10,0.004834575927,0.009323368785,0.00934674191,0.09667854938,0.9,0.3112556515,NaN,NaN
correct,fmar,40,200,2,12,LP,1,11,-0.008894481388,0.01138373655,0.01146284835,0.1070646924,0.825,0.3193779357,NaN,NaN
correct,fmar,40,200,2,12,LP,1,12,-0.001540124936,0.01211164293,0.01211401492,0.1100636857,0.85,0.3093676857,NaN,NaN
correct,fmar,40,200,2,12,LP,2,1,-0.008648921964,0.005534854596,0.005609658447,0.07489765315,0.875,0.213345415,NaN,NaN
correct,fmar,40,200,2,12,LP,2,2,0.002011542746,0.006472521096,0.0064765674,0.08047712346,0.875,0.2382625244,NaN,NaN
