dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
correct,block,1,1,1,0.5740645657,0.3955994612,0.147
correct,block,1,1,2,0.6404322087,0.4289225959,0.182625
correct,block,1,1,3,0.6948440377,0.4855423618,0.2114375
correct,block,1,1,4,0.7945800447,0.5664810252,0.25725
correct,block,1,1,5,0.82216833,0.59051944,0.2735625
correct,block,1,1,6,0.8626415491,0.615481247,0.2915625
correct,block,1,1,7,0.9629156909,0.6948256031,0.3404375
correct,block,1,1,8,1.013744784,0.7311730923,0.3601875
correct,block,1,1,9,1.030655926,0.7417341743,0.3614375
correct,block,1,1,10,1.111148746,0.8076433167,0.3948125
correct,block,1,1,11,1.134234154,0.8327861959,0.403125
correct,block,1,1,12,1.197522267,0.8698754195,0.429
correct,block,1,2,1,0.5868913669,0.4051512462,0.1576875
correct,block,1,2,2,0.63785572,0.4310720809,0.1829375
correct,block,1,2,3,0.7104319291,0.5050882606,0.215625
correct,block,1,2,4,0.7707278725,0.5276353566,0.244875
correct,block,1,2,5,0.7856302189,0.5608550893,0.2575
correct,block,1,2,6,0.8164155323,0.5825809912,0.2724375
correct,block,1,2,7,0.8343256671,0.58563318,0.2766875
correct,block,1,2,8,0.9127542645,0.6493686453,0.31675
correct,block,1,2,9,0.9204200765,0.6569168711,0.316125
correct,block,1,2,10,0.9693663791,0.6629009791,0.3325625
correct,block,1,2,11,1.006266549,0.724681936,0.3588125
correct,block,1,2,12,1.083180559,0.778155633,0.3876875
correct,block,1,3,1,0.5519813773,0.3719885504,0.1426875
correct,block,1,3,2,0.5849793206,0.3972175049,0.162375
correct,block,1,3,3,0.6646608108,0.4600356086,0.1979375
correct,block,1,3,4,0.7193261776,0.5018248948,0.2203125
correct,block,1,3,5,0.807592575,0.5908473051,0.2675625
correct,block,1,3,6,0.8500542023,0.6054998102,0.279875
correct,block,1,3,7,0.8813853889,0.6370439137,0.29775
correct,block,1,3,8,0.9386932175,0.6762177138,0.323875
correct,block,1,3,9,1.008404146,0.7399430294,0.3525
correct,block,1,3,10,1.002693393,0.7167844928,0.351375
correct,block,1,3,11,1.06951172,0.7766080965,0.3768125
correct,block,1,3,12,1.085148112,0.8185098658,0.3880625
correct,block,2,1,1,0.5610865163,0.3787607406,0.1428125
correct,block,2,1,2,0.6624069343,0.4467288663,0.1868125
correct,block,2,1,3,0.6791646359,0.4640103794,0.2068125
correct,block,2,1,4,0.7052612679,0.5020565021,0.2194375
correct,block,2,1,5,0.799125123,0.5631747573,0.2639375
correct,block,2,1,6,0.9177878522,0.655559577,0.3126875
correct,block,2,1,7,1.007685312,0.7283634677,0.3514375
correct,block,2,1,8,0.9292061193,0.6544555981,0.323875
correct,block,2,1,9,0.9962532956,0.7169902005,0.3479375
correct,block,2,1,10,1.049103397,0.759231892,0.3725
correct,block,2,1,11,1.056553859,0.7632239029,0.3775
correct,block,2,1,12,1.113136419,0.8005217344,0.39325
correct,block,2,2,1,0.5794854258,0.3931042283,0.1501875
correct,block,2,2,2,0.6775801447,0.4684508434,0.199
correct,block,2,2,3,0.696752703,0.4838812451,0.211875
correct,block,2,2,4,0.797326551,0.5604417385,0.25525
correct,block,2,2,5,0.8233448608,0.5882548682,0.2720625
correct,block,2,2,6,0.8242130937,0.5929072132,0.2763125
correct,block,2,2,7,0.8965560529,0.6495258392,0.310125
correct,block,2,2,8,0.9344581877,0.664922294,0.3211875
correct,block,2,2,9,0.975254358,0.6939283266,0.336875
correct,block,2,2,10,0.9878001422,0.696850359,0.338125
correct,block,2,2,11,0.9875576893,0.7075620791,0.3394375
correct,block,2,2,12,1.043604176,0.7425887689,0.36075
correct,block,2,3,1,0.548432077,0.3741673581,0.1388125
correct,block,2,3,2,0.6363876113,0.432776911,0.1805625
correct,block,2,3,3,0.7140294779,0.4885062658,0.2188125
correct,block,2,3,4,0.7159732678,0.5035165575,0.2211875
correct,block,2,3,5,0.8007326235,0.5637335574,0.256625
correct,block,2,3,6,0.8062628807,0.5698442066,0.2685
correct,block,2,3,7,0.8482267168,0.6165956315,0.2878125
correct,block,2,3,8,0.9025212527,0.6426130421,0.3060625
correct,block,2,3,9,0.9326485439,0.6634053866,0.3225
correct,block,2,3,10,0.9885912105,0.7193698605,0.3431875
correct,block,2,3,11,1.022298077,0.7281878491,0.3479375
