dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
dense,fmar,40,200,2,12,LP,1,0.143579237,0.1493643661,0.1376292517,0.1591436281,0.05203792602,0.01978115168
dense,fmar,40,200,2,12,LP,2,0.1329270236,0.1352113878,0.1343627863,0.1359185558,0.04352600448,0.01626639053
dense,fmar,40,200,2,12,LP,3,0.1234789444,0.1260682057,0.1213355849,0.1300120564,0.03387248106,0.01479119423
dense,fmar,40,200,2,12,BVAR,1,0.1114834081,0.1112732967,0.1144988552,0.1085853314,0.05967270392,0.008809684866
dense,fmar,40,200,2,12,BVAR,2,0.1041871185,0.1032593365,0.1029939888,0.1034804595,0.05288206072,0.007536310276
dense,fmar,40,200,2,12,BVAR,3,0.09148789082,0.09095601117,0.09013841076,0.09163734484,0.04460626157,0.006050770649
dense,fmar,40,200,2,12,BLP-FMAR,1,0.1140706028,0.1156352437,0.1154767237,0.1157673438,0.0586425838,0.009918822792
dense,fmar,40,200,2,12,BLP-FMAR,2,0.1058151625,0.1053856401,0.1054107703,0.1053646983,0.04743946393,0.008825034988
dense,fmar,40,200,2,12,BLP-FMAR,3,0.09850919282,0.09872076103,0.09520368018,0.1016516617,0.03810693656,0.008251548346
dense,fmar,40,200,2,12,BLP-block,1,0.1140009453,0.1147139368,0.1143868178,0.1149865359,0.05637624576,0.009953093339
dense,fmar,40,200,2,12,BLP-block,2,0.1046803814,0.1039865499,0.1036231047,0.1042894209,0.04617904002,0.008593661888
dense,fmar,40,200,2,12,BLP-block,3,0.09955015321,0.09981036584,0.0953311933,0.1035430096,0.03815619869,0.008459685341
dense,fmar,40,200,2,12,BLP-pooled,1,0.1132081183,0.1135406048,0.1139217789,0.1132229598,0.05762793564,0.009493851416
dense,fmar,40,200,2,12,BLP-pooled,2,0.103441395,0.102566328,0.1016037797,0.1033684516,0.04786447891,0.008033390361
dense,fmar,40,200,2,12,BLP-pooled,3,0.09793336965,0.09799923248,0.09394486017,0.1013778761,0.03873425247,0.008011307098
