dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
intermediate,fmar,40,200,2,12,LP,1,0.08838565838,0.0902359543,0.08765197297,0.09238927207,0.01226629795,0.007974717202
intermediate,fmar,40,200,2,12,LP,2,0.087825326,0.08941324608,0.08201864664,0.09557541229,0.004698158938,0.008063542361
intermediate,fmar,40,200,2,12,LP,3,0.08664443053,0.08550336589,0.08083782863,0.0893913136,0.007416890415,0.007310723944
intermediate,fmar,40,200,2,12,BVAR,1,0.0732471127,0.07369135689,0.08820175941,0.0615993548,0.06319344486,0.00120724224
intermediate,fmar,40,200,2,12,BVAR,2,0.09654599372,0.09954326569,0.1217655458,0.0810246989,0.09150248557,0.001470934815
intermediate,fmar,40,200,2,12,BVAR,3,0.1155460161,0.1176094173,0.1629587299,0.07981832341,0.1115911578,0.001466700641
intermediate,fmar,40,200,2,12,BLP-FMAR,1,0.06680537777,0.06693603701,0.07391884366,0.06111703147,0.02495051405,0.003756755352
intermediate,fmar,40,200,2,12,BLP-FMAR,2,0.07099194092,0.07148657009,0.0768382564,0.0670268315,0.02808574523,0.004205939179
intermediate,fmar,40,200,2,12,BLP-FMAR,3,0.07522012397,0.07329658234,0.08347440257,0.06481506548,0.03602696449,0.003851861556
intermediate,fmar,40,200,2,12,BLP-block,1,0.06884436564,0.06906483676,0.07644191805,0.06291726902,0.02840703706,0.003817235639
intermediate,fmar,40,200,2,12,BLP-block,2,0.07440157,0.07531193437,0.0827094047,0.06914737577,0.03084385921,0.004695202287
intermediate,fmar,40,200,2,12,BLP-block,3,0.07586327632,0.07417310834,0.08371587475,0.066220803,0.03149524203,0.004490930271
intermediate,fmar,40,200,2,12,BLP-pooled,1,0.06837259262,0.06848929263,0.07712999247,0.06128870943,0.03196498951,0.003491854304
intermediate,fmar,40,200,2,12,BLP-pooled,2,0.07505605582,0.07594019718,0.08381814504,0.06937524062,0.03171667345,0.004636336163
intermediate,fmar,40,200,2,12,BLP-pooled,3,0.07626145664,0.07436261123,0.08272827238,0.06739122693,0.0296029224,0.004540518162
