dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
intermediate,block,1,1,1,0.5612152129,0.3763023257,0.1434375
intermediate,block,1,1,2,0.8169291271,0.5874626722,0.2706875
intermediate,block,1,1,3,0.8589351027,0.6439178634,0.2909375
intermediate,block,1,1,4,0.9560924355,0.723260822,0.33875
intermediate,block,1,1,5,1.035739329,0.7964871202,0.3818125
intermediate,block,1,1,6,1.029492009,0.776281096,0.3774375
intermediate,block,1,1,7,1.022020191,0.7625282394,0.3655625
intermediate,block,1,1,8,1.016532877,0.7527175719,0.36
intermediate,block,1,1,9,1.024537045,0.7579295376,0.3655
intermediate,block,1,1,10,0.9859710909,0.723058714,0.34975
intermediate,block,1,1,11,0.9843231699,0.7205801528,0.3439375
intermediate,block,1,1,12,0.9867551199,0.7136908213,0.3450625
intermediate,block,1,2,1,0.5744698229,0.3938844331,0.1498125
intermediate,block,1,2,2,0.5806844757,0.4039057717,0.149875
intermediate,block,1,2,3,0.6801310999,0.4751403086,0.1974375
intermediate,block,1,2,4,0.6931130697,0.4904454882,0.2105625
intermediate,block,1,2,5,0.8043709945,0.5650568319,0.2634375
intermediate,block,1,2,6,0.8831124122,0.6456225694,0.30025
intermediate,block,1,2,7,0.9442456678,0.6738282449,0.3330625
intermediate,block,1,2,8,0.9734044143,0.7071944094,0.339
intermediate,block,1,2,9,1.026741854,0.7538224285,0.368875
intermediate,block,1,2,10,1.037394938,0.7454000667,0.3629375
intermediate,block,1,2,11,1.080450807,0.770229127,0.37575
intermediate,block,1,2,12,1.161362928,0.8544768336,0.4109375
intermediate,block,1,3,1,0.562892776,0.3934411981,0.1439375
intermediate,block,1,3,2,0.5462417642,0.3747499693,0.142125
intermediate,block,1,3,3,0.6346299474,0.4481945255,0.1813125
intermediate,block,1,3,4,0.6836973777,0.491955459,0.2023125
intermediate,block,1,3,5,0.72983217,0.5317269577,0.226375
intermediate,block,1,3,6,0.7709825723,0.5439389174,0.2473125
intermediate,block,1,3,7,0.8714574662,0.6290055391,0.289375
