dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
sparse,block,1,1,1,0.5734182697,0.3955287639,0.149
sparse,block,1,1,2,0.5277330528,0.365348917,0.131875
sparse,block,1,1,3,0.6318533974,0.4345568728,0.1798125
sparse,block,1,1,4,0.68095557,0.4828598731,0.206
sparse,block,1,1,5,0.7573955377,0.5455544967,0.2385625
sparse,block,1,1,6,0.8247604862,0.5771978656,0.2686875
sparse,block,1,1,7,0.8408818651,0.5978751696,0.2810625
sparse,block,1,1,8,0.8803008095,0.6372849524,0.302125
sparse,block,1,1,9,0.9593727311,0.6988380532,0.3315625
sparse,block,1,1,10,1.027411044,0.7424036467,0.3589375
sparse,block,1,1,11,1.067779031,0.7715439225,0.368625
sparse,block,1,1,12,1.05872197,0.7637844055,0.372875
sparse,block,1,2,1,0.5534860617,0.3762282757,0.1399375
sparse,block,1,2,2,0.5011926773,0.3401960762,0.1190625
sparse,block,1,2,3,0.6584118674,0.4725608703,0.1961875
sparse,block,1,2,4,0.6986725866,0.5061785353,0.2151875
sparse,block,1,2,5,0.8048481742,0.5791010958,0.263875
sparse,block,1,2,6,0.8514310334,0.6228122007,0.2864375
sparse,block,1,2,7,0.8255808309,0.5942050974,0.2740625
sparse,block,1,2,8,0.9011326193,0.6663468271,0.3115625
sparse,block,1,2,9,0.9412654396,0.6995182167,0.325
sparse,block,1,2,10,1.011578561,0.7368146018,0.3506875
sparse,block,1,2,11,1.044954789,0.755116349,0.3634375
sparse,block,1,2,12,1.142860502,0.8437918116,0.4018125
sparse,block,1,3,1,0.5605479749,0.3865285744,0.1449375
sparse,block,1,3,2,0.5052452893,0.3405226948,0.1208125
sparse,block,1,3,3,0.6348919152,0.4463548127,0.1778125
sparse,block,1,3,4,0.6641721061,0.46866506,0.1949375
sparse,block,1,3,5,0.7501515599,0.5365949574,0.2380625
sparse,block,1,3,6,0.8151135869,0.5927186523,0.2715625
sparse,block,1,3,7,0.8791795447,0.6373099964,0.3000625
sparse,block,1,3,8,0.9277669499,0.6782763624,0.321625
sparse,block,1,3,9,0.9359331859,0.6752574113,0.325125
sparse,block,1,3,10,1.012866079,0.7397542786,0.3516875
sparse,block,1,3,11,1.016112466,0.7409956433,0.3600625
sparse,block,1,3,12,1.019182075,0.7487070866,0.356625
sparse,block,2,1,1,0.5557905929,0.3725768524,0.1419375
sparse,block,2,1,2,0.5303149925,0.3627419502,0.13525
sparse,block,2,1,3,0.637333548,0.437891519,0.1850625
sparse,block,2,1,4,0.7479065199,0.5159574197,0.227
sparse,block,2,1,5,0.8046430263,0.5708909988,0.2623125
sparse,block,2,1,6,0.8368945947,0.6079303457,0.277625
sparse,block,2,1,7,0.8702930685,0.621428436,0.2933125
sparse,block,2,1,8,0.9633358143,0.6910815681,0.3335625
sparse,block,2,1,9,1.057195784,0.7600278964,0.3678125
sparse,block,2,1,10,1.10274221,0.8142650254,0.395125
sparse,block,2,1,11,1.205934097,0.8989014223,0.4273125
sparse,block,2,1,12,1.27319634,0.952025413,0.453
sparse,block,2,2,1,0.5557776729,0.3664761771,0.1433125
sparse,block,2,2,2,0.5472868428,0.3662664898,0.13975
sparse,block,2,2,3,0.6160969674,0.4126828097,0.1721875
sparse,block,2,2,4,0.6918636583,0.4773910863,0.2070625
sparse,block,2,2,5,0.7056562045,0.501142428,0.2180625
sparse,block,2,2,6,0.7919765357,0.5637997097,0.2571875
sparse,block,2,2,7,0.8457823306,0.6131524585,0.283375
sparse,block,2,2,8,0.8761658344,0.6365150122,0.3010625
sparse,block,2,2,9,0.9397294306,0.6747075657,0.3234375
sparse,block,2,2,10,0.9855728768,0.7140113077,0.341625
sparse,block,2,2,11,1.009169879,0.7195374181,0.3469375
sparse,block,2,2,12,1.110602488,0.8054219055,0.3933125
sparse,block,2,3,1,0.5446799666,0.3603935906,0.13875
sparse,block,2,3,2,0.4954150828,0.3332611906,0.1169375
sparse,block,2,3,3,0.6201865441,0.4317678575,0.1736875
sparse,block,2,3,4,0.667216708,0.4734109426,0.199125
sparse,block,2,3,5,0.7813501508,0.5711268867,0.2536875
sparse,block,2,3,6,0.8284300327,0.6105747992,0.27675
sparse,block,2,3,7,0.9164726833,0.6764532279,0.320875
sparse,block,2,3,8,0.9434821935,0.6928289494,0.329
sparse,block,2,3,9,1.034444042,0.7684881891,0.3664375
sparse,block,2,3,10,1.006008432,0.7422397352,0.352125
sparse,block,2,3,11,1.050545018,0.7647148055,0.3585
sparse,block,2,3,12,1.091222858,0.8030993965,0.3828125
sparse,block,3,1,1,0.5816809557,0.3970036427,0.15425
sparse,block,3,1,2,2.217582941,1.787425691,0.8373125
