dgp,mode,R,T,p,H,estimator,variable,horizon,bias,variance,mse,rmse,coverage,avg_len,coverage_post,avg_len_post
sparse,fmar,40,200,2,12,LP,1,1,-0.01198889488,0.005093743501,0.005237477101,0.07237041592,0.875,0.227805728,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,2,-0.006393884408,0.006230955968,0.006271837726,0.07919493497,0.9,0.2505060631,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,3,-0.0167768291,0.005367187433,0.005648649427,0.07515749748,0.925,0.2731010946,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,4,-0.02360335225,0.008651564671,0.009208682909,0.09596188258,0.875,0.2948569298,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,5,-0.02107706238,0.009735163324,0.01017940588,0.1008930418,0.875,0.3062579661,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,6,-0.02526904142,0.01222191285,0.0128604373,0.1134038681,0.8,0.3095074803,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,7,-0.02836206688,0.01051065073,0.01131505757,0.1063722594,0.875,0.3117944179,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,8,-0.0295970883,0.01099678032,0.01187276795,0.1089622318,0.875,0.3159735909,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,9,-0.02251812779,0.01033891329,0.01084597937,0.1041440319,0.85,0.3157622205,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,10,-0.0193278092,0.01084697423,0.01122053844,0.105927043,0.8,0.3184766622,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,11,-0.00780935679,0.009449627745,0.009510613799,0.09752237589,0.85,0.3124897619,NaN,NaN
sparse,fmar,40,200,2,12,LP,1,12,-0.03188106634,0.00663421556,0.007650617951,0.08746781094,0.95,0.3133995825,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,1,-0.001198343737,0.004614372283,0.004615808311,0.06793974029,0.875,0.2124280847,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,2,-0.004089047487,0.005693897765,0.005710618074,0.07556863155,0.875,0.2376767396,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,3,0.002787552061,0.006232374238,0.006240144684,0.07899458642,0.875,0.2491985296,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,4,-0.00496506057,0.007384959047,0.007409610874,0.08607909661,0.875,0.2642124404,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,5,-0.01213037762,0.0107471989,0.01089434496,0.1043759789,0.825,0.273170245,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,6,-0.0198836243,0.01142445059,0.0118198091,0.1087189455,0.8,0.2798922968,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,7,-0.008107537393,0.007286399881,0.007352132044,0.08574457443,0.875,0.2781761312,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,8,-0.003915788728,0.009869051462,0.009884384863,0.09942024373,0.8,0.2871056119,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,9,0.006119418503,0.009026459525,0.009063906808,0.09520455245,0.875,0.2994801771,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,10,0.004143676486,0.01052225817,0.01053942822,0.1026617174,0.85,0.3009299967,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,11,0.00382028093,0.009554864397,0.009569458943,0.09782361138,0.825,0.2793943891,NaN,NaN
sparse,fmar,40,200,2,12,LP,2,12,-0.01545929705,0.01047549547,0.01071448534,0.1035107982,0.875,0.2902260122,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,1,-0.03808783274,0.00583372722,0.007284410223,0.08534875642,0.725,0.2047341494,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,2,-0.007076850109,0.004213173009,0.004263254816,0.06529360471,0.9,0.210429551,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,3,-0.02479178692,0.005856495686,0.006471128384,0.08044332405,0.85,0.2266522383,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,4,-0.02418530409,0.00476176724,0.005346696174,0.07312110621,0.875,0.233857034,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,5,-0.02352268424,0.006686818001,0.007240134675,0.08508898093,0.85,0.2359813218,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,6,-0.03343475313,0.005622102203,0.00673998492,0.08209741116,0.85,0.236048875,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,7,-0.02052969465,0.008686124062,0.009107592425,0.09543370696,0.75,0.2466640761,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,8,-0.01774845462,0.009634183521,0.009949191162,0.0997456323,0.7,0.2357176619,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,9,-0.00987426685,0.009469546112,0.009567047258,0.0978112839,0.8,0.2372157612,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,10,-0.01140642946,0.007231476949,0.007361583582,0.08579967122,0.85,0.2440441696,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,11,-0.001002771541,0.008284488223,0.008285493774,0.09102468772,0.8,0.2392983544,NaN,NaN
sparse,fmar,40,200,2,12,LP,3,12,-0.02143979912,0.006482590194,0.00694225518,0.08332019671,0.8,0.2482030631,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,1,-0.02505710425,0.004239657809,0.004867516282,0.06976758762,0.85,0.2096163974,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,2,-0.04212689432,0.00388537059,0.005660045815,0.07523327598,0.825,0.1951850097,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,3,-0.05194721594,0.004451938754,0.007150451998,0.0845603453,0.825,0.2140929788,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,4,-0.04839993117,0.004075027167,0.006417580504,0.0801098028,0.875,0.2191709805,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,5,-0.04501446915,0.003561096519,0.005587398952,0.07474890603,0.875,0.215708624,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,6,-0.03840518569,0.00295149558,0.004426453868,0.06653160052,0.875,0.2059666633,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,7,-0.03181318269,0.002381558581,0.003393637174,0.05825493261,0.9,0.1938453984,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,8,-0.02520731282,0.001883847767,0.002519256387,0.05019219448,0.9,0.180001643,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,9,-0.01922731951,0.001473229914,0.00184291973,0.04292924096,0.9,0.1641074137,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,10,-0.01400365046,0.001144183925,0.001340286152,0.03660991876,0.9,0.1487858303,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,11,-0.009622131418,0.0008856091621,0.0009781945752,0.0312761023,0.9,0.1339664963,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,1,12,-0.00605786026,0.0006845275449,0.0007212252159,0.02685563658,0.9,0.1203670139,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,1,-0.001984167652,0.003632117929,0.00363605485,0.06029970854,0.9,0.1978066752,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,2,-0.001881011843,0.003663230016,0.003666768221,0.06055384563,0.8,0.1782487705,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,3,-0.02193829579,0.004088399012,0.004569687834,0.06759946622,0.875,0.1915716271,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,4,-0.02264505265,0.004009959047,0.004522757457,0.06725144948,0.85,0.1937643158,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,5,-0.01728218231,0.003553748706,0.003852422531,0.06206788648,0.875,0.1887664046,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,6,-0.01141400127,0.002993242797,0.003123522222,0.05588848023,0.875,0.1786795253,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,7,-0.005354326681,0.002440865599,0.002469534413,0.04969441028,0.875,0.1663448639,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,8,-0.0004190932941,0.001954041914,0.001954217553,0.04420653292,0.875,0.153611971,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,9,0.003413391425,0.0015469842,0.001558635441,0.03947955725,0.9,0.1400969451,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,10,0.006145400627,0.001216713617,0.001254479566,0.03541863304,0.9,0.1266169438,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,11,0.007947296611,0.0009531539017,0.001016313425,0.03187967103,0.9,0.1133543048,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,2,12,0.008994544448,0.0007447896537,0.0008256914836,0.0287348479,0.9,0.1011957618,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,1,-0.04471328151,0.004607034685,0.006606312229,0.08127922384,0.75,0.1842737963,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,2,-0.1125286599,0.002644742027,0.01530744133,0.1237232449,0.25,0.1603788917,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,3,0.02418368597,0.002443249873,0.00302810054,0.05502817951,0.85,0.1686200692,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,4,0.0253712089,0.002258111359,0.0029018096,0.05386844717,0.875,0.1687636736,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,5,0.04502107328,0.001974226691,0.00400112373,0.06325443645,0.75,0.1600329601,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,6,0.04749936645,0.001665148642,0.003921338455,0.0626205913,0.675,0.1479120193,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,7,0.04756827166,0.001349128165,0.003611868634,0.0600988239,0.675,0.1337614132,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,8,0.04485103633,0.001062235806,0.003073851266,0.05544232378,0.625,0.1194388587,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,9,0.04102118104,0.0008174086529,0.002500145947,0.05000145945,0.55,0.1057554855,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,10,0.03670896349,0.0006184610028,0.001966009003,0.04433970008,0.525,0.09295119121,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,11,0.03232297552,0.0004620240268,0.001506798773,0.03881750601,0.5,0.08093891347,NaN,NaN
sparse,fmar,40,200,2,12,BVAR,3,12,0.0281043041,0.0003419802063,0.001131832115,0.03364271266,0.5,0.07022469617,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,1,-0.01552731642,0.004774006695,0.00501510425,0.07081740076,0.875,0.2278043606,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,2,-0.02187012521,0.004462979097,0.004941281474,0.07029424923,0.95,0.250038127,NaN,NaN
sparse,fmar,40,200,2,12,BLP-FMAR,1,3,-0.03362749097,0.004704316071,0.00583512422,0.07638798479,0.875,0.2738435377,NaN,NaN
