dgp,scale_estimator,equation,block,horizon,tau_mean,tau_median,p_tau_gt1
sparse,block,1,1,1,0.5746157761,0.395903076,0.1499375
sparse,block,1,1,2,0.4645793258,0.3161849066,0.1050625
sparse,block,1,1,3,0.586802433,0.4028014608,0.1578125
sparse,block,1,1,4,0.6414008274,0.453248419,0.18475
sparse,block,1,1,5,0.7191170666,0.516746204,0.2214375
sparse,block,1,1,6,0.7858713386,0.5491311033,0.2481875
sparse,block,1,1,7,0.8088163965,0.5729864205,0.26875
sparse,block,1,1,8,0.8464882759,0.6065083253,0.2845
sparse,block,1,1,9,0.9235431064,0.6634717001,0.316
sparse,block,1,1,10,0.9874230308,0.7098551918,0.3449375
sparse,block,1,1,11,1.028542144,0.7357803238,0.355375
sparse,block,1,1,12,1.008402117,0.7230611061,0.354875
sparse,block,1,2,1,0.5537776203,0.3762008005,0.1405625
sparse,block,1,2,2,0.440113725,0.2951485052,0.0919375
sparse,block,1,2,3,0.6140491846,0.4378008352,0.1745625
sparse,block,1,2,4,0.663686903,0.4796269824,0.1973125
sparse,block,1,2,5,0.7739067851,0.5532634735,0.248
sparse,block,1,2,6,0.8260853723,0.6023853583,0.272625
sparse,block,1,2,7,0.817857874,0.5934846108,0.2696875
sparse,block,1,2,8,0.9028220707,0.6708074175,0.313125
sparse,block,1,2,9,0.9466398901,0.7031094659,0.32775
sparse,block,1,2,10,1.006752357,0.735664823,0.3501875
sparse,block,1,2,11,1.034988353,0.7504389092,0.3595
sparse,block,1,2,12,1.133062553,0.839165846,0.3985
sparse,block,1,3,1,0.5513965482,0.3767909397,0.1415
sparse,block,1,3,2,0.4465137934,0.2944811828,0.096
sparse,block,1,3,3,0.6010375246,0.4186680828,0.163
sparse,block,1,3,4,0.6468647856,0.4515554579,0.1863125
sparse,block,1,3,5,0.7456422163,0.5342999854,0.236375
sparse,block,1,3,6,0.8159226313,0.5929889673,0.2715625
sparse,block,1,3,7,0.892338481,0.6478345661,0.3069375
sparse,block,1,3,8,0.9510841504,0.6866269143,0.329125
sparse,block,1,3,9,0.9705058031,0.693762794,0.33775
sparse,block,1,3,10,1.057291988,0.7685381494,0.3685625
sparse,block,1,3,11,1.048804205,0.7595328756,0.3666875
sparse,block,1,3,12,1.04672096,0.7595145668,0.3645
sparse,block,2,1,1,0.5586031516,0.3747543145,0.144
sparse,block,2,1,2,0.467717275,0.3163435507,0.107125
sparse,block,2,1,3,0.6028979751,0.4132947206,0.168625
sparse,block,2,1,4,0.7218250541,0.4957409733,0.214
sparse,block,2,1,5,0.788515063,0.5644030427,0.2550625
sparse,block,2,1,6,0.8388112914,0.6140516858,0.278625
sparse,block,2,1,7,0.8744131634,0.6312053852,0.2983125
sparse,block,2,1,8,0.9529694057,0.6859659466,0.3288125
sparse,block,2,1,9,1.036609107,0.7473441056,0.361375
sparse,block,2,1,10,1.088284319,0.8006104359,0.3904375
sparse,block,2,1,11,1.180419929,0.8786132677,0.422125
sparse,block,2,1,12,1.240902274,0.923323345,0.4430625
sparse,block,2,2,1,0.5555150248,0.3652135191,0.1426875
sparse,block,2,2,2,0.481867807,0.3200802248,0.1109375
sparse,block,2,2,3,0.5792012671,0.3874606631,0.1546875
sparse,block,2,2,4,0.6683508548,0.4607997177,0.1970625
sparse,block,2,2,5,0.6929579473,0.4918836932,0.210625
sparse,block,2,2,6,0.7779064423,0.5564677428,0.2526875
sparse,block,2,2,7,0.8353295869,0.6087458837,0.2791875
sparse,block,2,2,8,0.8662355979,0.6310875541,0.2961875
sparse,block,2,2,9,0.9339321713,0.6735469908,0.32275
sparse,block,2,2,10,0.9780209749,0.7081854106,0.336625
sparse,block,2,2,11,0.9959774604,0.7080698038,0.3415
sparse,block,2,2,12,1.096357075,0.7917036105,0.38725
sparse,block,2,3,1,0.5357268346,0.3527774498,0.13475
sparse,block,2,3,2,0.4339729502,0.2864510948,0.0930625
sparse,block,2,3,3,0.5854627643,0.4030307053,0.159
sparse,block,2,3,4,0.6415829623,0.4505171636,0.1865
