dgp,mode,R,T,p,H,estimator,variable,irmse_legacy_h1,irmse_h2,irmse_early,irmse_late,ibias_h2,ivar_h2
sparse,fmar,40,200,2,12,LP,1,0.09453864753,0.09650762099,0.09468195294,0.09802901103,0.01898337462,0.009030306247
sparse,fmar,40,200,2,12,LP,2,0.09325803422,0.09536554227,0.09348590293,0.09693190839,0.01153967487,0.009023650807
sparse,fmar,40,200,2,12,LP,3,0.107070653,0.1051279333,0.08628348321,0.1208316417,0.02022789942,0.01081883251
sparse,fmar,40,200,2,12,BVAR,1,0.06325296466,0.06254463901,0.08001603368,0.04798514345,0.02607835587,0.003233944862
sparse,fmar,40,200,2,12,BVAR,2,0.07070665908,0.07126751951,0.07148520531,0.07108611469,0.03792745732,0.00334280168
sparse,fmar,40,200,2,12,BVAR,3,0.1764861018,0.1797583991,0.2244927074,0.1424798089,0.1642101545,0.004765281125
sparse,fmar,40,200,2,12,BLP-FMAR,1,0.07757230344,0.07808265338,0.08614284325,0.07136582849,0.02282223409,0.005585761749
sparse,fmar,40,200,2,12,BLP-FMAR,2,0.07812345947,0.07909308339,0.08435688341,0.07470658338,0.01889997972,0.005877676604
sparse,fmar,40,200,2,12,BLP-FMAR,3,0.1010813767,0.09787926303,0.08758338315,0.1064591629,0.05015594601,0.006683599338
sparse,fmar,40,200,2,12,BLP-block,1,0.07422115923,0.07449768533,0.08395282846,0.06661839938,0.02503934999,0.004844725796
sparse,fmar,40,200,2,12,BLP-block,2,0.07669027096,0.07767984942,0.08019698881,0.07558223326,0.02022989954,0.005547221753
sparse,fmar,40,200,2,12,BLP-block,3,0.1006792754,0.09724723348,0.08200429186,0.1099496848,0.04454341217,0.007272243355
sparse,fmar,40,200,2,12,BLP-pooled,1,0.07125931089,0.07130569012,0.08377720518,0.06091276091,0.02515693599,0.004268313201
sparse,fmar,40,200,2,12,BLP-pooled,2,0.07513532049,0.07607045005,0.07814369527,0.0743427457,0.02415967996,0.005075234315
sparse,fmar,40,200,2,12,BLP-pooled,3,0.09946145376,0.09640892421,0.08307983946,0.1075164948,0.04132665787,0.007418913453
