instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1y_kilianfix,BVAR,i1y,0,0.250000,0.250000,0.250000
z_gcs_1y_kilianfix,BVAR,i1y,1,0.354131,0.316899,0.388675
z_gcs_1y_kilianfix,BVAR,i1y,2,0.409329,0.332475,0.473005
z_gcs_1y_kilianfix,BVAR,i1y,3,0.431984,0.319117,0.525710
z_gcs_1y_kilianfix,BVAR,i1y,4,0.415322,0.277945,0.536441
z_gcs_1y_kilianfix,BVAR,i1y,5,0.373553,0.208785,0.525757
z_gcs_1y_kilianfix,BVAR,i1y,6,0.319483,0.122789,0.499754
z_gcs_1y_kilianfix,BVAR,i1y,7,0.265790,0.045499,0.468629
z_gcs_1y_kilianfix,BVAR,i1y,8,0.223860,-0.010002,0.447219
z_gcs_1y_kilianfix,BVAR,i1y,9,0.196953,-0.047156,0.431757
z_gcs_1y_kilianfix,BVAR,i1y,10,0.185837,-0.068483,0.431823
z_gcs_1y_kilianfix,BVAR,i1y,11,0.182749,-0.081504,0.434649
z_gcs_1y_kilianfix,BVAR,i1y,12,0.178056,-0.083952,0.446684
z_gcs_1y_kilianfix,BVAR,i1y,13,0.169674,-0.084567,0.435149
z_gcs_1y_kilianfix,BVAR,i1y,14,0.156203,-0.098637,0.425526
z_gcs_1y_kilianfix,BVAR,i1y,15,0.137609,-0.123992,0.428467
z_gcs_1y_kilianfix,BVAR,i1y,16,0.116143,-0.147072,0.413217
z_gcs_1y_kilianfix,BVAR,i1y,17,0.094464,-0.167435,0.389890
z_gcs_1y_kilianfix,BVAR,i1y,18,0.074544,-0.183844,0.356660
z_gcs_1y_kilianfix,BVAR,i1y,19,0.057187,-0.201745,0.336035
z_gcs_1y_kilianfix,BVAR,i1y,20,0.042200,-0.220099,0.312718
z_gcs_1y_kilianfix,BVAR,i1y,21,0.029157,-0.229698,0.293095
z_gcs_1y_kilianfix,BVAR,i1y,22,0.017594,-0.230958,0.273249
z_gcs_1y_kilianfix,BVAR,i1y,23,0.007095,-0.232587,0.258091
z_gcs_1y_kilianfix,BVAR,i1y,24,-0.002635,-0.238174,0.242657
z_gcs_1y_kilianfix,BVAR,i1y,25,-0.011806,-0.246333,0.231330
z_gcs_1y_kilianfix,BVAR,i1y,26,-0.020438,-0.249484,0.218111
z_gcs_1y_kilianfix,BVAR,i1y,27,-0.028364,-0.250298,0.205100
z_gcs_1y_kilianfix,BVAR,i1y,28,-0.035362,-0.258032,0.192339
z_gcs_1y_kilianfix,BVAR,i1y,29,-0.041275,-0.267658,0.181790
z_gcs_1y_kilianfix,BVAR,i1y,30,-0.046095,-0.266627,0.172170
z_gcs_1y_kilianfix,BVAR,i1y,31,-0.049968,-0.275214,0.169963
z_gcs_1y_kilianfix,BVAR,i1y,32,-0.053108,-0.265200,0.162053
z_gcs_1y_kilianfix,BVAR,i1y,33,-0.055696,-0.265369,0.160866
z_gcs_1y_kilianfix,BVAR,i1y,34,-0.057833,-0.271794,0.160002
z_gcs_1y_kilianfix,BVAR,i1y,35,-0.059557,-0.275693,0.163778
z_gcs_1y_kilianfix,BVAR,i1y,36,-0.060875,-0.278967,0.160464
z_gcs_1y_kilianfix,BVAR,i1y,37,-0.061796,-0.281026,0.157645
z_gcs_1y_kilianfix,BVAR,i1y,38,-0.062328,-0.280149,0.156665
z_gcs_1y_kilianfix,BVAR,i1y,39,-0.062480,-0.277047,0.155762
z_gcs_1y_kilianfix,BVAR,i1y,40,-0.062256,-0.273128,0.152700
z_gcs_1y_kilianfix,BVAR,i1y,41,-0.061673,-0.262187,0.147599
z_gcs_1y_kilianfix,BVAR,i1y,42,-0.060772,-0.257702,0.135130
z_gcs_1y_kilianfix,BVAR,i1y,43,-0.059608,-0.250420,0.133490
z_gcs_1y_kilianfix,BVAR,i1y,44,-0.058240,-0.238684,0.134906
z_gcs_1y_kilianfix,BVAR,i1y,45,-0.056709,-0.236865,0.136022
z_gcs_1y_kilianfix,BVAR,i1y,46,-0.055037,-0.237809,0.140838
z_gcs_1y_kilianfix,BVAR,i1y,47,-0.053227,-0.230598,0.137987
z_gcs_1y_kilianfix,BVAR,i1y,48,-0.051283,-0.222433,0.135360
z_gcs_1y_kilianfix,BVAR,ip,0,-1.163102,-1.820505,-0.645270
z_gcs_1y_kilianfix,BVAR,ip,1,-0.186721,-0.753163,0.275990
z_gcs_1y_kilianfix,BVAR,ip,2,0.001387,-0.744393,0.586342
z_gcs_1y_kilianfix,BVAR,ip,3,0.104615,-0.804239,0.877879
z_gcs_1y_kilianfix,BVAR,ip,4,0.223867,-0.781636,1.123143
z_gcs_1y_kilianfix,BVAR,ip,5,0.080183,-1.020982,1.121728
z_gcs_1y_kilianfix,BVAR,ip,6,-0.150231,-1.368312,0.900430
z_gcs_1y_kilianfix,BVAR,ip,7,-0.390683,-1.672570,0.740888
z_gcs_1y_kilianfix,BVAR,ip,8,-0.600192,-1.950848,0.547391
z_gcs_1y_kilianfix,BVAR,ip,9,-0.734396,-2.113119,0.414438
z_gcs_1y_kilianfix,BVAR,ip,10,-0.779478,-2.102320,0.400794
z_gcs_1y_kilianfix,BVAR,ip,11,-0.763485,-2.119429,0.410378
z_gcs_1y_kilianfix,BVAR,ip,12,-0.750226,-2.068018,0.424146
z_gcs_1y_kilianfix,BVAR,ip,13,-0.745541,-2.053940,0.386973
z_gcs_1y_kilianfix,BVAR,ip,14,-0.761420,-1.995136,0.452706
z_gcs_1y_kilianfix,BVAR,ip,15,-0.807467,-2.031868,0.333576
z_gcs_1y_kilianfix,BVAR,ip,16,-0.868946,-2.088182,0.214666
z_gcs_1y_kilianfix,BVAR,ip,17,-0.932829,-2.101469,0.057982
z_gcs_1y_kilianfix,BVAR,ip,18,-0.991153,-2.093428,-0.050717
z_gcs_1y_kilianfix,BVAR,ip,19,-1.035850,-2.087514,-0.139332
z_gcs_1y_kilianfix,BVAR,ip,20,-1.064474,-2.109290,-0.223949
z_gcs_1y_kilianfix,BVAR,ip,21,-1.077234,-2.022819,-0.226394
z_gcs_1y_kilianfix,BVAR,ip,22,-1.076087,-1.927099,-0.279126
z_gcs_1y_kilianfix,BVAR,ip,23,-1.065429,-1.965998,-0.303738
z_gcs_1y_kilianfix,BVAR,ip,24,-1.049943,-1.953754,-0.367764
z_gcs_1y_kilianfix,BVAR,ip,25,-1.032607,-1.930333,-0.358107
z_gcs_1y_kilianfix,BVAR,ip,26,-1.014449,-1.932367,-0.319834
z_gcs_1y_kilianfix,BVAR,ip,27,-0.994950,-1.887831,-0.317424
z_gcs_1y_kilianfix,BVAR,ip,28,-0.972943,-1.887813,-0.284811
z_gcs_1y_kilianfix,BVAR,ip,29,-0.947705,-1.851396,-0.275214
z_gcs_1y_kilianfix,BVAR,ip,30,-0.919257,-1.877812,-0.265700
z_gcs_1y_kilianfix,BVAR,ip,31,-0.887992,-1.807660,-0.207627
z_gcs_1y_kilianfix,BVAR,ip,32,-0.854492,-1.783790,-0.158381
z_gcs_1y_kilianfix,BVAR,ip,33,-0.819331,-1.750850,-0.130703
z_gcs_1y_kilianfix,BVAR,ip,34,-0.783022,-1.718991,-0.107238
z_gcs_1y_kilianfix,BVAR,ip,35,-0.746149,-1.683648,-0.072539
z_gcs_1y_kilianfix,BVAR,ip,36,-0.709292,-1.646603,-0.026931
z_gcs_1y_kilianfix,BVAR,ip,37,-0.672831,-1.604537,0.032985
z_gcs_1y_kilianfix,BVAR,ip,38,-0.636896,-1.560412,0.131963
z_gcs_1y_kilianfix,BVAR,ip,39,-0.601438,-1.523103,0.155401
z_gcs_1y_kilianfix,BVAR,ip,40,-0.566376,-1.512385,0.160283
z_gcs_1y_kilianfix,BVAR,ip,41,-0.531760,-1.497298,0.182081
z_gcs_1y_kilianfix,BVAR,ip,42,-0.497771,-1.452381,0.241668
z_gcs_1y_kilianfix,BVAR,ip,43,-0.464630,-1.359090,0.288479
z_gcs_1y_kilianfix,BVAR,ip,44,-0.432494,-1.334882,0.292292
z_gcs_1y_kilianfix,BVAR,ip,45,-0.401427,-1.295602,0.324571
z_gcs_1y_kilianfix,BVAR,ip,46,-0.371430,-1.267769,0.364041
z_gcs_1y_kilianfix,BVAR,ip,47,-0.342497,-1.241426,0.382027
z_gcs_1y_kilianfix,BVAR,ip,48,-0.314642,-1.152340,0.461424
z_gcs_1y_kilianfix,BVAR,hicp,0,0.337567,0.157413,0.544341
z_gcs_1y_kilianfix,BVAR,hicp,1,0.286721,0.084973,0.499639
z_gcs_1y_kilianfix,BVAR,hicp,2,0.209781,-0.030195,0.457310
z_gcs_1y_kilianfix,BVAR,hicp,3,0.093435,-0.147443,0.327818
z_gcs_1y_kilianfix,BVAR,hicp,4,-0.015659,-0.252242,0.220918
z_gcs_1y_kilianfix,BVAR,hicp,5,-0.054009,-0.319793,0.190651
z_gcs_1y_kilianfix,BVAR,hicp,6,-0.031725,-0.321840,0.230420
z_gcs_1y_kilianfix,BVAR,hicp,7,-0.040219,-0.319109,0.218148
z_gcs_1y_kilianfix,BVAR,hicp,8,-0.053984,-0.333744,0.215332
z_gcs_1y_kilianfix,BVAR,hicp,9,-0.062881,-0.340578,0.201687
z_gcs_1y_kilianfix,BVAR,hicp,10,-0.056545,-0.329049,0.222541
z_gcs_1y_kilianfix,BVAR,hicp,11,-0.007999,-0.287304,0.265014
z_gcs_1y_kilianfix,BVAR,hicp,12,0.044095,-0.228215,0.323439
z_gcs_1y_kilianfix,BVAR,hicp,13,0.056527,-0.234146,0.347921
z_gcs_1y_kilianfix,BVAR,hicp,14,0.039060,-0.268999,0.340788
z_gcs_1y_kilianfix,BVAR,hicp,15,0.005702,-0.306149,0.298775
z_gcs_1y_kilianfix,BVAR,hicp,16,-0.025129,-0.340243,0.268566
z_gcs_1y_kilianfix,BVAR,hicp,17,-0.038409,-0.357120,0.260486
z_gcs_1y_kilianfix,BVAR,hicp,18,-0.040480,-0.371392,0.267116
z_gcs_1y_kilianfix,BVAR,hicp,19,-0.045453,-0.380835,0.272674
z_gcs_1y_kilianfix,BVAR,hicp,20,-0.055928,-0.389836,0.279074
z_gcs_1y_kilianfix,BVAR,hicp,21,-0.067859,-0.406676,0.274581
z_gcs_1y_kilianfix,BVAR,hicp,22,-0.074949,-0.415081,0.266725
z_gcs_1y_kilianfix,BVAR,hicp,23,-0.073350,-0.428930,0.273963
z_gcs_1y_kilianfix,BVAR,hicp,24,-0.067856,-0.429152,0.274551
z_gcs_1y_kilianfix,BVAR,hicp,25,-0.066217,-0.428309,0.291812
z_gcs_1y_kilianfix,BVAR,hicp,26,-0.070856,-0.437809,0.300342
z_gcs_1y_kilianfix,BVAR,hicp,27,-0.079296,-0.442271,0.296670
z_gcs_1y_kilianfix,BVAR,hicp,28,-0.087070,-0.444796,0.280091
z_gcs_1y_kilianfix,BVAR,hicp,29,-0.091199,-0.447328,0.277442
z_gcs_1y_kilianfix,BVAR,hicp,30,-0.092684,-0.450285,0.281701
z_gcs_1y_kilianfix,BVAR,hicp,31,-0.094450,-0.455362,0.294052
z_gcs_1y_kilianfix,BVAR,hicp,32,-0.097911,-0.459433,0.291554
z_gcs_1y_kilianfix,BVAR,hicp,33,-0.102239,-0.460273,0.287824
z_gcs_1y_kilianfix,BVAR,hicp,34,-0.105536,-0.457853,0.283282
z_gcs_1y_kilianfix,BVAR,hicp,35,-0.106632,-0.453392,0.280263
z_gcs_1y_kilianfix,BVAR,hicp,36,-0.106153,-0.447538,0.275700
z_gcs_1y_kilianfix,BVAR,hicp,37,-0.105673,-0.438456,0.273852
z_gcs_1y_kilianfix,BVAR,hicp,38,-0.106146,-0.438339,0.273025
z_gcs_1y_kilianfix,BVAR,hicp,39,-0.107329,-0.445442,0.270433
z_gcs_1y_kilianfix,BVAR,hicp,40,-0.108292,-0.444712,0.274510
z_gcs_1y_kilianfix,BVAR,hicp,41,-0.108356,-0.443787,0.284801
z_gcs_1y_kilianfix,BVAR,hicp,42,-0.107667,-0.448182,0.286342
z_gcs_1y_kilianfix,BVAR,hicp,43,-0.106883,-0.452169,0.289363
z_gcs_1y_kilianfix,BVAR,hicp,44,-0.106466,-0.452598,0.292252
z_gcs_1y_kilianfix,BVAR,hicp,45,-0.106328,-0.456369,0.293861
z_gcs_1y_kilianfix,BVAR,hicp,46,-0.106020,-0.459420,0.294584
z_gcs_1y_kilianfix,BVAR,hicp,47,-0.105196,-0.461485,0.295826
z_gcs_1y_kilianfix,BVAR,hicp,48,-0.103899,-0.464501,0.298453
z_gcs_1y_kilianfix,BVAR,stoxx,0,5.462742,3.380112,8.188938
z_gcs_1y_kilianfix,BVAR,stoxx,1,6.123231,3.574971,9.598331
z_gcs_1y_kilianfix,BVAR,stoxx,2,4.291862,0.980777,7.590393
z_gcs_1y_kilianfix,BVAR,stoxx,3,3.500317,-0.298523,7.222919
z_gcs_1y_kilianfix,BVAR,stoxx,4,2.497588,-1.867802,6.691335
z_gcs_1y_kilianfix,BVAR,stoxx,5,1.216574,-3.563928,5.786516
z_gcs_1y_kilianfix,BVAR,stoxx,6,0.259142,-4.478255,5.232208
z_gcs_1y_kilianfix,BVAR,stoxx,7,-0.415353,-5.485888,4.357533
z_gcs_1y_kilianfix,BVAR,stoxx,8,-0.630371,-6.079179,4.157106
z_gcs_1y_kilianfix,BVAR,stoxx,9,-0.762971,-6.254979,4.206803
z_gcs_1y_kilianfix,BVAR,stoxx,10,-0.905712,-6.364241,3.995348
z_gcs_1y_kilianfix,BVAR,stoxx,11,-0.948878,-6.125811,4.088666
z_gcs_1y_kilianfix,BVAR,stoxx,12,-1.004402,-5.920518,4.263116
z_gcs_1y_kilianfix,BVAR,stoxx,13,-1.104256,-6.043694,4.049429
z_gcs_1y_kilianfix,BVAR,stoxx,14,-1.352321,-6.284804,3.676804
z_gcs_1y_kilianfix,BVAR,stoxx,15,-1.697413,-6.544520,3.188327
z_gcs_1y_kilianfix,BVAR,stoxx,16,-2.029788,-6.728480,2.610637
z_gcs_1y_kilianfix,BVAR,stoxx,17,-2.306210,-6.795924,1.940078
z_gcs_1y_kilianfix,BVAR,stoxx,18,-2.500755,-6.630470,1.521569
z_gcs_1y_kilianfix,BVAR,stoxx,19,-2.624820,-6.658428,1.172315
z_gcs_1y_kilianfix,BVAR,stoxx,20,-2.703841,-6.584817,0.988715
z_gcs_1y_kilianfix,BVAR,stoxx,21,-2.744035,-6.571999,0.787962
z_gcs_1y_kilianfix,BVAR,stoxx,22,-2.752738,-6.488383,0.642804
z_gcs_1y_kilianfix,BVAR,stoxx,23,-2.741660,-6.264590,0.554816
z_gcs_1y_kilianfix,BVAR,stoxx,24,-2.724383,-6.350040,0.514917
z_gcs_1y_kilianfix,BVAR,stoxx,25,-2.716383,-6.402552,0.507608
z_gcs_1y_kilianfix,BVAR,stoxx,26,-2.723536,-6.595545,0.552766
z_gcs_1y_kilianfix,BVAR,stoxx,27,-2.737433,-6.586640,0.433591
z_gcs_1y_kilianfix,BVAR,stoxx,28,-2.743610,-6.574324,0.400820
z_gcs_1y_kilianfix,BVAR,stoxx,29,-2.732113,-6.686590,0.373485
z_gcs_1y_kilianfix,BVAR,stoxx,30,-2.702668,-6.785606,0.368241
z_gcs_1y_kilianfix,BVAR,stoxx,31,-2.662531,-6.894172,0.409070
z_gcs_1y_kilianfix,BVAR,stoxx,32,-2.619299,-7.015404,0.457378
z_gcs_1y_kilianfix,BVAR,stoxx,33,-2.575556,-6.972078,0.464997
z_gcs_1y_kilianfix,BVAR,stoxx,34,-2.529733,-6.850721,0.463252
z_gcs_1y_kilianfix,BVAR,stoxx,35,-2.479918,-6.834452,0.451448
z_gcs_1y_kilianfix,BVAR,stoxx,36,-2.426375,-6.912322,0.511089
z_gcs_1y_kilianfix,BVAR,stoxx,37,-2.371273,-6.658152,0.521728
z_gcs_1y_kilianfix,BVAR,stoxx,38,-2.316316,-6.800325,0.571052
z_gcs_1y_kilianfix,BVAR,stoxx,39,-2.260985,-6.718299,0.620132
z_gcs_1y_kilianfix,BVAR,stoxx,40,-2.203234,-6.657137,0.619954
z_gcs_1y_kilianfix,BVAR,stoxx,41,-2.141445,-6.596207,0.569410
z_gcs_1y_kilianfix,BVAR,stoxx,42,-2.075725,-6.597356,0.590293
z_gcs_1y_kilianfix,BVAR,stoxx,43,-2.007639,-6.569027,0.542435
z_gcs_1y_kilianfix,BVAR,stoxx,44,-1.938801,-6.455816,0.496112
z_gcs_1y_kilianfix,BVAR,stoxx,45,-1.869719,-6.451296,0.478219
z_gcs_1y_kilianfix,BVAR,stoxx,46,-1.799856,-6.381523,0.562129
z_gcs_1y_kilianfix,BVAR,stoxx,47,-1.728527,-6.274189,0.635522
z_gcs_1y_kilianfix,BVAR,stoxx,48,-1.655686,-6.152740,0.627085
z_gcs_1y_kilianfix,BLP-FMAR,i1y,0,0.250000,0.250000,0.250000
z_gcs_1y_kilianfix,BLP-FMAR,i1y,1,0.354728,0.299868,0.409588
z_gcs_1y_kilianfix,BLP-FMAR,i1y,2,0.411699,0.303765,0.519634
z_gcs_1y_kilianfix,BLP-FMAR,i1y,3,0.438197,0.308125,0.568269
z_gcs_1y_kilianfix,BLP-FMAR,i1y,4,0.423507,0.271285,0.575729
z_gcs_1y_kilianfix,BLP-FMAR,i1y,5,0.382082,0.183887,0.580278
z_gcs_1y_kilianfix,BLP-FMAR,i1y,6,0.326307,0.100993,0.551620
z_gcs_1y_kilianfix,BLP-FMAR,i1y,7,0.272015,-0.016500,0.560530
z_gcs_1y_kilianfix,BLP-FMAR,i1y,8,0.230747,-0.165711,0.627205
z_gcs_1y_kilianfix,BLP-FMAR,i1y,9,0.204494,-0.229164,0.638151
z_gcs_1y_kilianfix,BLP-FMAR,i1y,10,0.197840,-0.173452,0.569132
z_gcs_1y_kilianfix,BLP-FMAR,i1y,11,0.197867,-0.134512,0.530245
z_gcs_1y_kilianfix,BLP-FMAR,i1y,12,0.197400,-0.097996,0.492796
z_gcs_1y_kilianfix,BLP-FMAR,i1y,13,0.188849,-0.105857,0.483555
z_gcs_1y_kilianfix,BLP-FMAR,i1y,14,0.179160,-0.141364,0.499684
z_gcs_1y_kilianfix,BLP-FMAR,i1y,15,0.165212,-0.152841,0.483264
z_gcs_1y_kilianfix,BLP-FMAR,i1y,16,0.151657,-0.176547,0.479860
z_gcs_1y_kilianfix,BLP-FMAR,i1y,17,0.137274,-0.227858,0.502406
z_gcs_1y_kilianfix,BLP-FMAR,i1y,18,0.124741,-0.279233,0.528716
z_gcs_1y_kilianfix,BLP-FMAR,i1y,19,0.114604,-0.271547,0.500756
z_gcs_1y_kilianfix,BLP-FMAR,i1y,20,0.108499,-0.297348,0.514346
z_gcs_1y_kilianfix,BLP-FMAR,i1y,21,0.097587,-0.327569,0.522744
z_gcs_1y_kilianfix,BLP-FMAR,i1y,22,0.094425,-0.343949,0.532799
z_gcs_1y_kilianfix,BLP-FMAR,i1y,23,0.093638,-0.345739,0.533015
z_gcs_1y_kilianfix,BLP-FMAR,i1y,24,0.089205,-0.368187,0.546597
z_gcs_1y_kilianfix,BLP-FMAR,i1y,25,0.079913,-0.395388,0.555213
z_gcs_1y_kilianfix,BLP-FMAR,i1y,26,0.079206,-0.435781,0.594192
z_gcs_1y_kilianfix,BLP-FMAR,i1y,27,0.072127,-0.418245,0.562499
z_gcs_1y_kilianfix,BLP-FMAR,i1y,28,0.061767,-0.383863,0.507398
z_gcs_1y_kilianfix,BLP-FMAR,i1y,29,0.050143,-0.324504,0.424789
z_gcs_1y_kilianfix,BLP-FMAR,i1y,30,0.040506,-0.273049,0.354061
z_gcs_1y_kilianfix,BLP-FMAR,i1y,31,0.029679,-0.270722,0.330081
z_gcs_1y_kilianfix,BLP-FMAR,i1y,32,0.015277,-0.257730,0.288284
z_gcs_1y_kilianfix,BLP-FMAR,i1y,33,-0.002556,-0.207823,0.202711
z_gcs_1y_kilianfix,BLP-FMAR,i1y,34,-0.015054,-0.192117,0.162009
z_gcs_1y_kilianfix,BLP-FMAR,i1y,35,-0.043724,-0.214404,0.126956
z_gcs_1y_kilianfix,BLP-FMAR,i1y,36,-0.066456,-0.249806,0.116894
z_gcs_1y_kilianfix,BLP-FMAR,i1y,37,-0.081324,-0.294980,0.132331
z_gcs_1y_kilianfix,BLP-FMAR,i1y,38,-0.110412,-0.382389,0.161565
z_gcs_1y_kilianfix,BLP-FMAR,i1y,39,-0.131001,-0.418280,0.156278
z_gcs_1y_kilianfix,BLP-FMAR,i1y,40,-0.148583,-0.459246,0.162080
z_gcs_1y_kilianfix,BLP-FMAR,i1y,41,-0.165743,-0.508036,0.176551
z_gcs_1y_kilianfix,BLP-FMAR,i1y,42,-0.170656,-0.507711,0.166400
z_gcs_1y_kilianfix,BLP-FMAR,i1y,43,-0.172451,-0.476785,0.131883
z_gcs_1y_kilianfix,BLP-FMAR,i1y,44,-0.177969,-0.459060,0.103122
z_gcs_1y_kilianfix,BLP-FMAR,i1y,45,-0.189375,-0.459493,0.080743
z_gcs_1y_kilianfix,BLP-FMAR,i1y,46,-0.187724,-0.446496,0.071048
z_gcs_1y_kilianfix,BLP-FMAR,i1y,47,-0.200468,-0.490358,0.089421
z_gcs_1y_kilianfix,BLP-FMAR,i1y,48,-0.204790,-0.549647,0.140068
z_gcs_1y_kilianfix,BLP-FMAR,ip,0,-1.163102,-1.820505,-0.645270
z_gcs_1y_kilianfix,BLP-FMAR,ip,1,-0.187594,-0.602132,0.226943
z_gcs_1y_kilianfix,BLP-FMAR,ip,2,0.005663,-0.560520,0.571846
z_gcs_1y_kilianfix,BLP-FMAR,ip,3,0.118572,-0.665909,0.903053
z_gcs_1y_kilianfix,BLP-FMAR,ip,4,0.252756,-0.427616,0.933127
z_gcs_1y_kilianfix,BLP-FMAR,ip,5,0.109728,-0.699442,0.918898
z_gcs_1y_kilianfix,BLP-FMAR,ip,6,-0.141401,-1.036328,0.753526
z_gcs_1y_kilianfix,BLP-FMAR,ip,7,-0.383181,-1.668571,0.902209
z_gcs_1y_kilianfix,BLP-FMAR,ip,8,-0.582798,-2.142585,0.976989
z_gcs_1y_kilianfix,BLP-FMAR,ip,9,-0.705965,-2.285565,0.873635
z_gcs_1y_kilianfix,BLP-FMAR,ip,10,-0.718244,-2.310396,0.873908
z_gcs_1y_kilianfix,BLP-FMAR,ip,11,-0.660159,-2.065792,0.745473
z_gcs_1y_kilianfix,BLP-FMAR,ip,12,-0.645979,-2.063556,0.771598
z_gcs_1y_kilianfix,BLP-FMAR,ip,13,-0.635679,-1.961323,0.689966
z_gcs_1y_kilianfix,BLP-FMAR,ip,14,-0.599403,-2.164549,0.965743
z_gcs_1y_kilianfix,BLP-FMAR,ip,15,-0.646025,-2.567647,1.275597
z_gcs_1y_kilianfix,BLP-FMAR,ip,16,-0.677435,-2.367344,1.012474
z_gcs_1y_kilianfix,BLP-FMAR,ip,17,-0.716846,-2.586334,1.152642
z_gcs_1y_kilianfix,BLP-FMAR,ip,18,-0.784391,-2.851457,1.282675
z_gcs_1y_kilianfix,BLP-FMAR,ip,19,-0.803184,-2.759120,1.152752
z_gcs_1y_kilianfix,BLP-FMAR,ip,20,-0.804352,-2.613558,1.004853
z_gcs_1y_kilianfix,BLP-FMAR,ip,21,-0.805405,-2.737986,1.127176
z_gcs_1y_kilianfix,BLP-FMAR,ip,22,-0.757735,-2.630542,1.115073
z_gcs_1y_kilianfix,BLP-FMAR,ip,23,-0.737738,-2.490147,1.014671
z_gcs_1y_kilianfix,BLP-FMAR,ip,24,-0.659941,-2.410008,1.090127
z_gcs_1y_kilianfix,BLP-FMAR,ip,25,-0.668283,-2.613379,1.276813
z_gcs_1y_kilianfix,BLP-FMAR,ip,26,-0.711574,-2.477409,1.054262
z_gcs_1y_kilianfix,BLP-FMAR,ip,27,-0.736111,-2.230517,0.758296
z_gcs_1y_kilianfix,BLP-FMAR,ip,28,-0.778677,-1.874578,0.317223
z_gcs_1y_kilianfix,BLP-FMAR,ip,29,-0.768130,-1.793772,0.257512
z_gcs_1y_kilianfix,BLP-FMAR,ip,30,-0.841085,-1.729986,0.047817
z_gcs_1y_kilianfix,BLP-FMAR,ip,31,-0.950728,-1.762760,-0.138696
z_gcs_1y_kilianfix,BLP-FMAR,ip,32,-1.038834,-1.867794,-0.209874
z_gcs_1y_kilianfix,BLP-FMAR,ip,33,-1.148685,-2.297051,-0.000318
z_gcs_1y_kilianfix,BLP-FMAR,ip,34,-1.221868,-2.803234,0.359499
z_gcs_1y_kilianfix,BLP-FMAR,ip,35,-1.221517,-2.885100,0.442066
z_gcs_1y_kilianfix,BLP-FMAR,ip,36,-1.223701,-3.222996,0.775594
