instrument,F_eff,variable,h,theta,se,lo,hi,ar_lo,ar_hi,ar_unbounded,theta_la,lo_la,hi_la
z_gcs_1y_kilianfix,10.894,i1y,0,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0,1.000000,1.000000,1.000000
z_gcs_1y_kilianfix,10.894,i1y,1,0.987352,0.388705,0.347989,1.626716,-0.042717,1.512104,0,0.964313,0.183625,1.745001
z_gcs_1y_kilianfix,10.894,i1y,2,0.543186,0.706228,-0.618456,1.704827,-1.434253,1.496593,0,0.436345,-1.170213,2.042902
z_gcs_1y_kilianfix,10.894,i1y,3,0.720240,0.870050,-0.710864,2.151345,-1.541889,1.981813,0,0.692220,-1.455314,2.839755
z_gcs_1y_kilianfix,10.894,i1y,4,0.889656,1.068369,-0.867655,2.646968,-1.621012,2.599048,0,0.775123,-1.894172,3.444419
z_gcs_1y_kilianfix,10.894,i1y,5,0.544686,1.273852,-1.550614,2.639985,-2.385173,2.646541,0,0.238691,-2.803380,3.280762
z_gcs_1y_kilianfix,10.894,i1y,6,-0.073452,1.434697,-2.433318,2.286414,-3.444989,2.222062,0,-0.550687,-4.052909,2.951534
z_gcs_1y_kilianfix,10.894,i1y,7,-0.967768,1.759153,-3.861317,1.925780,-5.101777,1.846876,0,-1.775810,-5.769292,2.217671
z_gcs_1y_kilianfix,10.894,i1y,8,-1.040439,2.157096,-4.588546,2.507667,-6.001759,2.518768,0,-1.948735,-6.046281,2.148812
z_gcs_1y_kilianfix,10.894,i1y,9,-0.805315,2.227053,-4.468491,2.857861,-5.704831,2.869322,0,-1.593258,-5.474068,2.287552
z_gcs_1y_kilianfix,10.894,i1y,10,-0.755407,2.219126,-4.405544,2.894730,-5.637484,2.906150,0,-1.473202,-5.326245,2.379841
z_gcs_1y_kilianfix,10.894,i1y,11,-0.760744,2.167792,-4.326445,2.804957,-5.638276,2.707723,0,-1.408452,-5.264038,2.447134
z_gcs_1y_kilianfix,10.894,i1y,12,-0.852437,2.016630,-4.169498,2.464624,-5.389854,2.374171,0,-1.478587,-5.355979,2.398805
z_gcs_1y_kilianfix,10.894,i1y,13,-0.868219,2.000802,-4.159246,2.422807,-5.470064,2.233023,0,-1.404642,-5.432745,2.623460
