instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_gc_1m_adj_sum,-0.001519,-0.471,-0.462,0.214,0.0024,228,182,3.052,-0.007248,-1.618,2.617,-1.978,0.015,-1.669,-0.050,2.143,0.0728,-0.184,0.026,0.316,2.737,13.978,13.273,2008-11,-0.698,WEAK
z_gc_1m_adj_kilian,-0.000052,-0.013,-0.013,0.000,0.0000,228,213,2.461,-0.006126,-0.954,0.910,-2.136,-0.472,-1.382,-0.571,2.925,0.0197,0.080,1.482,0.052,1.531,21.278,32.315,2008-11,-0.750,WEAK
z_gc_1m_adj_kilianfix,0.000051,0.013,0.012,0.000,0.0000,228,214,2.353,-0.006257,-0.919,0.844,-2.100,-0.584,-1.354,-0.688,3.088,0.0149,0.127,1.604,0.042,1.353,25.049,33.541,2008-11,-0.735,WEAK
z_gc_1m_raw_sum,-0.001519,-0.471,-0.462,0.214,0.0024,228,182,3.052,-0.007248,-1.618,2.617,-1.978,0.015,-1.669,-0.050,2.143,0.0728,-0.184,0.026,0.316,2.737,13.978,13.273,2008-11,-0.698,WEAK
z_gc_1m_raw_kilian,-0.000052,-0.013,-0.013,0.000,0.0000,228,213,2.461,-0.006126,-0.954,0.910,-2.136,-0.472,-1.382,-0.571,2.925,0.0197,0.080,1.482,0.052,1.531,21.278,32.315,2008-11,-0.750,WEAK
z_gc_1m_raw_kilianfix,0.000051,0.013,0.012,0.000,0.0000,228,214,2.353,-0.006257,-0.919,0.844,-2.100,-0.584,-1.354,-0.688,3.088,0.0149,0.127,1.604,0.042,1.353,25.049,33.541,2008-11,-0.735,WEAK
z_gc_3m_sum,0.000012,0.003,0.003,0.000,0.0000,228,194,3.300,-0.002177,-0.404,0.163,-1.912,0.706,-0.225,0.609,1.153,0.3293,-0.242,4.042,0.134,0.400,18.793,12.686,2008-11,-0.984,WEAK
z_gc_3m_kilian,0.002002,0.387,0.362,0.131,0.0031,228,223,2.672,0.002324,0.293,0.086,-1.477,0.067,0.051,0.082,1.331,0.2557,0.018,13.017,0.325,0.054,15.537,20.687,2008-11,-0.938,WEAK
z_gc_3m_kilianfix,0.002358,0.452,0.417,0.174,0.0039,228,222,2.543,0.002868,0.348,0.121,-1.372,-0.058,0.096,-0.005,1.375,0.2397,0.057,13.387,0.296,0.027,13.807,22.132,2008-11,-0.899,WEAK
z_gc_1y_sum,0.002213,0.794,0.736,0.541,0.0099,228,204,4.289,0.000296,0.065,0.004,-1.702,-0.412,0.281,-0.670,0.648,0.6286,-0.180,12.187,0.352,0.056,11.160,6.494,2008-11,-0.813,WEAK
z_gc_1y_kilian,0.002844,0.824,0.750,0.563,0.0115,228,227,3.601,0.000831,0.138,0.019,-1.236,-0.918,0.385,-1.212,0.746,0.5607,-0.017,17.814,0.375,0.099,9.084,8.661,2008-11,-0.796,WEAK
z_gc_1y_kilianfix,0.002860,0.799,0.722,0.521,0.0106,228,227,3.430,0.000794,0.123,0.015,-1.121,-1.025,0.361,-1.303,0.764,0.5486,0.033,16.619,0.326,0.100,7.393,9.030,2008-11,-0.766,WEAK
z_sp_1m_adj_sum,0.002106,0.692,0.683,0.467,0.0044,228,188,2.998,-0.002858,-0.546,0.298,1.550,-0.735,-1.919,1.450,0.524,0.7183,-0.047,0.110,1.271,0.651,0.054,0.444,2001-07,-0.565,WEAK
z_sp_1m_adj_kilian,0.004314,0.931,0.899,0.809,0.0122,228,222,2.441,-0.000327,-0.042,0.002,2.104,-0.084,-2.077,0.794,0.219,0.9278,0.163,0.028,1.561,0.927,0.035,0.419,2001-07,-0.888,WEAK
z_sp_1m_adj_kilianfix,0.004549,0.978,0.946,0.894,0.0131,228,221,2.404,0.000145,0.018,0.000,2.045,0.069,-1.943,0.704,0.197,0.9399,0.195,0.010,1.627,1.023,0.041,0.413,2001-07,-0.848,WEAK
z_sp_1m_raw_sum,0.001668,0.450,0.435,0.189,0.0012,228,205,2.022,-0.005223,-0.758,0.575,1.928,-1.260,-1.883,2.021,0.912,0.4557,-0.039,0.096,1.584,0.031,1.167,0.035,2001-07,-1.198,WEAK
z_sp_1m_raw_kilian,0.005732,0.826,0.814,0.663,0.0114,228,224,1.774,-0.000659,-0.065,0.004,2.569,-0.338,-1.966,1.992,0.756,0.5536,0.121,0.014,2.552,0.462,3.974,0.034,2001-07,-1.779,WEAK
