instrument,block,name,value
z_gcs_1y_kilianfix,fs,b,0.00430115
z_gcs_1y_kilianfix,fs,se_ehw,0.001747
z_gcs_1y_kilianfix,fs,t_ehw,2.46202
z_gcs_1y_kilianfix,fs,se_hac,0.00184377
z_gcs_1y_kilianfix,fs,t_hac,2.33279
z_gcs_1y_kilianfix,fs,F_eff,5.44193
z_gcs_1y_kilianfix,fs,R2,0.0361228
z_gcs_1y_kilianfix,fs,N,228
z_gcs_1y_kilianfix,fs,n_nonzero,228
z_gcs_1y_kilianfix,fs,sd_z,4.21714
z_gcs_1y_kilianfix,fs,sd_us,0.095436
z_gcs_1y_kilianfix,fs,corr,0.19006
z_gcs_1y_kilianfix,naive,b,0.00549101
z_gcs_1y_kilianfix,naive,se_ehw,0.0027336
z_gcs_1y_kilianfix,naive,t_ehw,2.00871
z_gcs_1y_kilianfix,naive,se_hac,0.00284674
z_gcs_1y_kilianfix,naive,t_hac,1.92888
z_gcs_1y_kilianfix,naive,F_eff,3.72058
z_gcs_1y_kilianfix,naive,R2,0.0253897
z_gcs_1y_kilianfix,naive,N,239
z_gcs_1y_kilianfix,naive,n_nonzero,239
z_gcs_1y_kilianfix,naive,sd_z,4.3787
z_gcs_1y_kilianfix,naive,sd_us,0.150893
z_gcs_1y_kilianfix,naive,corr,0.159342
z_gcs_1y_kilianfix,placebo,t_hac_lead-3,1.48386
z_gcs_1y_kilianfix,placebo,b_lead-3,0.00326237
z_gcs_1y_kilianfix,placebo,t_hac_lead-2,-0.522158
z_gcs_1y_kilianfix,placebo,b_lead-2,-0.00119944
z_gcs_1y_kilianfix,placebo,t_hac_lead-1,-0.98226
z_gcs_1y_kilianfix,placebo,b_lead-1,-0.00188456
z_gcs_1y_kilianfix,placebo,t_hac_lead+0,2.33279
z_gcs_1y_kilianfix,placebo,b_lead+0,0.00430115
z_gcs_1y_kilianfix,placebo,t_hac_lead+1,-0.552591
z_gcs_1y_kilianfix,placebo,b_lead+1,-0.00118752
z_gcs_1y_kilianfix,placebo,t_hac_lead+2,-1.25936
z_gcs_1y_kilianfix,placebo,b_lead+2,-0.00239383
z_gcs_1y_kilianfix,placebo,t_hac_lead+3,-0.236603
z_gcs_1y_kilianfix,placebo,b_lead+3,-0.000545261
z_gcs_1y_kilianfix,predict,F_hac,1.0001
z_gcs_1y_kilianfix,predict,p_value,0.405954
z_gcs_1y_kilianfix,predict,R2,0.0300092
z_gcs_1y_kilianfix,predict,N,226
z_gcs_1y_kilianfix,predict,ar1_all,0.166063
z_gcs_1y_kilianfix,predict,ar1_events,0.166063
z_gcs_1y_kilianfix,influence,F_eff_excl_crisis,16.0152
z_gcs_1y_kilianfix,influence,b_excl_crisis,0.00639049
z_gcs_1y_kilianfix,influence,F_eff_winsorised,5.68137
z_gcs_1y_kilianfix,influence,top1_ym,24102
z_gcs_1y_kilianfix,influence,top1_dfbeta,0.603131
z_gcs_1y_kilianfix,influence,top1_F_without,3.73289
z_gcs_1y_kilianfix,influence,top2_ym,24107
z_gcs_1y_kilianfix,influence,top2_dfbeta,-0.384756
z_gcs_1y_kilianfix,influence,top2_F_without,8.99227
z_gcs_1y_kilianfix,influence,top3_ym,24137
z_gcs_1y_kilianfix,influence,top3_dfbeta,-0.300473
z_gcs_1y_kilianfix,influence,top3_F_without,5.99183
z_gcs_1y_kilianfix,influence,top4_ym,24142
z_gcs_1y_kilianfix,influence,top4_dfbeta,0.232412
z_gcs_1y_kilianfix,influence,top4_F_without,4.27385
z_gcs_1y_kilianfix,influence,top5_ym,24105
z_gcs_1y_kilianfix,influence,top5_dfbeta,-0.221073
z_gcs_1y_kilianfix,influence,top5_F_without,6.76808
z_gcs_1y_kilianfix,subsample,F_eff_200101_200812,3.12073
z_gcs_1y_kilianfix,subsample,b_200101_200812,0.0051337
z_gcs_1y_kilianfix,subsample,F_eff_200901_201112,3.91563
z_gcs_1y_kilianfix,subsample,b_200901_201112,0.0033128
z_gcs_1y_kilianfix,subsample,F_eff_201201_201912,10.295
z_gcs_1y_kilianfix,subsample,b_201201_201912,0.00787972
