instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1y_kilianfix,BVAR,i1y,0,0.250000,0.250000,0.250000
z_gcs_1y_kilianfix,BVAR,i1y,1,0.338346,0.309029,0.369139
z_gcs_1y_kilianfix,BVAR,i1y,2,0.400172,0.343018,0.453178
z_gcs_1y_kilianfix,BVAR,i1y,3,0.439915,0.354581,0.520182
z_gcs_1y_kilianfix,BVAR,i1y,4,0.455102,0.342050,0.559323
z_gcs_1y_kilianfix,BVAR,i1y,5,0.453699,0.326029,0.584892
z_gcs_1y_kilianfix,BVAR,i1y,6,0.442768,0.294912,0.601551
z_gcs_1y_kilianfix,BVAR,i1y,7,0.429319,0.267378,0.602476
z_gcs_1y_kilianfix,BVAR,i1y,8,0.420302,0.240978,0.605425
z_gcs_1y_kilianfix,BVAR,i1y,9,0.418222,0.227676,0.619080
z_gcs_1y_kilianfix,BVAR,i1y,10,0.422546,0.219665,0.630796
z_gcs_1y_kilianfix,BVAR,i1y,11,0.428927,0.217292,0.658527
z_gcs_1y_kilianfix,BVAR,i1y,12,0.432455,0.219461,0.670265
z_gcs_1y_kilianfix,BVAR,i1y,13,0.432789,0.217377,0.683187
z_gcs_1y_kilianfix,BVAR,i1y,14,0.429976,0.212696,0.695193
z_gcs_1y_kilianfix,BVAR,i1y,15,0.424396,0.198638,0.690541
z_gcs_1y_kilianfix,BVAR,i1y,16,0.416962,0.189120,0.693604
z_gcs_1y_kilianfix,BVAR,i1y,17,0.408605,0.175000,0.697997
z_gcs_1y_kilianfix,BVAR,i1y,18,0.399993,0.167084,0.697799
z_gcs_1y_kilianfix,BVAR,i1y,19,0.391442,0.160096,0.690679
z_gcs_1y_kilianfix,BVAR,i1y,20,0.382944,0.153290,0.686350
z_gcs_1y_kilianfix,BVAR,i1y,21,0.374363,0.147900,0.680366
z_gcs_1y_kilianfix,BVAR,i1y,22,0.365574,0.142517,0.676869
z_gcs_1y_kilianfix,BVAR,i1y,23,0.356548,0.134128,0.673386
z_gcs_1y_kilianfix,BVAR,i1y,24,0.347345,0.126639,0.659826
z_gcs_1y_kilianfix,BVAR,i1y,25,0.338070,0.122866,0.653967
z_gcs_1y_kilianfix,BVAR,i1y,26,0.328856,0.109198,0.657090
z_gcs_1y_kilianfix,BVAR,i1y,27,0.319828,0.101757,0.652543
z_gcs_1y_kilianfix,BVAR,i1y,28,0.311088,0.097517,0.648901
z_gcs_1y_kilianfix,BVAR,i1y,29,0.302701,0.092739,0.630840
z_gcs_1y_kilianfix,BVAR,i1y,30,0.294706,0.085342,0.620930
z_gcs_1y_kilianfix,BVAR,i1y,31,0.287116,0.081502,0.615878
z_gcs_1y_kilianfix,BVAR,i1y,32,0.279935,0.078497,0.612773
z_gcs_1y_kilianfix,BVAR,i1y,33,0.273161,0.076475,0.611539
z_gcs_1y_kilianfix,BVAR,i1y,34,0.266787,0.072030,0.608072
z_gcs_1y_kilianfix,BVAR,i1y,35,0.260805,0.060367,0.600855
z_gcs_1y_kilianfix,BVAR,i1y,36,0.255203,0.049075,0.593642
z_gcs_1y_kilianfix,BVAR,i1y,37,0.249966,0.043244,0.592593
z_gcs_1y_kilianfix,BVAR,i1y,38,0.245073,0.037819,0.582638
z_gcs_1y_kilianfix,BVAR,i1y,39,0.240500,0.036215,0.572394
z_gcs_1y_kilianfix,BVAR,i1y,40,0.236220,0.038138,0.569138
z_gcs_1y_kilianfix,BVAR,i1y,41,0.232205,0.039825,0.565967
z_gcs_1y_kilianfix,BVAR,i1y,42,0.228425,0.039741,0.562811
z_gcs_1y_kilianfix,BVAR,i1y,43,0.224852,0.031909,0.558696
z_gcs_1y_kilianfix,BVAR,i1y,44,0.221460,0.022303,0.554583
z_gcs_1y_kilianfix,BVAR,i1y,45,0.218224,0.020373,0.553011
z_gcs_1y_kilianfix,BVAR,i1y,46,0.215121,0.022872,0.549530
z_gcs_1y_kilianfix,BVAR,i1y,47,0.212131,0.026358,0.546648
z_gcs_1y_kilianfix,BVAR,i1y,48,0.209236,0.021623,0.542933
z_gcs_1y_kilianfix,BVAR,ip,0,-0.616554,-1.016038,-0.269460
z_gcs_1y_kilianfix,BVAR,ip,1,0.094062,-0.311492,0.456865
z_gcs_1y_kilianfix,BVAR,ip,2,0.392881,-0.101142,0.834864
z_gcs_1y_kilianfix,BVAR,ip,3,0.610862,-0.005330,1.165140
z_gcs_1y_kilianfix,BVAR,ip,4,0.777966,0.057998,1.440432
