instrument,F_eff,variable,h,theta,se,lo,hi,ar_lo,ar_hi,ar_unbounded,theta_la,lo_la,hi_la
z_gcs_1y_kilianfix,14.287,i1y,0,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0,1.000000,1.000000,1.000000
z_gcs_1y_kilianfix,14.287,i1y,1,0.951560,0.351729,0.373017,1.530104,0.072237,1.426395,0,0.951264,0.295477,1.607050
z_gcs_1y_kilianfix,14.287,i1y,2,0.435437,0.656542,-0.644479,1.515352,-1.304400,1.288942,0,0.385514,-0.963994,1.735022
z_gcs_1y_kilianfix,14.287,i1y,3,0.491586,0.755307,-0.750784,1.733956,-1.434448,1.511250,0,0.480283,-1.258837,2.219403
z_gcs_1y_kilianfix,14.287,i1y,4,0.719253,0.891670,-0.747414,2.185920,-1.420756,2.012175,0,0.605685,-1.446306,2.657675
z_gcs_1y_kilianfix,14.287,i1y,5,0.515149,1.147705,-1.372657,2.402956,-2.124572,2.294092,0,0.110594,-2.283941,2.505129
z_gcs_1y_kilianfix,14.287,i1y,6,0.156618,1.297601,-1.977746,2.290982,-2.827865,2.103020,0,-0.438247,-3.240147,2.363653
z_gcs_1y_kilianfix,14.287,i1y,7,-0.389848,1.529403,-2.905492,2.125795,-3.907475,1.904256,0,-1.265226,-4.467342,1.936890
z_gcs_1y_kilianfix,14.287,i1y,8,-0.213037,1.798157,-3.170742,2.744669,-4.168982,2.574107,0,-1.244283,-4.576529,2.087964
z_gcs_1y_kilianfix,14.287,i1y,9,0.067532,1.849914,-2.975306,3.110370,-3.909784,3.027394,0,-1.019066,-4.281442,2.243309
z_gcs_1y_kilianfix,14.287,i1y,10,0.176279,1.884352,-2.923204,3.275762,-3.969295,3.097024,0,-0.928297,-4.319818,2.463224
z_gcs_1y_kilianfix,14.287,i1y,11,0.177936,1.940360,-3.013672,3.369544,-4.187873,3.088476,0,-0.907623,-4.559115,2.743869
z_gcs_1y_kilianfix,14.287,i1y,12,0.086981,1.887696,-3.018003,3.191964,-4.065950,2.918525,0,-0.919369,-4.753692,2.914954
z_gcs_1y_kilianfix,14.287,i1y,13,-0.096194,1.928983,-3.269088,3.076701,-4.436405,2.797281,0,-1.121703,-5.163080,2.919674
z_gcs_1y_kilianfix,14.287,i1y,14,-0.199282,2.050815,-3.572573,3.174008,-4.813616,2.876940,0,-0.930531,-5.123581,3.262520
z_gcs_1y_kilianfix,14.287,i1y,15,0.007643,2.133458,-3.501583,3.516870,-4.685964,3.207830,0,-0.691245,-5.132432,3.749941
z_gcs_1y_kilianfix,14.287,i1y,16,0.392323,2.046053,-2.973135,3.757781,-3.802086,3.666008,0,-0.088148,-4.695094,4.518797
z_gcs_1y_kilianfix,14.287,i1y,17,0.411902,2.025401,-2.919586,3.743391,-3.638900,3.652544,0,-0.087793,-4.846043,4.670456
z_gcs_1y_kilianfix,14.287,i1y,18,0.840005,1.930192,-2.334878,4.014889,-2.827360,4.121332,0,0.328806,-4.575933,5.233544
z_gcs_1y_kilianfix,14.287,i1y,19,0.738249,1.940887,-2.454226,3.930725,-2.949436,4.037758,0,0.186340,-4.735929,5.108608
z_gcs_1y_kilianfix,14.287,i1y,20,0.702980,1.977323,-2.549427,3.955387,-3.152800,3.965563,0,0.079418,-4.836093,4.994930
z_gcs_1y_kilianfix,14.287,i1y,21,1.274123,2.022020,-2.051805,4.600050,-2.567716,4.711557,0,0.773195,-4.177394,5.723784
z_gcs_1y_kilianfix,14.287,i1y,22,1.626349,2.059501,-1.761229,5.013926,-2.080753,5.230475,0,1.123606,-3.983300,6.230511
z_gcs_1y_kilianfix,14.287,i1y,23,2.118837,1.995495,-1.163460,5.401134,-1.273504,5.810502,0,1.725461,-3.490398,6.941319
z_gcs_1y_kilianfix,14.287,i1y,24,2.956954,1.932790,-0.222202,6.136110,-0.232149,6.629255,0,2.637014,-3.001642,8.275671
z_gcs_1y_kilianfix,14.287,i1y,25,3.233920,1.749918,0.355561,6.112279,0.346555,6.558764,0,2.789313,-3.028747,8.607374
z_gcs_1y_kilianfix,14.287,i1y,26,2.938934,1.593329,0.318141,5.559727,0.389607,6.045925,0,2.362935,-3.645355,8.371226
z_gcs_1y_kilianfix,14.287,i1y,27,2.970924,1.496460,0.509466,5.432381,0.651411,5.963844,0,2.415952,-3.701253,8.533156
z_gcs_1y_kilianfix,14.287,i1y,28,3.096573,1.418221,0.763808,5.429338,0.898331,5.862103,0,2.539305,-3.482378,8.560988
z_gcs_1y_kilianfix,14.287,i1y,29,3.079250,1.492103,0.624958,5.533541,0.766490,5.988851,0,2.338305,-4.026730,8.703341
z_gcs_1y_kilianfix,14.287,i1y,30,2.823479,1.555404,0.265067,5.381891,0.412603,5.934287,0,2.028194,-4.373415,8.429804
z_gcs_1y_kilianfix,14.287,i1y,31,2.690250,1.522730,0.185582,5.194919,0.330019,5.659574,0,1.955091,-4.310376,8.220558
z_gcs_1y_kilianfix,14.287,i1y,32,2.607153,1.592826,-0.012814,5.227119,0.138272,5.713164,0,1.877069,-4.355667,8.109805
z_gcs_1y_kilianfix,14.287,i1y,33,2.770178,1.684265,-0.000191,5.540547,0.159568,6.138707,0,2.075319,-4.220387,8.371024
z_gcs_1y_kilianfix,14.287,i1y,34,3.022023,1.723132,0.187723,5.856323,0.437325,6.554444,0,2.463032,-3.765043,8.691107
z_gcs_1y_kilianfix,14.287,i1y,35,3.142803,1.854527,0.092377,6.193228,0.453739,6.944583,0,2.419162,-3.820944,8.659268
z_gcs_1y_kilianfix,14.287,i1y,36,3.168278,1.962494,-0.059738,6.396293,0.224536,7.191391,0,2.298295,-3.814152,8.410743
z_gcs_1y_kilianfix,14.287,i1y,37,3.242592,2.013056,-0.068590,6.553775,0.223008,7.268705,0,2.482904,-3.645044,8.610851
z_gcs_1y_kilianfix,14.287,i1y,38,3.421945,2.020112,0.099157,6.744733,0.391777,7.462168,0,2.698631,-3.456664,8.853925
z_gcs_1y_kilianfix,14.287,i1y,39,3.136105,2.066861,-0.263579,6.535789,0.035813,7.166484,0,2.437516,-3.756012,8.631045
z_gcs_1y_kilianfix,14.287,i1y,40,2.381679,1.911097,-0.761796,5.525153,-0.676076,5.917208,0,1.483412,-4.649064,7.615888
z_gcs_1y_kilianfix,14.287,i1y,41,1.982434,1.848951,-1.058820,5.023687,-1.068335,5.310545,0,0.751256,-5.308497,6.811009
