instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_gc_1m_adj_sum,-0.000940,-0.288,-0.279,0.078,0.0009,228,182,3.052,-0.007248,-1.618,2.617,-1.957,-0.302,-1.932,0.119,2.143,0.0728,-0.184,0.137,0.151,2.367,14.668,9.806,2008-11,-0.721,WEAK
z_gc_1m_adj_kilian,0.000717,0.186,0.176,0.031,0.0003,228,213,2.461,-0.006126,-0.954,0.910,-2.011,-0.745,-1.673,-0.302,2.925,0.0197,0.080,2.511,0.000,1.444,23.540,22.503,2008-11,-0.798,WEAK
z_gc_1m_adj_kilianfix,0.000889,0.222,0.208,0.043,0.0005,228,214,2.353,-0.006257,-0.919,0.844,-1.952,-0.845,-1.671,-0.409,3.088,0.0149,0.127,2.691,0.000,1.294,28.525,25.347,2008-11,-0.785,WEAK
z_gc_1m_raw_sum,-0.000940,-0.288,-0.279,0.078,0.0009,228,182,3.052,-0.007248,-1.618,2.617,-1.957,-0.302,-1.932,0.119,2.143,0.0728,-0.184,0.137,0.151,2.367,14.668,9.806,2008-11,-0.721,WEAK
z_gc_1m_raw_kilian,0.000717,0.186,0.176,0.031,0.0003,228,213,2.461,-0.006126,-0.954,0.910,-2.011,-0.745,-1.673,-0.302,2.925,0.0197,0.080,2.511,0.000,1.444,23.540,22.503,2008-11,-0.798,WEAK
z_gc_1m_raw_kilianfix,0.000889,0.222,0.208,0.043,0.0005,228,214,2.353,-0.006257,-0.919,0.844,-1.952,-0.845,-1.671,-0.409,3.088,0.0149,0.127,2.691,0.000,1.294,28.525,25.347,2008-11,-0.785,WEAK
z_gc_3m_sum,0.000552,0.122,0.118,0.014,0.0003,228,194,3.300,-0.002177,-0.404,0.163,-1.815,0.715,-0.351,0.792,1.153,0.3293,-0.242,5.157,0.247,0.369,31.296,8.941,2008-11,-1.004,WEAK
z_gc_3m_kilian,0.002961,0.556,0.512,0.262,0.0066,228,223,2.672,0.002324,0.293,0.086,-1.346,0.084,-0.095,0.330,1.331,0.2557,0.018,17.230,0.554,0.043,30.055,14.938,2008-11,-0.961,WEAK
z_gc_3m_kilianfix,0.003433,0.639,0.579,0.335,0.0080,228,222,2.543,0.002868,0.348,0.121,-1.224,-0.032,-0.052,0.251,1.375,0.2397,0.057,17.591,0.516,0.019,28.021,16.301,2008-11,-0.921,WEAK
z_gc_1y_sum,0.002625,0.930,0.846,0.716,0.0134,228,204,4.289,0.000296,0.065,0.004,-1.669,-0.385,0.113,-0.310,0.648,0.6286,-0.180,16.536,0.496,0.053,16.276,3.912,2008-11,-0.840,WEAK
z_gc_1y_kilian,0.003621,1.028,0.917,0.841,0.0179,228,227,3.601,0.000831,0.138,0.019,-1.207,-0.852,0.216,-0.816,0.746,0.5607,-0.017,25.826,0.607,0.117,13.600,6.686,2008-11,-0.820,WEAK
z_gc_1y_kilianfix,0.003739,1.021,0.904,0.817,0.0174,228,227,3.430,0.000794,0.123,0.015,-1.078,-0.952,0.199,-0.908,0.764,0.5486,0.033,24.239,0.569,0.123,11.310,7.139,2008-11,-0.788,WEAK
z_sp_1m_adj_sum,0.002798,0.963,0.946,0.896,0.0074,228,188,2.998,-0.002858,-0.546,0.298,1.536,-0.848,-1.812,1.608,0.524,0.7183,-0.047,0.001,1.759,1.046,0.085,0.099,2001-07,-0.541,WEAK
z_sp_1m_adj_kilian,0.005520,1.190,1.134,1.286,0.0191,228,222,2.441,-0.000327,-0.042,0.002,2.189,-0.077,-2.083,1.081,0.219,0.9278,0.163,0.033,2.169,1.273,0.213,0.321,2001-07,-0.888,WEAK
z_sp_1m_adj_kilianfix,0.005777,1.241,1.181,1.394,0.0203,228,221,2.404,0.000145,0.018,0.000,2.152,0.093,-1.978,0.992,0.197,0.9399,0.195,0.057,2.251,1.384,0.252,0.341,2001-07,-0.845,WEAK
z_sp_1m_raw_sum,0.003184,0.859,0.831,0.691,0.0044,228,205,2.022,-0.005223,-0.758,0.575,2.083,-1.177,-1.797,1.988,0.912,0.4557,-0.039,0.042,2.617,0.365,1.147,0.153,2001-07,-1.253,WEAK
z_sp_1m_raw_kilian,0.007661,1.058,1.035,1.072,0.0195,228,224,1.774,-0.000659,-0.065,0.004,3.034,-0.145,-1.912,2.006,0.756,0.5536,0.121,0.334,3.574,0.798,4.257,0.004,2001-07,-1.818,WEAK
z_sp_1m_raw_kilianfix,0.008360,1.111,1.092,1.192,0.0222,228,224,1.737,0.000156,0.015,0.000,2.891,0.088,-1.932,2.015,0.735,0.5680,0.157,0.439,3.722,0.898,4.605,0.001,2001-07,-1.690,WEAK
z_sp_3m_sum,0.007546,1.022,1.156,1.337,0.0155,228,217,1.607,0.006395,0.695,0.483,0.041,0.196,0.312,0.544,0.426,0.7900,-0.071,0.815,2.264,0.689,2.588,0.107,2008-11,0.589,WEAK
z_sp_3m_kilian,0.012591,1.707,1.665,2.774,0.0255,228,228,1.236,0.013891,1.164,1.355,1.232,-0.527,0.812,-0.422,0.575,0.6807,0.211,2.256,3.000,2.052,1.679,0.209,2008-11,0.611,WEAK
z_sp_3m_kilianfix,0.012419,1.763,1.687,2.845,0.0244,228,228,1.224,0.014133,1.188,1.411,1.294,-0.531,0.830,-0.480,0.590,0.6698,0.226,2.357,3.139,2.136,1.312,0.217,2008-11,0.569,WEAK
z_sp_1y_sum,0.006512,0.992,1.050,1.103,0.0313,228,221,2.646,0.011600,1.498,2.243,0.318,-1.450,-0.513,0.201,0.643,0.6321,-0.074,0.959,1.197,0.886,0.078,4.168,2008-11,0.965,WEAK
z_sp_1y_kilian,0.011833,2.060,1.899,3.605,0.0627,228,228,2.060,0.021423,2.024,4.096,0.684,-0.712,-1.142,0.612,0.851,0.4927,0.228,6.398,3.912,2.553,0.487,4.454,2008-11,0.801,WEAK
z_sp_1y_kilianfix,0.011506,2.147,1.969,3.876,0.0586,228,228,2.049,0.021369,2.030,4.123,0.704,-0.612,-1.183,0.644,0.852,0.4919,0.243,6.673,4.040,2.644,0.495,4.329,2008-11,0.745,WEAK
z_gcs_1m_adj_sum,0.000893,0.558,0.521,0.271,0.0015,228,215,4.282,-0.004675,-1.691,2.859,0.249,-0.765,-2.852,1.246,1.371,0.2410,-0.197,0.073,0.335,1.047,2.902,1.289,2001-06,-0.430,WEAK
z_gcs_1m_adj_kilian,0.003208,2.022,1.899,3.607,0.0126,228,227,3.407,-0.003241,-0.913,0.834,0.408,-0.544,-2.446,0.560,1.708,0.1449,0.079,1.661,3.538,0.418,8.360,1.332,2011-10,0.409,WEAK
z_gcs_1m_adj_kilianfix,0.003517,2.155,2.074,4.300,0.0142,228,227,3.300,-0.002990,-0.825,0.680,0.435,-0.499,-2.341,0.438,1.757,0.1345,0.129,2.047,4.118,0.851,8.950,1.256,2011-10,0.406,WEAK
z_gcs_1m_raw_sum,0.000304,0.150,0.141,0.020,0.0001,228,214,3.748,-0.006028,-1.971,3.885,0.037,-0.848,-2.608,1.399,1.932,0.1021,-0.269,0.173,0.024,2.554,12.805,6.368,2008-11,-0.578,WEAK
z_gcs_1m_raw_kilian,0.003168,1.861,1.743,3.037,0.0095,228,227,2.997,-0.004367,-1.207,1.456,-0.006,-0.665,-2.436,1.025,2.434,0.0451,-0.005,3.320,2.877,0.267,35.191,10.103,2011-10,0.542,WEAK
z_gcs_1m_raw_kilianfix,0.003663,2.123,2.043,4.172,0.0116,228,227,2.868,-0.004135,-1.122,1.259,-0.005,-0.637,-2.440,0.947,2.519,0.0391,0.054,4.229,4.040,0.041,43.515,9.825,2011-10,0.539,WEAK
z_gcs_3m_sum,0.001886,0.604,0.551,0.303,0.0051,228,226,3.677,-0.000784,-0.172,0.030,-1.401,0.678,-0.178,1.016,0.839,0.5000,-0.186,6.000,0.266,0.101,14.928,3.627,2008-11,-0.827,WEAK
z_gcs_3m_kilian,0.004687,1.243,1.136,1.290,0.0200,228,228,2.935,0.004178,0.667,0.445,-0.640,-0.101,0.211,0.231,1.055,0.3769,0.043,18.579,1.113,0.064,15.951,5.251,2008-11,-0.843,WEAK
z_gcs_3m_kilianfix,0.005156,1.355,1.229,1.509,0.0222,228,228,2.814,0.004786,0.739,0.547,-0.522,-0.218,0.254,0.115,1.104,0.3528,0.079,19.190,1.296,0.127,13.711,5.180,2008-11,-0.802,WEAK
z_gcs_1y_sum,0.003579,2.063,1.979,3.916,0.0354,228,227,5.121,0.003235,1.107,1.226,-1.123,-1.004,-0.139,-0.211,0.974,0.4200,-0.035,8.336,3.414,1.472,6.501,6.413,2008-06,0.474,WEAK
z_gcs_1y_kilian,0.005123,3.214,2.996,8.973,0.0525,228,228,4.355,0.005311,1.921,3.689,-0.595,-1.105,-0.268,-0.473,1.005,0.4034,0.129,21.830,9.241,4.824,6.809,8.147,2008-06,0.581,WEAK
z_gcs_1y_kilianfix,0.005189,3.093,2.901,8.417,0.0505,228,228,4.217,0.005491,1.929,3.721,-0.433,-1.139,-0.322,-0.493,1.000,0.4060,0.166,21.325,8.752,4.535,5.795,8.327,2008-06,0.565,WEAK
z_gc_1m_adj_jk_sum,-0.002288,-0.505,-0.478,0.228,0.0032,228,99,2.423,-0.012646,-1.999,3.997,-1.149,-1.055,-1.672,0.071,2.128,0.0746,-0.107,0.186,0.375,1.931,13.039,0.840,2008-11,-0.828,WEAK
z_gc_1m_adj_jk_kilian,-0.000929,-0.173,-0.159,0.025,0.0004,228,150,2.041,-0.011507,-1.307,1.708,-1.436,-1.120,-1.795,-0.049,2.751,0.0265,0.077,1.922,0.104,1.074,20.371,1.050,2008-11,-0.847,WEAK
z_gc_1m_adj_jk_kilianfix,-0.000826,-0.147,-0.134,0.018,0.0003,228,152,1.954,-0.011809,-1.261,1.591,-1.418,-1.155,-1.861,-0.094,2.920,0.0199,0.117,2.027,0.087,0.948,24.919,0.888,2008-11,-0.830,WEAK
z_gc_1m_adj_info_sum,0.001583,0.412,0.412,0.170,0.0008,228,88,1.718,0.003624,0.558,0.311,-2.198,1.052,-1.260,0.178,1.434,0.2196,0.030,0.025,0.053,0.651,7.678,12.488,2001-06,-0.674,WEAK
z_gc_1m_adj_info_kilian,0.004158,1.177,1.202,1.446,0.0036,228,140,1.406,0.006852,0.904,0.817,-1.798,0.203,-0.385,-0.486,1.719,0.1425,0.300,0.901,0.855,0.349,9.497,11.899,2001-10,-0.669,WEAK
z_gc_1m_adj_info_kilianfix,0.004342,1.213,1.236,1.527,0.0037,228,141,1.364,0.007305,0.933,0.871,-1.660,0.062,-0.268,-0.540,1.778,0.1301,0.349,0.975,0.985,0.301,9.196,11.655,2001-10,-0.662,WEAK
z_gc_1y_jk_sum,0.001252,0.305,0.277,0.077,0.0020,228,111,3.515,-0.004122,-0.624,0.390,-1.363,-0.610,-0.234,-0.233,1.548,0.1852,-0.127,9.142,0.025,0.006,10.200,0.002,2008-11,-0.839,WEAK
