instrument,block,name,value
z_gcs_1y_kilianfix,fs,b,0.00518931
z_gcs_1y_kilianfix,fs,se_ehw,0.0016775
z_gcs_1y_kilianfix,fs,t_ehw,3.09349
z_gcs_1y_kilianfix,fs,se_hac,0.00178866
z_gcs_1y_kilianfix,fs,t_hac,2.90123
z_gcs_1y_kilianfix,fs,F_eff,8.41715
z_gcs_1y_kilianfix,fs,R2,0.0505181
z_gcs_1y_kilianfix,fs,N,228
z_gcs_1y_kilianfix,fs,n_nonzero,228
z_gcs_1y_kilianfix,fs,sd_z,4.21714
z_gcs_1y_kilianfix,fs,sd_us,0.0973653
z_gcs_1y_kilianfix,fs,corr,0.224762
z_gcs_1y_kilianfix,naive,b,0.00549101
z_gcs_1y_kilianfix,naive,se_ehw,0.0027336
z_gcs_1y_kilianfix,naive,t_ehw,2.00871
z_gcs_1y_kilianfix,naive,se_hac,0.00284674
z_gcs_1y_kilianfix,naive,t_hac,1.92888
z_gcs_1y_kilianfix,naive,F_eff,3.72058
z_gcs_1y_kilianfix,naive,R2,0.0253897
z_gcs_1y_kilianfix,naive,N,239
z_gcs_1y_kilianfix,naive,n_nonzero,239
z_gcs_1y_kilianfix,naive,sd_z,4.3787
z_gcs_1y_kilianfix,naive,sd_us,0.150893
z_gcs_1y_kilianfix,naive,corr,0.159342
z_gcs_1y_kilianfix,placebo,t_hac_lead-3,1.44314
z_gcs_1y_kilianfix,placebo,b_lead-3,0.00324525
z_gcs_1y_kilianfix,placebo,t_hac_lead-2,-0.489896
z_gcs_1y_kilianfix,placebo,b_lead-2,-0.00115406
z_gcs_1y_kilianfix,placebo,t_hac_lead-1,-0.492966
z_gcs_1y_kilianfix,placebo,b_lead-1,-0.000930816
z_gcs_1y_kilianfix,placebo,t_hac_lead+0,2.90123
z_gcs_1y_kilianfix,placebo,b_lead+0,0.00518931
z_gcs_1y_kilianfix,placebo,t_hac_lead+1,-0.433159
z_gcs_1y_kilianfix,placebo,b_lead+1,-0.000924202
z_gcs_1y_kilianfix,placebo,t_hac_lead+2,-1.13928
z_gcs_1y_kilianfix,placebo,b_lead+2,-0.00222153
z_gcs_1y_kilianfix,placebo,t_hac_lead+3,-0.321662
z_gcs_1y_kilianfix,placebo,b_lead+3,-0.000745234
z_gcs_1y_kilianfix,predict,F_hac,1.0001
z_gcs_1y_kilianfix,predict,p_value,0.405954
z_gcs_1y_kilianfix,predict,R2,0.0300092
z_gcs_1y_kilianfix,predict,N,226
z_gcs_1y_kilianfix,predict,ar1_all,0.166063
z_gcs_1y_kilianfix,predict,ar1_events,0.166063
z_gcs_1y_kilianfix,influence,F_eff_excl_crisis,21.3251
z_gcs_1y_kilianfix,influence,b_excl_crisis,0.0072229
z_gcs_1y_kilianfix,influence,F_eff_winsorised,8.75177
z_gcs_1y_kilianfix,influence,top1_ym,24102
z_gcs_1y_kilianfix,influence,top1_dfbeta,0.565281
z_gcs_1y_kilianfix,influence,top1_F_without,6.56475
z_gcs_1y_kilianfix,influence,top2_ym,24107
z_gcs_1y_kilianfix,influence,top2_dfbeta,-0.418277
z_gcs_1y_kilianfix,influence,top2_F_without,13.7089
z_gcs_1y_kilianfix,influence,top3_ym,24137
z_gcs_1y_kilianfix,influence,top3_dfbeta,-0.327464
z_gcs_1y_kilianfix,influence,top3_F_without,9.06389
z_gcs_1y_kilianfix,influence,top4_ym,24022
z_gcs_1y_kilianfix,influence,top4_dfbeta,-0.21505
z_gcs_1y_kilianfix,influence,top4_F_without,9.65438
z_gcs_1y_kilianfix,influence,top5_ym,24018
z_gcs_1y_kilianfix,influence,top5_dfbeta,0.20726
z_gcs_1y_kilianfix,influence,top5_F_without,7.40762
z_gcs_1y_kilianfix,subsample,F_eff_200101_200812,4.5345
z_gcs_1y_kilianfix,subsample,b_200101_200812,0.00602371
z_gcs_1y_kilianfix,subsample,F_eff_200901_201112,5.79464
z_gcs_1y_kilianfix,subsample,b_200901_201112,0.00389673
z_gcs_1y_kilianfix,subsample,F_eff_201201_201912,8.32658
z_gcs_1y_kilianfix,subsample,b_201201_201912,0.00816268
