scale_estimator,equation,block,h,lambda_h,tau_mean,tau_median,p_tau_gt1
block,i1y,i1y,1,0.00862956,0.56726,0.30802,0.1467
block,i1y,i1y,2,0.0220223,0.87201,0.53329,0.2807
block,i1y,i1y,3,0.0436612,1.78758,1.51782,0.7487
block,i1y,i1y,4,0.0728135,2.08081,1.85761,0.7640
block,i1y,i1y,5,0.101609,2.46025,2.29374,0.8967
block,i1y,i1y,6,0.118936,2.29843,2.15223,0.8287
block,i1y,i1y,7,0.121544,2.93619,2.77721,0.9000
block,i1y,i1y,8,0.128668,2.99983,2.83697,0.8633
block,i1y,i1y,9,0.144732,2.74485,2.54563,0.8633
block,i1y,i1y,10,0.162013,2.32719,1.92561,0.7267
block,i1y,i1y,11,0.180086,2.10003,1.84272,0.7707
block,i1y,i1y,12,0.206681,1.96504,1.71113,0.7980
block,i1y,i1y,13,0.223987,1.86637,1.63863,0.7693
block,i1y,i1y,14,0.233894,1.77882,1.53435,0.7333
block,i1y,i1y,15,0.234416,1.54399,1.32581,0.6893
block,i1y,i1y,16,0.248788,1.59272,1.34482,0.6813
block,i1y,i1y,17,0.271714,1.32098,1.11480,0.5780
block,i1y,i1y,18,0.298773,1.29226,1.13021,0.5947
block,i1y,i1y,19,0.32979,1.34066,1.18685,0.6420
block,i1y,i1y,20,0.358453,1.35712,1.16375,0.6287
block,i1y,i1y,21,0.393495,1.20620,1.06547,0.5547
block,i1y,i1y,22,0.428388,1.42596,1.25083,0.6840
block,i1y,i1y,23,0.457251,1.38872,1.20878,0.6773
block,i1y,i1y,24,0.496425,1.45529,1.28591,0.7047
block,i1y,i1y,25,0.531414,1.40256,1.27811,0.7147
block,i1y,i1y,26,0.566228,1.54243,1.39732,0.7853
block,i1y,i1y,27,0.600677,1.53677,1.37870,0.7713
block,i1y,i1y,28,0.627556,1.52699,1.35727,0.7927
block,i1y,i1y,29,0.645335,1.66894,1.45616,0.8453
block,i1y,i1y,30,0.650186,1.63845,1.48356,0.8473
block,i1y,i1y,31,0.64949,1.73701,1.53657,0.8793
block,i1y,i1y,32,0.646261,1.95399,1.71389,0.9287
block,i1y,i1y,33,0.65002,1.97846,1.76838,0.9387
block,i1y,i1y,34,0.664176,2.05004,1.84617,0.9573
block,i1y,i1y,35,0.667677,2.35701,2.15347,0.9773
block,i1y,i1y,36,0.676887,2.60897,2.37039,0.9833
block,i1y,i1y,37,0.687864,2.57383,2.34621,0.9907
block,i1y,i1y,38,0.692945,2.94298,2.72913,0.9973
block,i1y,i1y,39,0.689474,3.04679,2.77396,0.9940
block,i1y,i1y,40,0.68469,2.95267,2.66712,0.9893
block,i1y,i1y,41,0.681748,3.06454,2.74147,0.9887
block,i1y,i1y,42,0.67626,2.90409,2.59454,0.9873
block,i1y,i1y,43,0.667201,2.61206,2.30398,0.9800
block,i1y,i1y,44,0.665783,2.50641,2.21294,0.9820
block,i1y,i1y,45,0.6774,2.32018,2.08514,0.9813
block,i1y,i1y,46,0.690991,2.17497,1.96618,0.9720
block,i1y,i1y,47,0.696869,2.44742,2.21130,0.9887
block,i1y,i1y,48,0.708651,2.27035,2.08747,0.9840
block,i1y,ip,1,0.00862956,0.63158,0.46835,0.1960
block,i1y,ip,2,0.0220223,0.62430,0.45764,0.1993
block,i1y,ip,3,0.0436612,0.64728,0.50060,0.2020
block,i1y,ip,4,0.0728135,0.64141,0.43313,0.2213
block,i1y,ip,5,0.101609,0.54639,0.42320,0.1333
block,i1y,ip,6,0.118936,0.31383,0.22085,0.0420
block,i1y,ip,7,0.121544,0.53707,0.40491,0.1473
block,i1y,ip,8,0.128668,0.46036,0.32596,0.0927
block,i1y,ip,9,0.144732,0.70007,0.52020,0.2193
block,i1y,ip,10,0.162013,0.63264,0.46134,0.1780
block,i1y,ip,11,0.180086,0.55604,0.37604,0.1720
block,i1y,ip,12,0.206681,0.51495,0.36699,0.1347
block,i1y,ip,13,0.223987,0.33269,0.22365,0.0447
block,i1y,ip,14,0.233894,0.58891,0.42181,0.1840
