scale_estimator,equation,block,block_held_at_1,tau_bar,null_mean,null_q90,null_q95,null_q99,escape_q95,pgt1_bar,null_pgt1_q95,is_argmax,null_argmax_freq,eq_maxstat,eq_maxstat_q95,eq_flag,ratio_q95,null_pct,p_cell,holm_reject
block,i1y,i1y,0,2.23384,1.33171,2.10614,2.40697,3.11104,0,0.7673,0.9016,1,0.6300,2.23384,2.40697,0,0.92807,0.9300,0.0700,0
block,i1y,ip,0,0.56130,0.94591,1.45919,1.73915,2.04011,0,0.1584,0.7826,0,0.1200,2.23384,2.40697,0,0.32275,0.1550,0.8450,0
block,i1y,hicp_yoy,0,0.62440,0.73265,1.14788,1.31469,1.59036,0,0.2028,0.6536,0,0.1300,2.23384,2.40697,0,0.47494,0.4600,0.5400,0
block,i1y,stoxx,0,1.26222,0.81215,1.29192,1.46534,1.78432,0,0.5865,0.6957,0,0.1200,2.23384,2.40697,0,0.86138,0.8850,0.1150,0
block,ip,i1y,0,2.33240,1.04859,1.69430,1.98921,2.69583,1,0.8015,0.7686,1,0.4750,2.33240,2.02860,1,1.17253,0.9700,0.0300,0
block,ip,ip,0,0.57077,0.80894,1.17936,1.35402,2.09648,0,0.1625,0.6215,0,0.1750,2.33240,2.02860,1,0.42154,0.2750,0.7250,0
block,ip,hicp_yoy,0,0.69032,0.73251,1.12532,1.35802,1.57665,0,0.2304,0.6452,0,0.1600,2.33240,2.02860,1,0.50833,0.5500,0.4500,0
block,ip,stoxx,0,0.85066,0.79482,1.26729,1.40679,1.58545,0,0.3321,0.6916,0,0.1900,2.33240,2.02860,1,0.60468,0.6150,0.3850,0
block,hicp_yoy,i1y,0,0.56558,1.00999,1.69864,1.99495,2.71684,0,0.1485,0.7768,1,0.3850,0.56558,2.00786,0,0.28351,0.1600,0.8400,0
block,hicp_yoy,ip,0,0.51196,0.86861,1.36983,1.51662,1.91517,0,0.1284,0.7132,0,0.2050,0.56558,2.00786,0,0.33757,0.1350,0.8650,0
block,hicp_yoy,hicp_yoy,0,0.51804,0.83517,1.27585,1.43797,1.73130,0,0.1322,0.7306,0,0.1950,0.56558,2.00786,0,0.36026,0.1650,0.8350,0
block,hicp_yoy,stoxx,0,0.46594,0.81742,1.24765,1.34614,1.65647,0,0.1108,0.6711,0,0.2150,0.56558,2.00786,0,0.34613,0.1100,0.8900,0
block,stoxx,i1y,0,2.05835,1.05752,1.56245,1.75464,2.14574,1,0.6926,0.7538,1,0.4200,2.05835,1.82604,1,1.17309,0.9850,0.0150,0
block,stoxx,ip,0,1.02956,0.92083,1.41637,1.54811,1.98726,0,0.4104,0.7325,0,0.2200,2.05835,1.82604,1,0.66505,0.7000,0.3000,0
block,stoxx,hicp_yoy,0,0.71049,0.69043,1.04573,1.19512,1.33281,0,0.2481,0.5495,0,0.0800,2.05835,1.82604,1,0.59449,0.5900,0.4100,0
