instrument,F_eff,variable,h,theta,se,lo,hi,ar_lo,ar_hi,ar_unbounded,theta_la,lo_la,hi_la
z_gcs_1m_adj_sum,17.713,ois1m,0,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0,1.000000,1.000000,1.000000
z_gcs_1m_adj_sum,17.713,ois1m,1,0.657921,0.236448,0.269000,1.046843,0.196849,1.024415,0,0.741130,0.306202,1.176057
z_gcs_1m_adj_sum,17.713,ois1m,2,0.571976,0.304536,0.071060,1.072893,-0.006641,1.044006,0,0.623481,-0.004639,1.251600
z_gcs_1m_adj_sum,17.713,ois1m,3,0.748669,0.308847,0.240661,1.256677,0.192744,1.227382,0,0.759422,0.083871,1.434972
z_gcs_1m_adj_sum,17.713,ois1m,4,0.832702,0.433620,0.119460,1.545943,0.073867,1.526494,0,0.805396,-0.153181,1.763972
z_gcs_1m_adj_sum,17.713,ois1m,5,0.637615,0.438067,-0.082942,1.358171,-0.085197,1.382329,0,0.517218,-0.676963,1.711400
z_gcs_1m_adj_sum,17.713,ois1m,6,0.283261,0.584150,-0.677581,1.244102,-0.709794,1.247109,0,0.164008,-1.338762,1.666779
z_gcs_1m_adj_sum,17.713,ois1m,7,-0.059179,0.653086,-1.133410,1.015052,-1.202079,1.018413,0,-0.213074,-1.849808,1.423661
z_gcs_1m_adj_sum,17.713,ois1m,8,-0.139145,0.791256,-1.440645,1.162356,-1.484280,1.205991,0,-0.325564,-2.095399,1.444271
z_gcs_1m_adj_sum,17.713,ois1m,9,-0.367358,0.907259,-1.859666,1.124951,-1.909699,1.174983,0,-0.623957,-2.466331,1.218416
z_gcs_1m_adj_sum,17.713,ois1m,10,-0.499384,0.944765,-2.053384,1.054615,-2.058246,1.106716,0,-0.846479,-2.703235,1.010277
z_gcs_1m_adj_sum,17.713,ois1m,11,-0.331615,0.967279,-1.922647,1.259417,-1.927625,1.312759,0,-0.718401,-2.561783,1.124982
z_gcs_1m_adj_sum,17.713,ois1m,12,-0.409431,0.927609,-1.935212,1.116350,-1.939986,1.213885,0,-0.831108,-2.600791,0.938575
z_gcs_1m_adj_sum,17.713,ois1m,13,-0.263513,0.842135,-1.648702,1.121677,-1.610930,1.252331,0,-0.656616,-2.380428,1.067196
z_gcs_1m_adj_sum,17.713,ois1m,14,0.026562,0.833417,-1.344286,1.397411,-1.265233,1.568383,0,-0.430341,-2.072815,1.212133
z_gcs_1m_adj_sum,17.713,ois1m,15,0.096154,0.800560,-1.220650,1.412958,-1.144714,1.577190,0,-0.345569,-1.946873,1.255734
z_gcs_1m_adj_sum,17.713,ois1m,16,0.446023,0.715593,-0.731023,1.623069,-0.663146,1.769871,0,-0.021895,-1.550799,1.507008
z_gcs_1m_adj_sum,17.713,ois1m,17,0.767645,0.763115,-0.487567,2.022858,-0.415183,2.179408,0,0.255812,-1.227382,1.739005
z_gcs_1m_adj_sum,17.713,ois1m,18,0.675784,0.742205,-0.545034,1.896603,-0.474633,2.048864,0,0.103143,-1.384715,1.591001
z_gcs_1m_adj_sum,17.713,ois1m,19,0.758961,0.724739,-0.433128,1.951051,-0.364384,2.099728,0,0.084355,-1.407071,1.575781
z_gcs_1m_adj_sum,17.713,ois1m,20,0.665606,0.703142,-0.490959,1.822171,-0.424264,1.966418,0,-0.043831,-1.531497,1.443835
z_gcs_1m_adj_sum,17.713,ois1m,21,0.501759,0.734921,-0.707079,1.710597,-0.637369,1.824618,0,-0.162463,-1.665433,1.340507
z_gcs_1m_adj_sum,17.713,ois1m,22,0.542166,0.667474,-0.555730,1.640062,-0.492418,1.743618,0,-0.082459,-1.505617,1.340699
z_gcs_1m_adj_sum,17.713,ois1m,23,0.441214,0.628239,-0.592147,1.474574,-0.563968,1.540631,0,-0.190591,-1.554473,1.173291
z_gcs_1m_adj_sum,17.713,ois1m,24,0.377756,0.631291,-0.660624,1.416137,-0.632309,1.482515,0,-0.200852,-1.569828,1.168125
z_gcs_1m_adj_sum,17.713,ois1m,25,0.435049,0.609157,-0.566925,1.437022,-0.600518,1.440157,0,-0.156585,-1.529296,1.216125
z_gcs_1m_adj_sum,17.713,ois1m,26,0.077708,0.601619,-0.911868,1.067284,-0.975126,1.040299,0,-0.506516,-1.890636,0.877603
z_gcs_1m_adj_sum,17.713,ois1m,27,-0.327886,0.653196,-1.402299,0.746526,-1.470980,0.717228,0,-0.871095,-2.275532,0.533342
z_gcs_1m_adj_sum,17.713,ois1m,28,-0.296148,0.687858,-1.427575,0.835278,-1.499901,0.804425,0,-0.811750,-2.151339,0.527839
z_gcs_1m_adj_sum,17.713,ois1m,29,-0.318579,0.640348,-1.371859,0.734700,-1.471207,0.673961,0,-0.806825,-2.048434,0.434783
z_gcs_1m_adj_sum,17.713,ois1m,30,-0.357100,0.589935,-1.327456,0.613256,-1.418982,0.557299,0,-0.830816,-1.992433,0.330802
z_gcs_1m_adj_sum,17.713,ois1m,31,0.025800,0.624340,-1.001148,1.052749,-1.066795,1.024745,0,-0.361729,-1.536495,0.813038
z_gcs_1m_adj_sum,17.713,ois1m,32,0.161290,0.645437,-0.900359,1.222939,-0.968225,1.193989,0,-0.225920,-1.477880,1.026040
z_gcs_1m_adj_sum,17.713,ois1m,33,0.262794,0.617277,-0.752537,1.278125,-0.786578,1.250438,0,-0.191947,-1.459546,1.075652
z_gcs_1m_adj_sum,17.713,ois1m,34,0.415286,0.637427,-0.633189,1.463761,-0.668341,1.435170,0,0.026218,-1.313263,1.365698
z_gcs_1m_adj_sum,17.713,ois1m,35,0.321729,0.637069,-0.726156,1.369614,-0.793142,1.309186,0,-0.054562,-1.392325,1.283201
z_gcs_1m_adj_sum,17.713,ois1m,36,0.447319,0.643781,-0.611608,1.506245,-0.679299,1.477369,0,0.040522,-1.282855,1.363899
z_gcs_1m_adj_sum,17.713,ois1m,37,0.611095,0.661305,-0.476654,1.698845,-0.579253,1.636118,0,0.316373,-1.051422,1.684168
z_gcs_1m_adj_sum,17.713,ois1m,38,0.421634,0.629476,-0.613761,1.457029,-0.742896,1.365848,0,0.159335,-1.194576,1.513246
