instrument,b,t_ehw,t_hac,F_eff,R2,N,n_nonzero,sd_z_bp,naive_b,naive_t,naive_F,lead1_t,lead2_t,lead3_t,lag1_t,pred_F,pred_p,ar1,F_excl_crisis,F_winsor,F_2001_08,F_2009_11,F_2012_19,top_month,top_dfbeta,mop_verdict
z_gc_1m_adj_sum,0.007940,3.239,3.182,10.122,0.0528,228,182,3.052,0.001963,0.443,0.196,-2.267,-1.137,0.182,-2.260,2.154,0.0714,-0.184,13.689,6.571,0.763,27.530,30.724,2008-11,-0.535,above 10 only
z_gc_1m_adj_kilian,0.007566,2.304,2.197,4.829,0.0312,228,213,2.461,-0.000055,-0.009,0.000,-1.536,-2.294,0.131,-2.319,3.005,0.0172,0.080,5.812,2.913,0.043,36.284,15.353,2008-11,-0.490,WEAK
z_gc_1m_adj_kilianfix,0.007176,2.047,1.952,3.810,0.0256,228,214,2.353,-0.000939,-0.156,0.024,-1.361,-2.402,0.052,-2.422,3.194,0.0124,0.127,4.276,2.225,0.004,36.304,11.629,2008-11,-0.460,WEAK
z_gc_1m_raw_sum,0.007940,3.239,3.182,10.122,0.0528,228,182,3.052,0.001963,0.443,0.196,-2.267,-1.137,0.182,-2.260,2.154,0.0714,-0.184,13.689,6.571,0.763,27.530,30.724,2008-11,-0.535,above 10 only
z_gc_1m_raw_kilian,0.007566,2.304,2.197,4.829,0.0312,228,213,2.461,-0.000055,-0.009,0.000,-1.536,-2.294,0.131,-2.319,3.005,0.0172,0.080,5.812,2.913,0.043,36.284,15.353,2008-11,-0.490,WEAK
z_gc_1m_raw_kilianfix,0.007176,2.047,1.952,3.810,0.0256,228,214,2.353,-0.000939,-0.156,0.024,-1.361,-2.402,0.052,-2.422,3.194,0.0124,0.127,4.276,2.225,0.004,36.304,11.629,2008-11,-0.460,WEAK
z_gc_3m_sum,0.013188,2.961,3.970,15.760,0.1704,228,194,3.300,0.008914,1.908,3.639,-2.179,-1.152,0.042,-0.969,2.222,0.0640,-0.242,86.616,20.812,5.538,38.875,34.502,2008-11,-0.801,bias < 20%
z_gc_3m_kilian,0.015689,2.919,3.760,14.137,0.1581,228,223,2.672,0.011164,1.860,3.460,-1.160,-1.782,-0.586,-1.398,2.497,0.0406,0.018,43.102,16.297,4.576,42.249,28.099,2008-10,0.728,bias < 30%
z_gc_3m_kilianfix,0.016123,2.932,3.704,13.718,0.1512,228,222,2.543,0.011194,1.818,3.307,-0.926,-1.877,-0.716,-1.487,2.539,0.0379,0.057,36.672,14.315,4.502,41.966,23.369,2008-10,0.753,bias < 30%
z_gc_1y_sum,0.006778,2.621,2.913,8.484,0.0760,228,204,4.289,0.004695,1.410,1.987,-1.806,-1.560,-0.024,-1.409,2.255,0.0606,-0.180,14.226,7.011,2.413,10.964,8.474,2008-11,-0.523,WEAK
z_gc_1y_kilian,0.007866,2.450,2.801,7.844,0.0722,228,227,3.601,0.005434,1.242,1.542,-1.232,-1.777,-0.956,-1.460,2.538,0.0379,-0.017,14.011,6.576,2.453,9.624,13.516,2008-10,0.550,WEAK
z_gc_1y_kilianfix,0.007999,2.401,2.744,7.528,0.0677,228,227,3.430,0.005437,1.167,1.363,-1.080,-1.848,-1.129,-1.448,2.591,0.0347,0.033,13.531,5.896,2.463,8.576,13.538,2008-10,0.561,WEAK
z_sp_1m_adj_sum,0.007713,2.253,2.144,4.597,0.0481,228,188,2.998,0.003231,0.644,0.414,-0.442,2.363,-0.377,0.301,0.253,0.9082,-0.047,1.615,6.855,1.144,14.077,0.004,2001-07,-0.841,WEAK
z_sp_1m_adj_kilian,0.004236,1.251,1.291,1.666,0.0096,228,222,2.441,0.000970,0.179,0.032,0.889,2.766,-0.956,-0.388,0.854,0.4906,0.163,0.684,3.113,0.722,1.373,0.074,2001-07,-0.927,WEAK
z_sp_1m_adj_kilianfix,0.003848,1.140,1.194,1.425,0.0077,228,221,2.404,0.000875,0.159,0.025,1.025,2.446,-0.854,-0.336,0.948,0.4351,0.195,0.605,2.421,0.728,0.774,0.073,2001-07,-0.805,WEAK
z_sp_1m_raw_sum,0.013038,1.532,1.495,2.234,0.0625,228,205,2.022,0.005713,0.678,0.459,0.073,0.967,-0.706,-0.031,0.391,0.8151,-0.039,1.329,7.630,0.637,35.224,0.083,2001-07,-1.423,WEAK
z_sp_1m_raw_kilian,0.006919,1.086,1.090,1.188,0.0136,228,224,1.774,0.002608,0.331,0.109,1.055,2.076,-2.870,-0.535,0.663,0.6178,0.121,0.541,2.916,0.661,2.494,0.051,2001-07,-1.786,WEAK
z_sp_1m_raw_kilianfix,0.006384,1.042,1.057,1.118,0.0111,228,224,1.737,0.002524,0.313,0.098,1.123,2.007,-2.730,-0.448,0.728,0.5727,0.157,0.439,2.291,0.719,1.080,0.042,2001-07,-1.577,WEAK
z_sp_3m_sum,0.001688,0.170,0.179,0.032,0.0007,228,217,1.607,0.001763,0.170,0.029,0.376,-1.016,1.039,-1.422,0.459,0.7659,-0.071,0.057,0.083,1.282,15.382,0.047,2001-09,-0.776,WEAK
z_sp_3m_kilian,-0.004587,-0.386,-0.452,0.204,0.0029,228,228,1.236,-0.003755,-0.322,0.104,0.755,-0.360,0.197,-1.895,0.827,0.5077,0.211,0.118,0.807,0.533,0.015,0.000,2011-05,0.733,WEAK
z_sp_3m_kilianfix,-0.005476,-0.472,-0.557,0.311,0.0040,228,228,1.224,-0.004507,-0.396,0.157,0.740,-0.271,0.078,-1.769,0.838,0.5009,0.226,0.093,0.973,0.412,0.023,0.001,2011-05,0.713,WEAK
z_sp_1y_sum,0.000437,0.070,0.092,0.008,0.0001,228,221,2.646,0.004572,0.770,0.593,0.594,-0.122,-1.047,-0.107,0.433,0.7852,-0.074,0.401,0.005,0.077,0.482,0.000,2008-10,-0.697,WEAK
z_sp_1y_kilian,0.002022,0.412,0.461,0.213,0.0016,228,228,2.060,0.009779,1.350,1.821,1.003,0.056,0.343,0.064,0.607,0.6578,0.228,0.404,0.000,0.766,0.015,0.079,2011-05,0.672,WEAK
z_sp_1y_kilianfix,0.001943,0.411,0.447,0.200,0.0014,228,228,2.049,0.009822,1.341,1.797,1.037,0.106,0.387,0.141,0.614,0.6528,0.243,0.307,0.015,1.053,0.060,0.136,2011-05,0.659,WEAK
z_gcs_1m_adj_sum,0.007813,3.839,3.718,13.821,0.1007,228,215,4.282,0.002556,0.856,0.732,-2.357,0.465,-0.179,-1.500,1.045,0.3820,-0.197,8.908,15.447,2.315,34.577,3.311,2001-07,-0.440,bias < 30%
z_gcs_1m_adj_kilian,0.006123,2.921,2.695,7.265,0.0391,228,227,3.407,0.000590,0.168,0.028,-0.455,-0.288,-0.557,-2.114,1.447,0.2155,0.079,4.850,5.820,0.537,17.355,3.905,2001-04,0.447,WEAK
z_gcs_1m_adj_kilianfix,0.005689,2.558,2.394,5.729,0.0317,228,227,3.300,0.000107,0.030,0.001,-0.042,-0.472,-0.558,-2.169,1.539,0.1878,0.129,3.807,4.241,0.370,12.787,3.251,2001-04,0.495,WEAK
z_gcs_1m_raw_sum,0.009063,3.472,3.514,12.346,0.1038,228,214,3.748,0.003113,0.918,0.842,-2.206,-0.335,-0.221,-1.733,1.624,0.1651,-0.269,9.857,13.062,1.823,18.697,13.441,2008-10,0.539,bias < 30%
z_gcs_1m_raw_kilian,0.007526,2.956,2.863,8.199,0.0458,228,227,2.997,0.001180,0.299,0.089,-0.639,-0.905,-0.829,-2.387,1.997,0.0920,-0.005,5.468,5.874,0.608,22.259,8.809,2001-07,-0.386,WEAK
