instrument,block,name,value
z_gcs_1m_adj_sum,fs,b,0.00781307
z_gcs_1m_adj_sum,fs,se_ehw,0.00203524
z_gcs_1m_adj_sum,fs,t_ehw,3.83889
z_gcs_1m_adj_sum,fs,se_hac,0.00210159
z_gcs_1m_adj_sum,fs,t_hac,3.71769
z_gcs_1m_adj_sum,fs,F_eff,13.8212
z_gcs_1m_adj_sum,fs,R2,0.100695
z_gcs_1m_adj_sum,fs,N,228
z_gcs_1m_adj_sum,fs,n_nonzero,215
z_gcs_1m_adj_sum,fs,sd_z,4.28211
z_gcs_1m_adj_sum,fs,sd_us,0.105433
z_gcs_1m_adj_sum,fs,corr,0.317325
z_gcs_1m_adj_sum,naive,b,0.00255627
z_gcs_1m_adj_sum,naive,se_ehw,0.00326908
z_gcs_1m_adj_sum,naive,t_ehw,0.781953
z_gcs_1m_adj_sum,naive,se_hac,0.00298713
z_gcs_1m_adj_sum,naive,t_hac,0.855762
z_gcs_1m_adj_sum,naive,F_eff,0.732328
z_gcs_1m_adj_sum,naive,R2,0.00737752
z_gcs_1m_adj_sum,naive,N,239
z_gcs_1m_adj_sum,naive,n_nonzero,223
z_gcs_1m_adj_sum,naive,sd_z,4.71687
z_gcs_1m_adj_sum,naive,sd_us,0.14038
z_gcs_1m_adj_sum,naive,corr,0.0858925
z_gcs_1m_adj_sum,placebo,t_hac_lead-3,0.320396
z_gcs_1m_adj_sum,placebo,b_lead-3,0.000693788
z_gcs_1m_adj_sum,placebo,t_hac_lead-2,-0.508578
z_gcs_1m_adj_sum,placebo,b_lead-2,-0.00145176
z_gcs_1m_adj_sum,placebo,t_hac_lead-1,-1.49958
z_gcs_1m_adj_sum,placebo,b_lead-1,-0.00300597
z_gcs_1m_adj_sum,placebo,t_hac_lead+0,3.71769
z_gcs_1m_adj_sum,placebo,b_lead+0,0.00781307
z_gcs_1m_adj_sum,placebo,t_hac_lead+1,-2.35709
z_gcs_1m_adj_sum,placebo,b_lead+1,-0.00544959
z_gcs_1m_adj_sum,placebo,t_hac_lead+2,0.464972
z_gcs_1m_adj_sum,placebo,b_lead+2,0.00103472
z_gcs_1m_adj_sum,placebo,t_hac_lead+3,-0.179123
z_gcs_1m_adj_sum,placebo,b_lead+3,-0.000559877
z_gcs_1m_adj_sum,predict,F_hac,1.04528
z_gcs_1m_adj_sum,predict,p_value,0.382048
z_gcs_1m_adj_sum,predict,R2,0.0373898
z_gcs_1m_adj_sum,predict,N,226
z_gcs_1m_adj_sum,predict,ar1_all,-0.197085
z_gcs_1m_adj_sum,predict,ar1_events,-0.199623
z_gcs_1m_adj_sum,influence,F_eff_excl_crisis,8.90843
z_gcs_1m_adj_sum,influence,b_excl_crisis,0.00585609
z_gcs_1m_adj_sum,influence,F_eff_winsorised,15.4468
z_gcs_1m_adj_sum,influence,top1_ym,24019
z_gcs_1m_adj_sum,influence,top1_dfbeta,-0.440095
z_gcs_1m_adj_sum,influence,top1_F_without,19.2011
z_gcs_1m_adj_sum,influence,top2_ym,24015
z_gcs_1m_adj_sum,influence,top2_dfbeta,-0.412203
z_gcs_1m_adj_sum,influence,top2_F_without,15.9874
z_gcs_1m_adj_sum,influence,top3_ym,24106
z_gcs_1m_adj_sum,influence,top3_dfbeta,0.386571
z_gcs_1m_adj_sum,influence,top3_F_without,12.4359
z_gcs_1m_adj_sum,influence,top4_ym,24017
z_gcs_1m_adj_sum,influence,top4_dfbeta,0.306608
z_gcs_1m_adj_sum,influence,top4_F_without,12.0181
z_gcs_1m_adj_sum,influence,top5_ym,24035
z_gcs_1m_adj_sum,influence,top5_dfbeta,-0.272348
z_gcs_1m_adj_sum,influence,top5_F_without,15.3096
z_gcs_1m_adj_sum,subsample,F_eff_200101_200812,2.31481
z_gcs_1m_adj_sum,subsample,b_200101_200812,0.00465141
z_gcs_1m_adj_sum,subsample,F_eff_200901_201112,34.5773
z_gcs_1m_adj_sum,subsample,b_200901_201112,0.0156642
z_gcs_1m_adj_sum,subsample,F_eff_201201_201912,3.31132
z_gcs_1m_adj_sum,subsample,b_201201_201912,0.0041648
