instrument,estimator,variable,h,theta_25bp,lo_25bp,hi_25bp
z_gcs_1m_adj_sum,BVAR,ois1m,0,0.250000,0.250000,0.250000
z_gcs_1m_adj_sum,BVAR,ois1m,1,0.282681,0.261295,0.305097
z_gcs_1m_adj_sum,BVAR,ois1m,2,0.312952,0.277062,0.351294
z_gcs_1m_adj_sum,BVAR,ois1m,3,0.342946,0.293923,0.397707
z_gcs_1m_adj_sum,BVAR,ois1m,4,0.358986,0.295110,0.429743
z_gcs_1m_adj_sum,BVAR,ois1m,5,0.366803,0.294188,0.455336
z_gcs_1m_adj_sum,BVAR,ois1m,6,0.368473,0.286125,0.468293
z_gcs_1m_adj_sum,BVAR,ois1m,7,0.365771,0.277293,0.476614
z_gcs_1m_adj_sum,BVAR,ois1m,8,0.361234,0.262741,0.480444
z_gcs_1m_adj_sum,BVAR,ois1m,9,0.353664,0.247604,0.481341
z_gcs_1m_adj_sum,BVAR,ois1m,10,0.342876,0.237294,0.478534
z_gcs_1m_adj_sum,BVAR,ois1m,11,0.329136,0.217279,0.471134
z_gcs_1m_adj_sum,BVAR,ois1m,12,0.311978,0.196062,0.463764
z_gcs_1m_adj_sum,BVAR,ois1m,13,0.292595,0.172229,0.462652
z_gcs_1m_adj_sum,BVAR,ois1m,14,0.271485,0.151550,0.445228
z_gcs_1m_adj_sum,BVAR,ois1m,15,0.249165,0.130264,0.426019
z_gcs_1m_adj_sum,BVAR,ois1m,16,0.226279,0.100357,0.407314
z_gcs_1m_adj_sum,BVAR,ois1m,17,0.203364,0.074346,0.391433
z_gcs_1m_adj_sum,BVAR,ois1m,18,0.180785,0.052966,0.377075
z_gcs_1m_adj_sum,BVAR,ois1m,19,0.158774,0.029367,0.355392
z_gcs_1m_adj_sum,BVAR,ois1m,20,0.137497,0.005278,0.339649
z_gcs_1m_adj_sum,BVAR,ois1m,21,0.117088,-0.017958,0.327365
z_gcs_1m_adj_sum,BVAR,ois1m,22,0.097655,-0.040299,0.305368
z_gcs_1m_adj_sum,BVAR,ois1m,23,0.079277,-0.058880,0.292241
z_gcs_1m_adj_sum,BVAR,ois1m,24,0.062017,-0.082523,0.266277
z_gcs_1m_adj_sum,BVAR,ois1m,25,0.045918,-0.103656,0.251422
z_gcs_1m_adj_sum,BVAR,ois1m,26,0.031005,-0.116850,0.242429
z_gcs_1m_adj_sum,BVAR,ois1m,27,0.017283,-0.128917,0.233656
z_gcs_1m_adj_sum,BVAR,ois1m,28,0.004744,-0.145067,0.216499
z_gcs_1m_adj_sum,BVAR,ois1m,29,-0.006638,-0.159406,0.203021
z_gcs_1m_adj_sum,BVAR,ois1m,30,-0.016895,-0.169972,0.190151
z_gcs_1m_adj_sum,BVAR,ois1m,31,-0.026067,-0.179678,0.187200
z_gcs_1m_adj_sum,BVAR,ois1m,32,-0.034201,-0.190374,0.178963
z_gcs_1m_adj_sum,BVAR,ois1m,33,-0.041345,-0.199612,0.166703
z_gcs_1m_adj_sum,BVAR,ois1m,34,-0.047550,-0.204730,0.153724
z_gcs_1m_adj_sum,BVAR,ois1m,35,-0.052867,-0.211577,0.145964
z_gcs_1m_adj_sum,BVAR,ois1m,36,-0.057347,-0.214448,0.136433
z_gcs_1m_adj_sum,BVAR,ois1m,37,-0.061042,-0.215202,0.128108
z_gcs_1m_adj_sum,BVAR,ois1m,38,-0.064002,-0.222601,0.112438
z_gcs_1m_adj_sum,BVAR,ois1m,39,-0.066278,-0.227454,0.101399
z_gcs_1m_adj_sum,BVAR,ois1m,40,-0.067919,-0.231816,0.100550
z_gcs_1m_adj_sum,BVAR,ois1m,41,-0.068972,-0.234699,0.089359
z_gcs_1m_adj_sum,BVAR,ois1m,42,-0.069484,-0.223985,0.085778
